x-entity,Anarchism,Antisemitism,Capitalism,Christianity,Communism,Conservatism,Democracy,Fascism,Feminism,Islamophobia,Left-wing politics,Liberalism,Marxism,Nationalism,Neo-Nazism,Protestantism,Right-wing politics,Secularism,Socialism,White supremacy
Jo Bonner (R),0.05328682249292547,0.05064835584361478,0.04070103625222443,0.044019400384891584,0.05205731972561408,0.04594536561343816,0.033666643286400955,0.047433396065554,0.03417522076127511,0.05496549674713789,0.03670605351868425,0.03659765830945269,0.05185094500455465,0.05258047882845195,0.057024310117317976,0.03397532492605178,0.04863123223184865,0.03798375202000975,0.04973563595077647,0.05602260831392682
Martha Roby (R),0.034266335431986636,0.03350017327479702,0.03381928402090388,0.044019400384891584,0.03527065456046725,0.04594536561343816,0.033666643286400955,0.047433396065554,0.03417522076127511,0.035335881695283775,0.03071753576905535,0.03379870245476161,0.03128914366155703,0.030724317417295782,0.03531338480206042,0.031799213980495206,0.04863123223184865,0.034977474728754065,0.030506198673484062,0.035344343633229615
Mike Rogers (R),0.03726237195147506,0.038024119416361295,0.04454905007859482,0.0342994247259968,0.03724125484985588,0.03545755724593591,0.03707847882975171,0.036337282678833,0.030400285900357732,0.041362978988553206,0.040290719954379516,0.03102611209956108,0.03085407800983281,0.04030238811643968,0.029013245393383968,0.0394390380784596,0.037036119618856826,0.035456071857714606,0.036936112328754996,0.03961497019406168
Robert Aderholt (R),0.0563024643671708,0.03350017327479702,0.03381928402090388,0.044019400384891584,0.05535071245938848,0.054066313171518686,0.033666643286400955,0.047433396065554,0.03417522076127511,0.035335881695283775,0.03071753576905535,0.03379870245476161,0.03128914366155703,0.030724317417295782,0.06369323846370205,0.031799213980495206,0.04863123223184865,0.034977474728754065,0.030506198673484062,0.035344343633229615
Mo Brooks (R),0.041684516495074285,0.044369712525377115,0.04823000717515685,0.044019400384891584,0.04644656101697109,0.04594536561343816,0.051291374406791934,0.048186545647851534,0.03417522076127511,0.035335881695283775,0.03071753576905535,0.03379870245476161,0.03128914366155703,0.04839308291990114,0.03531338480206042,0.031799213980495206,0.04863123223184865,0.034977474728754065,0.030506198673484062,0.05019787946219848
Spencer Bachus (R),0.05328682249292547,0.059908575015640175,0.03628806122046351,0.044019400384891584,0.040830043382748114,0.04594536561343816,0.03214050834160603,0.047433396065554,0.03467469860492553,0.03667994974360009,0.037228310823387234,0.06297185224485284,0.03602955777158125,0.0329290156764813,0.03813026665004023,0.033861526641555915,0.04863123223184865,0.03333308650192958,0.03261520449293633,0.051992211033507735
Terri Sewell (D),0.03323429189302805,0.03350017327479702,0.03381928402090388,0.044019400384891584,0.034949889718774475,0.031048076281374945,0.033666643286400955,0.03172052781656249,0.03417522076127511,0.035335881695283775,0.03071753576905535,0.03379870245476161,0.03128914366155703,0.030724317417295782,0.03531338480206042,0.031799213980495206,0.032251769171794266,0.034977474728754065,0.030506198673484062,0.06350461552302686
Paul Gosar (R),0.035817960805947235,0.044369712525377115,0.03532151140735465,0.029707132654360625,0.031027994316632532,0.04594536561343816,0.036293987299985606,0.047433396065554,0.03564739369855568,0.0342894320338665,0.033544832848819935,0.03284403528112135,0.05316152363109683,0.033828014463592335,0.03610874460488935,0.030276952275000026,0.04863123223184865,0.03283671023570843,0.03307508428048395,0.034700115941155706
Trent Franks (R),0.05328682249292547,0.0563800028484991,0.03532151140735465,0.029707132654360625,0.031027994316632532,0.04594536561343816,0.036293987299985606,0.047433396065554,0.05028216630483066,0.05461154730069832,0.033544832848819935,0.03284403528112135,0.035097849492748016,0.033828014463592335,0.03610874460488935,0.030276952275000026,0.055767063146521835,0.03283671023570843,0.03678022629256522,0.05436724050837382
Ben Quayle (R),0.035817960805947235,0.033910858728801015,0.03532151140735465,0.048209114852255326,0.031027994316632532,0.04594536561343816,0.036293987299985606,0.047433396065554,0.04005557863899276,0.0342894320338665,0.033544832848819935,0.03284403528112135,0.035097849492748016,0.033828014463592335,0.03610874460488935,0.030276952275000026,0.04863123223184865,0.03283671023570843,0.035377690020664536,0.034700115941155706
Ed Pastor (D),0.05328682249292547,0.033910858728801015,0.03532151140735465,0.029707132654360625,0.031027994316632532,0.0617872756173269,0.036293987299985606,0.03201031000610264,0.039485353968782715,0.0342894320338665,0.033544832848819935,0.03284403528112135,0.035097849492748016,0.033828014463592335,0.03610874460488935,0.030276952275000026,0.032551384767520335,0.03283671023570843,0.029562641764625107,0.034700115941155706
David Schweikert (R),0.035817960805947235,0.033910858728801015,0.03532151140735465,0.029707132654360625,0.031027994316632532,0.04594536561343816,0.0481322503233383,0.047433396065554,0.03497525911258633,0.0342894320338665,0.0663846898891995,0.03284403528112135,0.035097849492748016,0.033828014463592335,0.03610874460488935,0.043724101848558135,0.04863123223184865,0.03283671023570843,0.02968288566852477,0.034700115941155706
Jeff Flake (R),0.05328682249292547,0.044369712525377115,0.03532151140735465,0.04661672952275535,0.05205731972561408,0.04768110205798053,0.036293987299985606,0.047433396065554,0.037336021941645085,0.05261562189480052,0.0663846898891995,0.04928733814206851,0.035097849492748016,0.033828014463592335,0.057024310117317976,0.04986208851081975,0.04863123223184865,0.03283671023570843,0.03677460020680147,0.034700115941155706
Raúl Grijalva (D),0.05328682249292547,0.033910858728801015,0.03532151140735465,0.029707132654360625,0.031027994316632532,0.04594536561343816,0.036293987299985606,0.047433396065554,0.032522346616008294,0.0342894320338665,0.033544832848819935,0.03284403528112135,0.035097849492748016,0.033828014463592335,0.03610874460488935,0.030276952275000026,0.04863123223184865,0.03283671023570843,0.034440638725733684,0.034700115941155706
Gabrielle Giffords (D),0.035817960805947235,0.033910858728801015,0.03532151140735465,0.029707132654360625,0.031027994316632532,0.03132564861267865,0.04804170478862882,0.050596196496506436,0.048954459089263484,0.053048914059354635,0.05080540125116252,0.050597975761114564,0.035097849492748016,0.05082395556900394,0.05299822606591635,0.030276952275000026,0.05196139757261068,0.03283671023570843,0.053754605489608434,0.0528183587277641
Ron Barber (D),0.035817960805947235,0.033910858728801015,0.03532151140735465,0.029707132654360625,0.031027994316632532,0.0617872756173269,0.036293987299985606,0.03201031000610264,0.039485353968782715,0.0342894320338665,0.04522521068523358,0.03284403528112135,0.035097849492748016,0.045239912434033705,0.03610874460488935,0.043021299015496485,0.046138932264264416,0.04594287159079221,0.040102121149718034,0.034700115941155706
Timothy Griffin (R),0.034105063254957935,0.044369712525377115,0.03866019943334028,0.03372375424092714,0.03312935481178763,0.04594536561343816,0.03416878292695311,0.047433396065554,0.033844658980853926,0.03575241517475203,0.038754115254286826,0.03339101156037555,0.03965903163605858,0.03148280758047434,0.036319084915394206,0.048692826520859565,0.04863123223184865,0.03234337461192673,0.034743460916308117,0.05183569659586778
Steve Womack (R),0.03959522487265483,0.03387432373534092,0.034026832400871204,0.03372375424092714,0.03312935481178763,0.04594536561343816,0.03416878292695311,0.047433396065554,0.033844658980853926,0.03575241517475203,0.03147568700135222,0.03339101156037555,0.03436609926902112,0.03148280758047434,0.036319084915394206,0.048692826520859565,0.04863123223184865,0.03234337461192673,0.03713581104717545,0.039933279986718785
Mike Ross (D),0.04975158321705853,0.04459813806995876,0.04106736485606117,0.03982723950056349,0.044018214685368234,0.03692339396267391,0.041414402447862014,0.037878339117327714,0.051878041025113966,0.046617160672890665,0.04747778701425337,0.041614418079559096,0.052373803500080925,0.04489023115704465,0.048055620453818615,0.03867719959508842,0.03863832789523644,0.04008116458603616,0.04280014974414817,0.04830708544001905
