x-entity,Anarchism,Antisemitism,Capitalism,Christianity,Communism,Conservatism,Democracy,Fascism,Feminism,Islamophobia,Left-wing politics,Liberalism,Marxism,Nationalism,Neo-Nazism,Protestantism,Right-wing politics,Secularism,Socialism,White supremacy
Jo Bonner (R),0.10201715015751496,0.09491971528514986,0.0935970635920591,0.07803820403645167,0.09217022904721732,0.0950472450010774,0.0922394523075624,0.08729622193407817,0.07983148791881142,0.09852684359565274,0.09835274995768424,0.08921285812659151,0.09159487044243823,0.0980036613903399,0.12756900913514546,0.07949397780774367,0.08873527453553395,0.08590073213416291,0.09913147107175688,0.0982363181662924
Martha Roby (R),0.09701965724412832,0.09683119121190144,0.09747945758250848,0.07903688895587792,0.10282833309514322,0.12061274037144927,0.11520660664208153,0.09862028906132793,0.0955097353084718,0.08983318087011828,0.10118699987274632,0.10760171914789332,0.08536662797379346,0.08744697153819891,0.12004213957254085,0.09401577133053944,0.10897238239747573,0.09687354231812126,0.11715506947548456,0.09723646530527616
Mike Rogers (R),0.09368090255923073,0.08822947077348497,0.09217285486766963,0.07930724766692569,0.09387793432752374,0.08445059397642092,0.08091969982941825,0.09750105234414663,0.0861081803054314,0.07705050829675629,0.08815302314355315,0.10154667752689234,0.0903753085041887,0.09479299835833277,0.11646478258176117,0.08154899288796696,0.08356523272015917,0.07222125163952366,0.1031812568283551,0.09194244072083396
Robert Aderholt (R),0.1262217270648556,0.11144948045553074,0.10592503724654184,0.09348884659632352,0.115160602623519,0.14455174867138684,0.11657575438381475,0.11346488668842135,0.09244496780465347,0.09603151958834164,0.11874840317358434,0.12177581656390712,0.09147847851356876,0.10554310689618834,0.15964472303993973,0.11086216247804127,0.12517931216584016,0.10423682748093163,0.1302884297898964,0.11409872986497352
Mo Brooks (R),0.12141583745797455,0.10141094546289592,0.10398418066489223,0.09480087517318593,0.11369191430929335,0.13457241559728386,0.11968636700461953,0.1179200649915462,0.08984286664291039,0.09377372977062552,0.11581034567805608,0.11757483312910882,0.0907434699752845,0.11142828064684772,0.14798203193272266,0.10779046767266023,0.11554945714194208,0.09582404806697692,0.13395479124068094,0.11462417016023095
Spencer Bachus (R),0.1290106641389902,0.11681610862054966,0.1070472107030616,0.08729889807686846,0.10942946365801197,0.12201235314608487,0.10354027123940926,0.11922885434283224,0.09679770981033116,0.098723061878283,0.12053666478865765,0.1224053978400709,0.08651266617449636,0.11220153655603768,0.16163717979473924,0.10714064267367836,0.10657371614288673,0.08981055454625486,0.14098765797451052,0.10096593992814548
Terri Sewell (D),0.111118637494951,0.104006685095113,0.09978595355888878,0.09330174685885624,0.10833432058945604,0.10464296352353464,0.12536213363639193,0.10866052452226836,0.12147659717623766,0.09103728759692678,0.10548048947099098,0.11719821072528225,0.08994349268978892,0.095035408861951,0.1420454696297399,0.11066645246621687,0.10032836698816756,0.0987950131544449,0.12104650129222312,0.11521428064970203
Paul Gosar (R),0.10656122098708262,0.09654193079793874,0.09457188180533507,0.08604654827504059,0.09409795749609157,0.11158331905987123,0.10616477612273104,0.1080294123029289,0.08638285709834735,0.09539510809972376,0.11519130236990445,0.11412827154282748,0.09860511636799517,0.11118693118854638,0.14712774331425135,0.08843711171236282,0.11069634323898186,0.08837740405503566,0.1167226113814835,0.10726046820514597
Trent Franks (R),0.12078211490761676,0.1220058547008501,0.09468032114020047,0.0955419160996871,0.09403327386851587,0.1091326838787898,0.11013219858266446,0.1044835110180791,0.09900375982833344,0.11387496864547453,0.1235718380447654,0.10635331351097438,0.09052910715431467,0.10821451391567358,0.1429290302751576,0.09774072141915303,0.12275398982958954,0.0907553275292488,0.12420351514027295,0.10950008208432123
Ben Quayle (R),0.11922622098291395,0.10858095693826086,0.09723856466982342,0.08717370310745172,0.09581175832074232,0.11988368452848915,0.10763464736095092,0.11133840396587136,0.09719435416056353,0.09052280251131213,0.11541791164193595,0.11720524310599448,0.09092222192950487,0.11108907590243797,0.14863901649315595,0.09520097492231863,0.0981921206605085,0.08336413699207224,0.1231919516949907,0.10022946653329626
