subject;predicate;object;score
Marc Ambinder;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Barclay Surrick;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Hobbs;/people/person/education./education/education/degree;Bachelor of Arts;1
Richard James Gelles;/people/person/education./education/education/degree;Bachelor of Arts;5
Harris Hartz;/people/person/education./education/education/degree;Bachelor of Arts;5
Anne Elise Thompson;/people/person/education./education/education/degree;Bachelor of Arts;5
Malcolm Skilbeck;/people/person/education./education/education/degree;Bachelor of Arts;5
David C. Norton;/people/person/education./education/education/degree;Bachelor of Arts;5
James E. Gritzner;/people/person/education./education/education/degree;Bachelor of Arts;5
Stephanie Strom;/people/person/education./education/education/degree;Bachelor of Arts;5
Burt Hara;/people/person/education./education/education/degree;Bachelor of Arts;5
Claudia Ann Wilken;/people/person/education./education/education/degree;Bachelor of Arts;5
Aaron Lazare;/people/person/education./education/education/degree;Bachelor of Arts;5
Ahmad Sadri;/people/person/education./education/education/degree;Bachelor of Arts;1
Patricia Jean Ehrhardt Pernick Boyle;/people/person/education./education/education/degree;Bachelor of Arts;5
Qazi Abdul Sattar;/people/person/education./education/education/degree;Bachelor of Arts;5
Martin Augustine Knapp;/people/person/education./education/education/degree;Bachelor of Arts;5
Edith M. Flanigen;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Dorsey Watkins;/people/person/education./education/education/degree;Bachelor of Arts;5
Kate Millett;/people/person/education./education/education/degree;Bachelor of Arts;5
Kenneth Zucker;/people/person/education./education/education/degree;Bachelor of Arts;5
Morris E. Lasker;/people/person/education./education/education/degree;Bachelor of Arts;5
Frank Albert Kaufman;/people/person/education./education/education/degree;Bachelor of Arts;5
William Lloyd Hoyt;/people/person/education./education/education/degree;Bachelor of Arts;1
Rya Weickert Zobel;/people/person/education./education/education/degree;Bachelor of Arts;5
Guy Breton;/people/person/education./education/education/degree;Bachelor of Arts;5
James Hargrove Meredith;/people/person/education./education/education/degree;Bachelor of Arts;5
Dermot Meagher;/people/person/education./education/education/degree;Bachelor of Arts;5
Dennis A. Cornell;/people/person/education./education/education/degree;Bachelor of Arts;5
John Percy Page;/people/person/education./education/education/degree;Bachelor of Arts;5
Harold Duane Vietor;/people/person/education./education/education/degree;Bachelor of Arts;5
Bradford P. Campbell;/people/person/education./education/education/degree;Bachelor of Arts;5
Alan David Lourie;/people/person/education./education/education/degree;Bachelor of Arts;5
Serhy Yekelchyk;/people/person/education./education/education/degree;Bachelor of Arts;5
John Weld Peck;/people/person/education./education/education/degree;Bachelor of Arts;5
James Randal Hall;/people/person/education./education/education/degree;Bachelor of Arts;5
