subject;predicate;object;score;path
Jim Barksdale;/people/person/education./education/education/degree;Bachelor of Arts;5;James L. Barksdale>Jackson, Mississippi>Millsaps College>Bachelor of Arts
Eric Gans;/people/person/education./education/education/degree;Bachelor of Arts;5;Eric Gans>French Literature>Jean-Paul Sartre>Bachelor of Arts
Bill Gothard;/people/person/education./education/education/degree;Bachelor of Arts;5;Bill Gothard>Illinois>Ronald Reagan>Bachelor of Arts
Yolanda King;/people/person/education./education/education/degree;Bachelor of Arts;-5;Yolanda King>Ronald Reagan>Bachelor of Arts
Martha Crago;/people/person/education./education/education/degree;Bachelor of Arts;5;Martha Crago>Research>Social science>Bachelor of Arts
Lesley Dill;/people/person/education./education/education/degree;Bachelor of Arts;5;Lesley Dill>Bronxville, New York>Richard Nixon>Bachelor of Arts
R. L. Shep;/people/person/education./education/education/degree;Bachelor of Arts;5;R. L. Shep>United States of America>Franklin D. Roosevelt>Bachelor of Arts
Richard Yarborough;/people/person/education./education/education/degree;Bachelor of Arts;5;Richard Yarborough>Professor>Psychologist>Bachelor of Arts
Steven Forness;/people/person/education./education/education/degree;Bachelor of Arts;5;Steven Forness>Psychology>Social science>Bachelor of Arts
Samuel Preston Bayard;/people/person/education./education/education/degree;Bachelor of Arts;5;Samuel Preston Bayard>YouTube>Documentary film>Bachelor of Arts
David G. Bromley;/people/person/education./education/education/degree;Bachelor of Arts;5;David G. Bromley>sociology>Social science>Bachelor of Arts
William J. Chiego;/people/person/education./education/education/degree;Bachelor of Arts;5;William J. Chiego>United States>Franklin D. Roosevelt>Bachelor of Arts
Byron W. Bender;/people/person/education./education/education/degree;Bachelor of Arts;5;Byron W. Bender>linguistics>Noam Chomsky>Bachelor of Arts
Alex Morrison;/people/person/education./education/education/degree;Bachelor of Arts;-5;Alex Morrison>Alexander Morrison>Alexander Morrison (politician)>Manitoba>Brian Mulroney>Bachelor of Arts
Wells Tower;/people/person/education./education/education/degree;Bachelor of Arts;5;Wells Tower>Wesleyan University>Elia Kazan>Bachelor of Arts
Kendis Gibson;/people/person/education./education/education/degree;Bachelor of Arts;5;Kendis Gibson>ABC News>Howard K. Smith>Bachelor of Arts
Junichi P. Semitsu;/people/person/education./education/education/degree;Bachelor of Arts;5;Junichi P. Semitsu>University of San Diego>University of California, San Diego>Bachelor of Arts
Doug Henwood;/people/person/education./education/education/degree;Bachelor of Arts;5;Doug Henwood>Milton Friedman>Bachelor of Arts
John F. Amodeo;/people/person/education./education/education/degree;Bachelor of Arts;5;John F. Amodeo>Republican Party (United States)>Theodore Roosevelt>Bachelor of Arts
Dana Stabenow;/people/person/education./education/education/degree;Bachelor of Arts;5;Dana Stabenow>Anchorage, Alaska>William H. Seward>Bachelor of Arts
Naomi Schor;/people/person/education./education/education/degree;Bachelor of Arts;5;Naomi Schor>Barnard College>Bachelor of Arts
J. Scott Armstrong;/people/person/education./education/education/degree;Bachelor of Arts;-5;J. Scott Armstrong>Lehigh University>Bachelor of Arts
John Edgar Park;/people/person/education./education/education/degree;Bachelor of Arts;5;John Edgar Park>University of Virginia>Carl Sagan>Bachelor of Arts
Beverly J. Silver;/people/person/education./education/education/degree;Bachelor of Arts;5;Beverly J. Silver>Barnard College>Bachelor of Arts
Ann Williams (politician);/people/person/education./education/education/degree;Bachelor of Arts;5;Ann Williams (politician)>Democratic Party (United States)>Theodore Roosevelt>Bachelor of Arts
J. P. Mallory;/people/person/education./education/education/degree;Bachelor of Arts;5;J. P. Mallory>Queen's University, Belfast>Universities in the United Kingdom>Bachelor of Arts
Bruce Lahn;/people/person/education./education/education/degree;Bachelor of Arts;5;Bruce Lahn>University of Chicago>Milton Friedman>Bachelor of Arts
Jim Cash;/people/person/education./education/education/degree;Bachelor of Arts;5;Jim Cash>Michigan>Ronald Reagan>Bachelor of Arts
Barry Stroud;/people/person/education./education/education/degree;Bachelor of Arts;5;Barry Stroud>University of Toronto>Marshall McLuhan>Bachelor of Arts
Gordon Edelstein;/people/person/education./education/education/degree;Bachelor of Arts;5;Gordon Edelstein>New Haven, Connecticut>George H. W. Bush>Bachelor of Arts
Patricia Wright;/people/person/education./education/education/degree;Bachelor of Arts;5;Patricia Wright>Doylestown, Pennsylvania>Margaret Mead>Bachelor of Arts
David Altheide;/people/person/education./education/education/degree;Bachelor of Arts;5;David Altheide>University of California, San Diego>Bachelor of Arts
Mary Mazzio;/people/person/education./education/education/degree;Bachelor of Arts;5;Mary Mazzio>Documentary film>Bachelor of Arts
Terry Eastwood;/people/person/education./education/education/degree;Bachelor of Arts;5;Terry Eastwood>University of Alberta>University of Calgary>Bachelor of Arts
Jim Gardner (broadcaster);/people/person/education./education/education/degree;Bachelor of Arts;5;Jim Gardner (broadcaster)>New York City, New York>Benjamin Franklin>Bachelor of Arts
Steven B. Bowman;/people/person/education./education/education/degree;Bachelor of Arts;5;Steven B. Bowman>Judaic Studies>Barnard College>Bachelor of Arts
Steven M. Biskupic;/people/person/education./education/education/degree;Bachelor of Arts;5;Steven M. Biskupic>John Ashcroft>Bachelor of Arts
Patrick McTaggart-Cowan;/people/person/education./education/education/degree;Bachelor of Arts;-5;Patrick McTaggart-Cowan>University of British Columbia>Concordia University>Bachelor of Arts
Kelvin Thomson;/people/person/education./education/education/degree;Bachelor of Arts;-3;Kelvin Thomson>Bob Hawke>Bachelor of Arts
Alan Reynolds;/people/person/education./education/education/degree;Bachelor of Arts;5;Alan Reynolds>Alan Reynolds (economist)>supply-side economics>Ronald Reagan>Bachelor of Arts
Andrew Hollander;/people/person/education./education/education/degree;Bachelor of Arts;5;Andrew Hollander>West Orange, New Jersey>East Carolina University>Bachelor of Arts
Vernon Odom;/people/person/education./education/education/degree;Bachelor of Arts;-1;Vernon Odom>Philadelphia>Benjamin Franklin>Bachelor of Arts
Adalberto Jordan;/people/person/education./education/education/degree;Bachelor of Arts;5;Adalberto Jordan>Sandra Day O'Connor>Bachelor of Arts
Myah Moore;/people/person/education./education/education/degree;Bachelor of Arts;5;Miss Oregon USA>Portland, Oregon>Elliott Smith>Bachelor of Arts
Gregory M. Frazier;/people/person/education./education/education/degree;Bachelor of Arts;-5;Gregory M. Frazier>Abilene, Kansas>Ronald Reagan>Bachelor of Arts
Harold Ford, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5;Harold Ford Jr.>Joseph Stiglitz>Bachelor of Arts
Richard Kahn, Baron Kahn;/people/person/education./education/education/degree;Bachelor of Arts;1;Richard Kahn, Baron Kahn>Keynesian economics>Franklin D. Roosevelt>Bachelor of Arts
Kristen Cox;/people/person/education./education/education/degree;Bachelor of Arts;5;Kristen Cox>United States Republican Party>Theodore Roosevelt>Bachelor of Arts
Sebastian Okechukwu Mezu;/people/person/education./education/education/degree;Bachelor of Arts;5;Sebastian Okechukwu Mezu>Georgetown University>Benjamin Franklin>Bachelor of Arts
Sharon Presley;/people/person/education./education/education/degree;Bachelor of Arts;5;Sharon Presley>City University of New York>Hunter College>Bachelor of Arts
Hank Lazer;/people/person/education./education/education/degree;Bachelor of Arts;5;Hank Lazer>United States>Franklin D. Roosevelt>Bachelor of Arts
Harold Courlander;/people/person/education./education/education/degree;Bachelor of Arts;5;Harold Courlander>Dance>Bachelor of Arts
The Edward R. Murrow Forum on Issues in Journalism;/people/person/education./education/education/degree;Bachelor of Arts;-1;The Edward R. Murrow Forum on Issues in Journalism>Tufts University>Dartmouth College>Bachelor of Arts
