sep=;
Entity;Score
/m/02h4rq6;311
/m/028dcg;51
/m/04zx3q1;52
/m/03bwzr4;40
/m/014mlp;897
/m/0298l0;16
/m/02m4yg;11
/m/09ks9_;0
/m/016t_3;7
/m/02b_jf;5
/m/02cqwf;32
/m/08yymg;1
/m/0bkj86;54
/m/022h5x;11
/m/013zdg;31
/m/01kxxq;4
/m/021rnh;0
/m/019v9k;29
/m/06bgwj;2
/m/020r15;2
/m/071tyz;0
/m/0d6f_d;0
/m/07kbyff;6
/m/026tmy8;0
/m/0h7c1;1
/m/02q_x0;5
/m/02693t8;0
/m/05yr22;0
/m/0bmh6h6;0
/m/07s6fsf;14
/m/02vrkhl;0
/m/0gslvg;0
/m/01rr_d;89
/m/02ns4l;0
/m/01pqhv;0
/m/0266qtf;11
/m/05h9ml;0
/m/0bs5dd;0
/m/01ysy9;2
/m/03hg3j;1
/m/0gvys1;0
/m/01qy58;2
/m/027sxx;1
/m/02_xgp2;3
/m/01vnym;1
/m/0cfxdw;0
/m/04ylcy;0
/m/0fqnfgq;0
/m/0g695cd;0
/m/0gmjzxq;0
/m/09_xwp;0
/m/03mkk4;10
/m/0bmbp32;0
/m/0fcrs1;0
/m/023tc_;0
/m/02m_13;0
/m/027f2w;12
/m/0813tr;0
/m/0fm_61;0
/m/05ldq7;0
/m/02y3sy;0
/m/01k_sh;0
/m/025t8c6;0
/m/03szzb;0
/m/02_b3g;3
/m/02h9sc;0
/m/02qhqy3;0
/m/02vnrmc;0
/m/04wbh8;0
/m/023v97;0
/m/03ck_g4;0
/m/01kxyr;0
/m/0b_rpp;0
/m/09v5shn;0
/m/090fz4;12
/m/05nlp4;0
/m/01fv2y;0
/m/02qt_n3;0
/m/04nqsm;0
/m/027np7;3
/m/02x38m9;7
/m/023tbs;2
/m/09336d;1
/m/07kf68s;1
/m/01_scg;1
/m/03p192;1
/m/0269pb;0
/m/052nhd;7
/m/07k96m6;0
/m/08x999;0
/m/09hd62;1
/m/02cq61;2
/m/09mz1w;0
/m/08q17r;0
/m/026_693;0
