subject;predicate;object;score;path
Morris S. Miller;/people/person/place_of_birth;New York City;5.0;Morris S. Miller>Buffalo, New York>New York City
Max Ferguson (painter);/people/person/place_of_birth;New York City;5.0;Max Ferguson (painter)>New York University>Berlin>New York City
John J. Dunnigan;/people/person/place_of_birth;New York City;5.0;John J. Dunnigan>New York (state)>Arabic>New York City
Frederick Juengling;/people/person/place_of_birth;New York City;5.0;Frederick Juengling>Berlin>New York City
Reuel Denney;/people/person/place_of_birth;New York City;5.0;Reuel Denney>Buffalo, New York>New York City
Thomas R. Ball;/people/person/place_of_birth;New York City;5.0;Thomas R. Ball>Connecticut>New York City
Derek Milman;/people/person/place_of_birth;New York City;5.0;Derek Milman>Westchester County>The Bronx>New York City
Mitchel B. Wallerstein;/people/person/place_of_birth;New York City;5.0;Mitchel B. Wallerstein>Maxwell School of Citizenship and Public Affairs>Documentary film>New York City
Silas Seandel;/people/person/place_of_birth;New York City;5.0;Silas Seandel>New York (magazine)>California>New York City
James A. Hamilton;/people/person/place_of_birth;New York City;5.0;James A. Hamilton>The New York Times>Buffalo, New York>New York City
James H. Torrens;/people/person/place_of_birth;New York City;5.0;James H. Torrens>Babe Ruth>New York City
Gene Calderazzo;/people/person/place_of_birth;New York City;3.0;Gene Calderazzo>United States>American Revolution>New York City
Randy Klein;/people/person/place_of_birth;New York City;5.0;Randy Klein>Museum of Modern Art>Buffalo, New York>New York City
Lawrence Francis Kramer;/people/person/place_of_birth;New York City;-1.0;Lawrence Francis Kramer>The New York Times>Buffalo, New York>New York City
Robert Joseph Ward;/people/person/place_of_birth;New York City;3.0;Robert Joseph Ward>United States District Court for the Southern District of New York>The Bronx>New York City
Anna Alice Chapin;/people/person/place_of_birth;New York City;5.0;Anna Alice Chapin>New York Public Library>The Bronx>New York City
Otto Maass;/people/person/place_of_birth;New York City;5.0;Otto Maass>McGill University>British Columbia>New York City
John Punnett Peters;/people/person/place_of_birth;New York City;5.0;John Punnett Peters>United States>American Revolution>New York City
Anne Walker;/people/person/place_of_birth;New York City;5.0;Anne Walker (architectural historian)>Columbia University>New York City
David E. Mark;/people/person/place_of_birth;New York City;5.0;David E. Mark>Columbia University>New York City
Marc Myers;/people/person/place_of_birth;New York City;5.0;Marc Myers>Columbia University>New York City
Norwood Bowne;/people/person/place_of_birth;New York City;5.0;Norwood Bowne>Delaware County, New York>American Revolutionary War>New York City
Samuel Colgate;/people/person/place_of_birth;New York City;5.0;Samuel Colgate>New York (state)>Arabic>New York City
Edward McGlynn;/people/person/place_of_birth;New York City;5.0;Edward McGlynn>United States>American Revolution>New York City
Herman Trunk;/people/person/place_of_birth;New York City;5.0;Herman Trunk>Modernism>Eiffel Tower>New York City
Steve Powers;/people/person/place_of_birth;New York City;5.0;Steve Powers>United States Coast Guard>Delaware>New York City
Morgan Dix;/people/person/place_of_birth;New York City;5.0;Morgan Dix>Columbia University>New York City
Irwin Steingut;/people/person/place_of_birth;New York City;5.0;Irwin Steingut>Herbert H. Lehman>Columbia University>New York City
Paul A. Schneider;/people/person/place_of_birth;New York City;-1.0;Paul A. Schneider>George W. Bush>Connecticut>New York City
Lawrence Lessing;/people/person/place_of_birth;New York City;-5.0;Lawrence Lessing>Buffalo, New York>New York City
Charles McCabe;/people/person/place_of_birth;New York City;1.0;Charles McCabe>The New York Times>Buffalo, New York>New York City
Jay Irving;/people/person/place_of_birth;New York City;3.0;Jay Irving>Columbia University>New York City
Kate Warne;/people/person/place_of_birth;New York City;1.0;Kate Warne>Chicago>New York City
Mike DiMeo;/people/person/place_of_birth;New York City;5.0;Mike DiMeo>Eric Clapton>New York City
Herman Rietzel;/people/person/place_of_birth;New York City;5.0;Herman Rietzel>United States>American Revolution>New York City
James Maurice;/people/person/place_of_birth;New York City;5.0;James Maurice>United States House of Representatives>Delaware>New York City
Samuel Isham;/people/person/place_of_birth;New York City;1.0;Samuel Isham>New York City, New York>The Bronx>New York City
Richard Bernas;/people/person/place_of_birth;New York City;5.0;Richard Bernas>Karlheinz Stockhausen>Bonn>New York City
Josh Neufeld;/people/person/place_of_birth;New York City;5.0;Josh Neufeld>New York (state)>Arabic>New York City
Sarah Platt Doremus;/people/person/place_of_birth;New York City;5.0;Sarah Platt Doremus>New Jersey>Delaware>New York City
Robert Hoe III;/people/person/place_of_birth;New York City;5.0;Robert Hoe III>London>David Bowie>New York City
Joe L. Brown;/people/person/place_of_birth;New York City;-3.0;Joe L. Brown>Major League Baseball>Chicago>New York City
Ben Yagoda;/people/person/place_of_birth;New York City;5.0;Ben Yagoda>Yale University>Connecticut>New York City
Robert Hessen;/people/person/place_of_birth;New York City;5.0;Robert Hessen>Columbia University>New York City
Charles Bazerman;/people/person/place_of_birth;New York City;-1.0;Charles Bazerman>United States>American Revolution>New York City
Harry Borden;/people/person/place_of_birth;New York City;-1.0;Harry Borden>Robin Williams>Chicago>New York City
Greg Rand;/people/person/place_of_birth;New York City;5.0;Greg Rand>New York (state)>Arabic>New York City
William Schaus;/people/person/place_of_birth;New York City;5.0;William Schaus>The New York Times>Buffalo, New York>New York City
Frederick S. Armitage;/people/person/place_of_birth;New York City;1.0;Frederick S. Armitage>Seneca Falls, NY>American Revolution>New York City
Ely Jacques Kahn, Jr.;/people/person/place_of_birth;New York City;5.0;Ely Jacques Kahn Jr.>Columbia University>New York City
John Sterling Rockefeller;/people/person/place_of_birth;New York City;5.0;John Sterling Rockefeller>Manhattan, New York City>East River>New York City
Melissa Murphy;/people/person/place_of_birth;New York City;-5.0;Melissa Murphy>Brooklyn>Bridge>New York City
