subject;predicate;object;score;path
Morris S. Miller;/people/person/place_of_birth;New York City;5.0;0.19314582626759716
Max Ferguson (painter);/people/person/place_of_birth;New York City;5.0;0.295168358652401
John J. Dunnigan;/people/person/place_of_birth;New York City;5.0;0.1849892216386872
Frederick Juengling;/people/person/place_of_birth;New York City;5.0;0.18209441605919124
Reuel Denney;/people/person/place_of_birth;New York City;5.0;0.11461507445371422
Thomas R. Ball;/people/person/place_of_birth;New York City;5.0;0.18327321912661002
Derek Milman;/people/person/place_of_birth;New York City;5.0;0.16392267173057926
Mitchel B. Wallerstein;/people/person/place_of_birth;New York City;5.0;0.13306239521855895
Silas Seandel;/people/person/place_of_birth;New York City;5.0;0.10278261408333571
James A. Hamilton;/people/person/place_of_birth;New York City;5.0;0.12044471817701874
James H. Torrens;/people/person/place_of_birth;New York City;5.0;0.14874228289704397
Gene Calderazzo;/people/person/place_of_birth;New York City;3.0;0.12100629864773009
Randy Klein;/people/person/place_of_birth;New York City;5.0;0.1096738862190277
Lawrence Francis Kramer;/people/person/place_of_birth;New York City;-1.0;0.07268176307361231
Robert Joseph Ward;/people/person/place_of_birth;New York City;3.0;0.26567289325439697
Anna Alice Chapin;/people/person/place_of_birth;New York City;5.0;0.13867817365212703
Otto Maass;/people/person/place_of_birth;New York City;5.0;0.1084775503232577
John Punnett Peters;/people/person/place_of_birth;New York City;5.0;0.16201754618947004
Anne Walker;/people/person/place_of_birth;New York City;5.0;0.12359538163493883
David E. Mark;/people/person/place_of_birth;New York City;5.0;0.19312684151094367
Marc Myers;/people/person/place_of_birth;New York City;5.0;0.1323529591324419
Norwood Bowne;/people/person/place_of_birth;New York City;5.0;0.26797208049403454
Samuel Colgate;/people/person/place_of_birth;New York City;5.0;0.1251665337492931
Edward McGlynn;/people/person/place_of_birth;New York City;5.0;0.1530393575790499
Herman Trunk;/people/person/place_of_birth;New York City;5.0;0.12093332551667317
Steve Powers;/people/person/place_of_birth;New York City;5.0;0.19607713292913412
Morgan Dix;/people/person/place_of_birth;New York City;5.0;0.18363490983500536
Irwin Steingut;/people/person/place_of_birth;New York City;5.0;0.13792526687378406
Paul A. Schneider;/people/person/place_of_birth;New York City;-1.0;0.05762520187982893
Lawrence Lessing;/people/person/place_of_birth;New York City;-5.0;0.06637645955091351
Charles McCabe;/people/person/place_of_birth;New York City;1.0;0.06178207366759583
Jay Irving;/people/person/place_of_birth;New York City;3.0;0.10887815616172089
Kate Warne;/people/person/place_of_birth;New York City;1.0;0.07689863766074109
Mike DiMeo;/people/person/place_of_birth;New York City;5.0;0.1262633632057434
Herman Rietzel;/people/person/place_of_birth;New York City;5.0;0.1557845447878755
James Maurice;/people/person/place_of_birth;New York City;5.0;0.19080999938512072
Samuel Isham;/people/person/place_of_birth;New York City;1.0;0.14779423473457004
Richard Bernas;/people/person/place_of_birth;New York City;5.0;0.11364755219860753
Josh Neufeld;/people/person/place_of_birth;New York City;5.0;0.13525941718692908
Sarah Platt Doremus;/people/person/place_of_birth;New York City;5.0;0.18765520194616775
Robert Hoe III;/people/person/place_of_birth;New York City;5.0;0.18531324488485185
Joe L. Brown;/people/person/place_of_birth;New York City;-3.0;0.07902981835209275
Ben Yagoda;/people/person/place_of_birth;New York City;5.0;0.15557313985180699
Robert Hessen;/people/person/place_of_birth;New York City;5.0;0.1166651053516502
Charles Bazerman;/people/person/place_of_birth;New York City;-1.0;0.07580645892914481
Harry Borden;/people/person/place_of_birth;New York City;-1.0;0.05919671141585614
Greg Rand;/people/person/place_of_birth;New York City;5.0;0.09095392750309517
William Schaus;/people/person/place_of_birth;New York City;5.0;0.14926966331414115
Frederick S. Armitage;/people/person/place_of_birth;New York City;1.0;0.10028576845759557
Ely Jacques Kahn, Jr.;/people/person/place_of_birth;New York City;5.0;0.18988881523316145
John Sterling Rockefeller;/people/person/place_of_birth;New York City;5.0;0.09259677866423192
Melissa Murphy;/people/person/place_of_birth;New York City;-5.0;0.09078624969141902
Caroline Beaumont Zachry;/people/person/place_of_birth;New York City;5.0;0.12693799566764624
Gerrit Henry;/people/person/place_of_birth;New York City;5.0;0.20336745737032486
Ray Gilhooley;/people/person/place_of_birth;New York City;5.0;0.25559299475115954
Jimmy Douglass;/people/person/place_of_birth;New York City;-5.0;0.08999391450447404
Countee Cullen;/people/person/place_of_birth;New York City;-1.0;0.12979768847781192
Jenny Burton;/people/person/place_of_birth;New York City;1.0;0.07346323565639433
Adele Morales;/people/person/place_of_birth;New York City;5.0;0.1510674442671484
Matthew J. Merritt;/people/person/place_of_birth;New York City;5.0;0.2575293752996407
Victor Hammer (businessman);/people/person/place_of_birth;New York City;5.0;0.17608270698937062
Joe Connelly (producer);/people/person/place_of_birth;New York City;5.0;0.12426969263357636
David Goodman Croly;/people/person/place_of_birth;New York City;1.0;0.16592703513323676
