subject;predicate;object;score
Morris S. Miller;/people/person/place_of_birth;New York City;5
Max Ferguson (painter);/people/person/place_of_birth;New York City;5
John J. Dunnigan;/people/person/place_of_birth;New York City;5
Frederick Juengling;/people/person/place_of_birth;New York City;5
Reuel Denney;/people/person/place_of_birth;New York City;5
Thomas R. Ball;/people/person/place_of_birth;New York City;5
Vivian Liska;/people/person/place_of_birth;New York City;5
Eric Truvillion;/people/person/place_of_birth;New York City;5
Derek Milman;/people/person/place_of_birth;New York City;5
Mitchel B. Wallerstein;/people/person/place_of_birth;New York City;5
Silas Seandel;/people/person/place_of_birth;New York City;5
James A. Hamilton;/people/person/place_of_birth;New York City;5
James H. Torrens;/people/person/place_of_birth;New York City;5
Gene Calderazzo;/people/person/place_of_birth;New York City;3
Randy Klein;/people/person/place_of_birth;New York City;5
Lawrence Francis Kramer;/people/person/place_of_birth;New York City;-1
Robert Joseph Ward;/people/person/place_of_birth;New York City;3
Anna Alice Chapin;/people/person/place_of_birth;New York City;5
Deborah Solomon;/people/person/place_of_birth;New York City;5
Otto Maass;/people/person/place_of_birth;New York City;5
John Punnett Peters;/people/person/place_of_birth;New York City;5
Anne Walker;/people/person/place_of_birth;New York City;5
David E. Mark;/people/person/place_of_birth;New York City;5
Norman Scott (bass);/people/person/place_of_birth;New York City;1
Marc Myers;/people/person/place_of_birth;New York City;5
Norwood Bowne;/people/person/place_of_birth;New York City;5
Samuel Colgate;/people/person/place_of_birth;New York City;5
Edward McGlynn;/people/person/place_of_birth;New York City;5
Herman Trunk;/people/person/place_of_birth;New York City;5
Steve Powers;/people/person/place_of_birth;New York City;5
Morgan Dix;/people/person/place_of_birth;New York City;5
Irwin Steingut;/people/person/place_of_birth;New York City;5
Melvyn Goldstein;/people/person/place_of_birth;New York City;-1
Sergio Cresto;/people/person/place_of_birth;New York City;1
David Walsh (writer);/people/person/place_of_birth;New York City;5
Paul A. Schneider;/people/person/place_of_birth;New York City;-1
Lawrence Lessing;/people/person/place_of_birth;New York City;-5
Charles McCabe;/people/person/place_of_birth;New York City;1
Judy Craig;/people/person/place_of_birth;New York City;1
Jay Irving;/people/person/place_of_birth;New York City;3
Leona Rostenberg;/people/person/place_of_birth;New York City;5
Kate Warne;/people/person/place_of_birth;New York City;1
Mike DiMeo;/people/person/place_of_birth;New York City;5
Tommy Mandel;/people/person/place_of_birth;New York City;5
Herman Rietzel;/people/person/place_of_birth;New York City;5
James Maurice;/people/person/place_of_birth;New York City;5
Samuel Isham;/people/person/place_of_birth;New York City;1
Richard Bernas;/people/person/place_of_birth;New York City;5
Josh Neufeld;/people/person/place_of_birth;New York City;5
Hannah Kahn;/people/person/place_of_birth;New York City;5
Sarah Platt Doremus;/people/person/place_of_birth;New York City;5
Robert Hoe III;/people/person/place_of_birth;New York City;5
Joe L. Brown;/people/person/place_of_birth;New York City;-3
Maarten van den Bergh;/people/person/place_of_birth;New York City;5
Barbara Probst Solomon;/people/person/place_of_birth;New York City;3
Ben Yagoda;/people/person/place_of_birth;New York City;5
David H. Frisch;/people/person/place_of_birth;New York City;5
Robert Hessen;/people/person/place_of_birth;New York City;5
Charles Bazerman;/people/person/place_of_birth;New York City;-1
Harry Borden;/people/person/place_of_birth;New York City;-1
Greg Rand;/people/person/place_of_birth;New York City;5
William Schaus;/people/person/place_of_birth;New York City;5
Frederick S. Armitage;/people/person/place_of_birth;New York City;1
Ely Jacques Kahn, Jr.;/people/person/place_of_birth;New York City;5
John Sterling Rockefeller;/people/person/place_of_birth;New York City;5
Melissa Murphy;/people/person/place_of_birth;New York City;-5
Caroline Beaumont Zachry;/people/person/place_of_birth;New York City;5
Gerrit Henry;/people/person/place_of_birth;New York City;5
Ray Gilhooley;/people/person/place_of_birth;New York City;5
Edward Auer;/people/person/place_of_birth;New York City;5
Jimmy Douglass;/people/person/place_of_birth;New York City;-5
Tito Puente, Jr.;/people/person/place_of_birth;New York City;5
Countee Cullen;/people/person/place_of_birth;New York City;-1
Carmine Nigro;/people/person/place_of_birth;New York City;5
Jenny Burton;/people/person/place_of_birth;New York City;1
Adele Morales;/people/person/place_of_birth;New York City;5
Matthew J. Merritt;/people/person/place_of_birth;New York City;5
Victor Hammer (businessman);/people/person/place_of_birth;New York City;5
Jerome Levine;/people/person/place_of_birth;New York City;5
Joe Connelly (producer);/people/person/place_of_birth;New York City;5
David Goodman Croly;/people/person/place_of_birth;New York City;1
James G. Evans;/people/person/place_of_birth;New York City;5
David Buskin;/people/person/place_of_birth;New York City;5
James McBratney;/people/person/place_of_birth;New York City;5
Loyd A. Jones;/people/person/place_of_birth;New York City;-5
Arthur R.G. Solmssen;/people/person/place_of_birth;New York City;1
George Washington Vanderbilt III;/people/person/place_of_birth;New York City;5
Harry Mathews;/people/person/place_of_birth;New York City;5
Joe Sobel;/people/person/place_of_birth;New York City;-5
John Clarkson Jay;/people/person/place_of_birth;New York City;5
Edwin Grasse;/people/person/place_of_birth;New York City;5
Paul Carter Harrison;/people/person/place_of_birth;New York City;5
George Waggner;/people/person/place_of_birth;New York City;5
Stephen Blauner;/people/person/place_of_birth;New York City;1
Stewart L. Woodford;/people/person/place_of_birth;New York City;5
Edward Weinfeld;/people/person/place_of_birth;New York City;5
Zack O'Malley Greenburg;/people/person/place_of_birth;New York City;5
William Starr Miller II;/people/person/place_of_birth;New York City;5
Frank Hotaling;/people/person/place_of_birth;New York City;5
George Sheldon Johnsen;/people/person/place_of_birth;New York City;-3
Andrew Hussey Allen;/people/person/place_of_birth;New York City;5
Stanley Cooperman;/people/person/place_of_birth;New York City;5
Jay Gubitz;/people/person/place_of_birth;New York City;1
Allan G. Brodie;/people/person/place_of_birth;New York City;5
Jock Gaynor;/people/person/place_of_birth;New York City;-5
Amanda Green;/people/person/place_of_birth;New York City;5
David Eisenbud;/people/person/place_of_birth;New York City;1
Edwin Lester;/people/person/place_of_birth;New York City;5
Walter A. Lynch;/people/person/place_of_birth;New York City;5
Ranee Lee;/people/person/place_of_birth;New York City;5
Betty Warren;/people/person/place_of_birth;New York City;-1
