sep=;
;subject;predicate;object;score;path
0;Morris S. Miller;/people/person/place_of_birth;New York City;5;0.1931458262675972
1;Max Ferguson (painter);/people/person/place_of_birth;New York City;5;0.295168358652401
2;John J. Dunnigan;/people/person/place_of_birth;New York City;5;0.1849892216386872
3;Frederick Juengling;/people/person/place_of_birth;New York City;5;0.18209441605919124
4;Reuel Denney;/people/person/place_of_birth;New York City;5;0.11461507445371423
5;Thomas R. Ball;/people/person/place_of_birth;New York City;5;0.18327321912661
6;Vivian Liska;/people/person/place_of_birth;New York City;5;0.06040670296263975
7;Eric Truvillion;/people/person/place_of_birth;New York City;5;0.067104911909797
8;Derek Milman;/people/person/place_of_birth;New York City;5;0.16392267173057926
9;Mitchel B. Wallerstein;/people/person/place_of_birth;New York City;5;0.13306239521855895
10;Silas Seandel;/people/person/place_of_birth;New York City;5;0.10278261408333572
11;James A. Hamilton;/people/person/place_of_birth;New York City;5;0.12044471817701875
12;James H. Torrens;/people/person/place_of_birth;New York City;5;0.14874228289704394
13;Gene Calderazzo;/people/person/place_of_birth;New York City;3;0.12100629864773008
14;Randy Klein;/people/person/place_of_birth;New York City;5;0.1096738862190277
15;Lawrence Francis Kramer;/people/person/place_of_birth;New York City;-1;0.07268176307361231
16;Robert Joseph Ward;/people/person/place_of_birth;New York City;3;0.26567289325439697
17;Anna Alice Chapin;/people/person/place_of_birth;New York City;5;0.13867817365212706
18;Otto Maass;/people/person/place_of_birth;New York City;5;0.1084775503232577
19;John Punnett Peters;/people/person/place_of_birth;New York City;5;0.16201754618947006
20;Anne Walker;/people/person/place_of_birth;New York City;5;0.12359538163493886
21;David E. Mark;/people/person/place_of_birth;New York City;5;0.19312684151094367
22;Marc Myers;/people/person/place_of_birth;New York City;5;0.1323529591324419
23;Norwood Bowne;/people/person/place_of_birth;New York City;5;0.2679720804940345
24;Samuel Colgate;/people/person/place_of_birth;New York City;5;0.1251665337492931
25;Edward McGlynn;/people/person/place_of_birth;New York City;5;0.1530393575790499
26;Herman Trunk;/people/person/place_of_birth;New York City;5;0.12093332551667316
27;Steve Powers;/people/person/place_of_birth;New York City;5;0.19607713292913406
28;Morgan Dix;/people/person/place_of_birth;New York City;5;0.18363490983500536
29;Irwin Steingut;/people/person/place_of_birth;New York City;5;0.13792526687378406
30;Melvyn Goldstein;/people/person/place_of_birth;New York City;-1;0.04913196802289898
31;Sergio Cresto;/people/person/place_of_birth;New York City;1;0.05308421680516659
32;David Walsh (writer);/people/person/place_of_birth;New York City;5;0.049290629303161616
33;Paul A. Schneider;/people/person/place_of_birth;New York City;-1;0.057625201879828926
34;Lawrence Lessing;/people/person/place_of_birth;New York City;-5;0.06637645955091351
35;Charles McCabe;/people/person/place_of_birth;New York City;1;0.061782073667595826
36;Judy Craig;/people/person/place_of_birth;New York City;1;0.050252941694058466
37;Jay Irving;/people/person/place_of_birth;New York City;3;0.10887815616172088
38;Leona Rostenberg;/people/person/place_of_birth;New York City;5;0.08058135696458814
39;Kate Warne;/people/person/place_of_birth;New York City;1;0.07689863766074109
40;Mike DiMeo;/people/person/place_of_birth;New York City;5;0.1262633632057434
41;Tommy Mandel;/people/person/place_of_birth;New York City;5;0.028406112386712756
42;Herman Rietzel;/people/person/place_of_birth;New York City;5;0.1557845447878755
43;James Maurice;/people/person/place_of_birth;New York City;5;0.19080999938512072
44;Samuel Isham;/people/person/place_of_birth;New York City;1;0.14779423473457004
45;Richard Bernas;/people/person/place_of_birth;New York City;5;0.11364755219860752
46;Josh Neufeld;/people/person/place_of_birth;New York City;5;0.13525941718692908
47;Hannah Kahn;/people/person/place_of_birth;New York City;5;0.06795054488840695
48;Sarah Platt Doremus;/people/person/place_of_birth;New York City;5;0.18765520194616772
49;Robert Hoe III;/people/person/place_of_birth;New York City;5;0.18531324488485185
50;Joe L. Brown;/people/person/place_of_birth;New York City;-3;0.07902981835209275
51;Maarten van den Bergh;/people/person/place_of_birth;New York City;5;0.059493825481950674
52;Barbara Probst Solomon;/people/person/place_of_birth;New York City;3;0.15533155468169446
53;Ben Yagoda;/people/person/place_of_birth;New York City;5;0.155573139851807
