subject;predicate;object;score
Gordon Edward Corbould;/people/person/place_of_birth;Toronto;5
Edward Schoeneck;/people/person/place_of_birth;Syracuse;5
Jerzy Żuławski;/people/person/place_of_birth;Rzeszów;-5
Daniel Chapman Stillson;/people/person/place_of_birth;Durham;5
Lord Adolphus FitzClarence;/people/person/place_of_birth;Bushy Park;3
Stephen Sanford;/people/person/place_of_birth;Mayfield;-5
Roger Mears;/people/person/place_of_birth;Wichita;5
Mohamadou Bayero Fadil;/people/person/place_of_birth;Garoua;5
Albert Gallatin Marchand;/people/person/place_of_birth;Greensburg;-5
Charles Creswell;/people/person/place_of_birth;Radford;-5
Paul Hedqvist;/people/person/place_of_birth;Stockholm;5
Nelson Fogarty;/people/person/place_of_birth;Canterbury;5
Bob Rockwell;/people/person/place_of_birth;Miami;1
Princess Bee;/people/person/place_of_birth;Italy;5
Paula Tesoriero;/people/person/place_of_birth;Wellington;5
Virginia Leng;/people/person/place_of_birth;Malta;5
Kananginak Pootoogook;/people/person/place_of_birth;Cape Dorset;-3
Michael Staziker;/people/person/place_of_birth;Chorley;-5
Terry Martin (rugby league);/people/person/place_of_birth;Australia;5
David L. Heymann;/people/person/place_of_birth;Pennsylvania;5
Michael Hosking;/people/person/place_of_birth;Singapore;5
Sara Badr;/people/person/place_of_birth;Cairo;5
Mirela Ivanova;/people/person/place_of_birth;Sofia;5
Carl Guevarra;/people/person/place_of_birth;Pasay;5
Harry Selby (hunter);/people/person/place_of_birth;South Africa;5
Branko Šalamon;/people/person/place_of_birth;Zagreb;5
John Percy Vyvian Dacre Balsdon;/people/person/place_of_birth;Bideford;5
Volker Fried;/people/person/place_of_birth;Osnabrück;5
Johanna Meier;/people/person/place_of_birth;Chicago;5
Žarko Varajić;/people/person/place_of_birth;Nikšić;5
Fatima Rainey;/people/person/place_of_birth;Sweden;5
Peter MacKinnon;/people/person/place_of_birth;Prince Edward Island;5
Peter Cooper (journalist);/people/person/place_of_birth;Salisbury;5
Peter Plaoul;/people/person/place_of_birth;Liège;5
James Adler;/people/person/place_of_birth;Chicago;5
Roy Stuart Brown;/people/person/place_of_birth;Minneapolis;5
Elizabeth McClintock;/people/person/place_of_birth;Los Angeles;5
Alexis Bowater;/people/person/place_of_birth;Chagford;5
William Miller (British publisher);/people/person/place_of_birth;Bungay;5
Pietro Leonardi;/people/person/place_of_birth;Rome;5
John Buckley (sculptor);/people/person/place_of_birth;Leeds;5
Diane Greene;/people/person/place_of_birth;Rochester;5
Roy Sekoff;/people/person/place_of_birth;Miami;5
Thomas New;/people/person/place_of_birth;Studley;-5
Joe Sirois;/people/person/place_of_birth;Andover;-1
Borah Bergman;/people/person/place_of_birth;Brooklyn;5
Zak Carr;/people/person/place_of_birth;Attleborough;-5
Vlajko Stojiljković;/people/person/place_of_birth;Mala Krsna;5
John Littleton and Kate Vogel;/people/person/place_of_birth;Madison;5
Jacob Pieter Den Hartog;/people/person/place_of_birth;Ambarawa;5
Richard Watts, Jr.;/people/person/place_of_birth;Parkersburg;5
Alice Bridges;/people/person/place_of_birth;Uxbridge;-3
Elizabeth Kay;/people/person/place_of_birth;London;5
Jo Zach Miller, Jr.;/people/person/place_of_birth;Austin;-5
Charles D. Martin;/people/person/place_of_birth;Mount Vernon;5
"""Megan Ellwood""";/people/person/place_of_birth;Kanata;-3
Nick Pugh;/people/person/place_of_birth;Paris;5
Alfons Martí Bauçà;/people/person/place_of_birth;Palma;5
Edmundo Farolan;/people/person/place_of_birth;Manila;1
Ephraim Hertzano;/people/person/place_of_birth;Romania;5
Nicolae Dărăscu;/people/person/place_of_birth;Giurgiu;5
Pat Foote;/people/person/place_of_birth;Durham;5
Daniela Kosán;/people/person/place_of_birth;Maracay;5
Mallory Factor;/people/person/place_of_birth;Bridgeport;-1
Renaud Gagneux;/people/person/place_of_birth;Paris;5
James Archibald Meriwether;/people/person/place_of_birth;Washington, D.C.;-5
Tiziano Maggiolini;/people/person/place_of_birth;Rome;5
Thomas Barton (divine);/people/person/place_of_birth;York County;-5
Alisa Arnah;/people/person/place_of_birth;London;5
Frederick Ellsworth Mather;/people/person/place_of_birth;Windsor;5
Anton Elschnig;/people/person/place_of_birth;Leibnitz;5
James Balfour (philosopher);/people/person/place_of_birth;Edinburgh;-5
Sun Chao (fencer);/people/person/place_of_birth;Tianjin;5
Heinz Oestergaard;/people/person/place_of_birth;Berlin;5
Ralph Bruce Fitch;/people/person/place_of_birth;Moncton;5
Mia Riddle;/people/person/place_of_birth;Ventura;5
Nigel Pennick;/people/person/place_of_birth;Guildford;5
Erastus J. Turner;/people/person/place_of_birth;Lockport;-5
Jean Carne;/people/person/place_of_birth;Columbus;-5
John Honeyman;/people/person/place_of_birth;Ireland;5
Myk Aussie;/people/person/place_of_birth;Gawler;5
Hazard E. Reeves;/people/person/place_of_birth;Baltimore;5
Tom Everhart;/people/person/place_of_birth;Washington, D.C.;5
Fernando Pacheco;/people/person/place_of_birth;Hawaii;-3
Adina Beg;/people/person/place_of_birth;Lahore;-5
Nicolae Herlea;/people/person/place_of_birth;Bucharest;5
Nicholas Conyngham Tindal;/people/person/place_of_birth;Chelmsford;1
Jon Cone;/people/person/place_of_birth;Miami;5
Rufus Phillips;/people/person/place_of_birth;Virginia;1
Peggy King;/people/person/place_of_birth;Greensburg;5
Thomas McKay (fur trader);/people/person/place_of_birth;Sault Ste. Marie;-3
Max Coyer;/people/person/place_of_birth;Hartford;5
Robert Jankel;/people/person/place_of_birth;London;5
