subject;predicate;object;score
Keppel Harcourt Barnard;/people/person/place_of_birth;London;5
Elizabeth Kay;/people/person/place_of_birth;London;5
Alisa Arnah;/people/person/place_of_birth;London;5
Robert Jankel;/people/person/place_of_birth;London;5
James Redhouse;/people/person/place_of_birth;London;-3
Nick Philip;/people/person/place_of_birth;London;5
Alice Temple;/people/person/place_of_birth;London;5
Peter Milligan;/people/person/place_of_birth;London;5
Justin Wintle;/people/person/place_of_birth;London;5
Benjamin Brecknell Turner;/people/person/place_of_birth;London;5
Russell Stannard;/people/person/place_of_birth;London;5
Edward Romilly;/people/person/place_of_birth;London;5
William Keasberry;/people/person/place_of_birth;London;5
Daniel Joseph Jaffé;/people/person/place_of_birth;London;5
Henry Cecil Leon;/people/person/place_of_birth;London;-5
Thomas Playfere;/people/person/place_of_birth;London;5
Aamer Haleem;/people/person/place_of_birth;London;5
Jean Ure;/people/person/place_of_birth;London;5
Judy Leden;/people/person/place_of_birth;London;-5
Scarlett Strallen;/people/person/place_of_birth;London;5
Edward Stone Parker;/people/person/place_of_birth;London;5
Brent Rickles;/people/person/place_of_birth;London;5
Adrian Baker;/people/person/place_of_birth;London;5
Coral Amiga;/people/person/place_of_birth;London;5
William Vaughan (bishop);/people/person/place_of_birth;London;5
Harry Freedman (author);/people/person/place_of_birth;London;5
Rusty Egan;/people/person/place_of_birth;London;5
Andrew Bell (minister);/people/person/place_of_birth;London;5
Jonathan Wilkins;/people/person/place_of_birth;London;5
Charles Frodsham;/people/person/place_of_birth;London;5
Frank Pearson;/people/person/place_of_birth;London;-1
William Mattieu Williams;/people/person/place_of_birth;London;5
Alan Littlejohn;/people/person/place_of_birth;London;5
Frank Sayers;/people/person/place_of_birth;London;5
Benjamin Pine;/people/person/place_of_birth;London;5
John William Mellor;/people/person/place_of_birth;London;5
Thomas Wroth (politician, 17th century);/people/person/place_of_birth;London;5
Gerard Hemsworth;/people/person/place_of_birth;London;5
Geoffrey Stevens (journalist);/people/person/place_of_birth;London;-1
Charles Hastings Doyle;/people/person/place_of_birth;London;5
Richard Corbould;/people/person/place_of_birth;London;5
Frederic Bayco;/people/person/place_of_birth;London;5
