sep=;
subject;predicate;object;score;path
Keppel Harcourt Barnard;/people/person/place_of_birth;London;5;Keppel Harcourt Barnard>Lambeth>Archbishop of Canterbury>London
Elizabeth Kay;/people/person/place_of_birth;London;5;Elizabeth Kay>Borneo>London
Alisa Arnah;/people/person/place_of_birth;London;5;Alisa Arnah>Royal Academy of Dramatic Art>Doctor Who>London
Robert Jankel;/people/person/place_of_birth;London;5;Robert Jankel>England>London
James Redhouse;/people/person/place_of_birth;London;-3;James Redhouse>American Board of Commissioners for Foreign Missions>Athens>London
Nick Philip;/people/person/place_of_birth;London;5;Nick Philip>Charles Uzzell Edwards>Amsterdam>London
Alice Temple;/people/person/place_of_birth;London;5;Alice Temple>Brother Beyond>England>London
Peter Milligan;/people/person/place_of_birth;London;5;Peter Milligan>X-Force>Professor X>London
Justin Wintle;/people/person/place_of_birth;London;5;Justin Wintle>Julian Wintle>England>London
Benjamin Brecknell Turner;/people/person/place_of_birth;London;5;Benjamin Brecknell Turner>watercolour>British English>London
Russell Stannard;/people/person/place_of_birth;London;5;Russell Stannard>physicist>Ibn al-Haytham>London
Edward Romilly;/people/person/place_of_birth;London;5;Edward Romilly>Porthkerry>Doctor Who>London
William Keasberry;/people/person/place_of_birth;London;5;William Keasberry>Bath, Somerset>England>London
Daniel Joseph Jaffé;/people/person/place_of_birth;London;5;Daniel Joseph Jaffé>England>London
Henry Cecil Leon;/people/person/place_of_birth;London;-5;Henry Cecil Leon>Call to the Bar>Common law>London
Thomas Playfere;/people/person/place_of_birth;London;5;Thomas Playfere>Kent>Archbishop of Canterbury>London
Aamer Haleem;/people/person/place_of_birth;London;5;Aamer Haleem>Canadians>British Isles>London
Jean Ure;/people/person/place_of_birth;London;5;Jean Ure>English people>England>London
Judy Leden;/people/person/place_of_birth;London;-5;Judy Leden>Cardiff>London
Scarlett Strallen;/people/person/place_of_birth;London;5;Scarlett Strallen>The Arts Educational Schools London>England>London
Edward Stone Parker;/people/person/place_of_birth;London;5;Edward Stone Parker>New South Wales>Admiralty>London
Brent Rickles;/people/person/place_of_birth;London;5;Brent Rickles was not a valid article
Adrian Baker;/people/person/place_of_birth;London;5;Adrian Baker>Europe>London
Coral Amiga;/people/person/place_of_birth;London;5;Coral Amiga>television series>EastEnders>London
William Vaughan (bishop);/people/person/place_of_birth;London;5;William Vaughan (bishop)>The Right Reverend>Anglican Communion>London
Harry Freedman (author);/people/person/place_of_birth;London;5;Harry Freedman (author)>United Kingdom>Cornish language>London
Rusty Egan;/people/person/place_of_birth;London;5;Rusty Egan>Punk rock>Drum kit>London
Andrew Bell (minister);/people/person/place_of_birth;London;5;Andrew Bell (minister)>Legislative Assembly of Upper Canada>Dublin>London
Jonathan Wilkins;/people/person/place_of_birth;London;5;Jonathan Wilkins>World Dance Council>Edinburgh>London
Charles Frodsham;/people/person/place_of_birth;London;5;Charles Frodsham>United Kingdom of Great Britain and Ireland>British Empire>London
Frank Pearson;/people/person/place_of_birth;London;-1;Frank Pearson>Australia>Federalism>London
William Mattieu Williams;/people/person/place_of_birth;London;5;William Mattieu Williams>Lambeth>Archbishop of Canterbury>London
Alan Littlejohn;/people/person/place_of_birth;London;5;Alan Littlejohn>England>London
Frank Sayers;/people/person/place_of_birth;London;5;Frank Sayers>St Margaret Pattens>City of London>London
Benjamin Pine;/people/person/place_of_birth;London;5;Benjamin Pine>Gold Coast (British colony)>Colonialism>London
John William Mellor;/people/person/place_of_birth;London;5;John William Mellor>Barrister>London
Thomas Wroth (politician, 17th century);/people/person/place_of_birth;London;5;Thomas Wroth (politician, 17th century)>House of Commons of England>England>London
Gerard Hemsworth;/people/person/place_of_birth;London;5;Gerard Hemsworth>painting>British Museum>London
Geoffrey Stevens (journalist);/people/person/place_of_birth;London;-1;Geoffrey Stevens (journalist)>London, Ontario>England>London
Charles Hastings Doyle;/people/person/place_of_birth;London;5;Charles Hastings Doyle>Charles Tupper>London
Richard Corbould;/people/person/place_of_birth;London;5;Richard Corbould>National Maritime Museum>Belfast>London
Frederic Bayco;/people/person/place_of_birth;London;5;Frederic Bayco>Royal College of Organists>City of London>London
David Parry (folk musician);/people/person/place_of_birth;London;5;David Parry (folk musician)>England>London
Mark Stone (baritone);/people/person/place_of_birth;London;5;Mark Stone (baritone)>Barcelona>London
James William Wallack;/people/person/place_of_birth;London;5;James William Wallack>England>London
Timothy Foote;/people/person/place_of_birth;London;5;Timothy Foote>New York (state)>City>London
Edward Alfred Cowper;/people/person/place_of_birth;London;5;Edward Alfred Cowper>England>London
Jeremy Holmes;/people/person/place_of_birth;London;5;Jeremy Holmes>New Scientist>British English>London
Deepa Kaul;/people/person/place_of_birth;London;5;Deepa Kaul>The Guardian>Clement Attlee>London
Thomas E. Wilson;/people/person/place_of_birth;London;-5;Thomas E. Wilson>The New York Times>Chicago>London
Stephen Griew;/people/person/place_of_birth;London;5;Stephen Griew>Athabasca University>England>London
Thomas Taylor (neoplatonist);/people/person/place_of_birth;London;5;Thomas Taylor (neoplatonist)>Acropolis of Athens>Athens>London
Henry W. Lee;/people/person/place_of_birth;London;5;Henry W. Lee>United Kingdom>Cornish language>London
Lawrence Walford;/people/person/place_of_birth;London;5;Lawrence Walford>The Restoration Man>Cardiff>London
E. W. Dickes;/people/person/place_of_birth;London;5;E. W. Dickes>Admiralty>London
Toby Cockerell;/people/person/place_of_birth;London;5;Toby Cockerell>England>London
Joan Vincent Murray;/people/person/place_of_birth;London;5;Joan Vincent Murray>The New School>Europe>London
Neil Zakiewicz;/people/person/place_of_birth;London;5;Neil Zakiewicz>Dublin>London
Arthur Wakefield;/people/person/place_of_birth;London;-5;Arthur Wakefield>Essex>England>London
Symeon Cosburn;/people/person/place_of_birth;London;5;Symeon Cosburn>England>London
Alain de Cadenet;/people/person/place_of_birth;London;5;Alain de Cadenet>ESPN>BT Group>London
Richard West (journalist);/people/person/place_of_birth;London;5;Richard West (journalist)>Yugoslavia>European Union>London
Desi Williams;/people/person/place_of_birth;London;5;Desi Williams>England>London
Malcolm Cecil;/people/person/place_of_birth;London;5;Malcolm Cecil>jazz>Drum kit>London
Harry Calvert;/people/person/place_of_birth;London;-5;Harry Calvert>Berlin>London
Charles Ejogo;/people/person/place_of_birth;London;5;Charles Ejogo>BT Group>London
Thomas Adams (musician);/people/person/place_of_birth;London;5;Thomas Adams (musician)>England>London
Alaric Alexander Watts;/people/person/place_of_birth;London;5;Alaric Alexander Watts>George Hamilton-Gordon, 4th Earl of Aberdeen>Arthur Wellesley, 1st Duke of Wellington>London
Victor Henny;/people/person/place_of_birth;London;-3;Victor Henny>Salatiga>Borneo>London
Charles Dixon (ornithologist);/people/person/place_of_birth;London;5;Charles Dixon (ornithologist)>English people>England>London
Geoffrey Acland;/people/person/place_of_birth;London;-1;Geoffrey Acland>British people>British Isles>London
Tim Benjamin;/people/person/place_of_birth;London;5;Tim Benjamin>composer>Classical period (music)>London
Henry Neele;/people/person/place_of_birth;London;5;Henry Neele>attorney at law>Common law>London
George FitzGeorge;/people/person/place_of_birth;London;5;George FitzGeorge>Lucerne>Chicago>London
Thomas Morton Harper;/people/person/place_of_birth;London;5;Thomas Morton Harper>England>London
Henry Dawe;/people/person/place_of_birth;London;-5;Henry Dawe>Kentish Town>Campaign for Real Ale>London
Matthew Price;/people/person/place_of_birth;London;5;Matthew Price>England>London
Laurie Allan;/people/person/place_of_birth;London;5;Laurie Allan>English people>England>London
John Edwin (1749–1790);/people/person/place_of_birth;London;5;John Edwin (1749–1790)>England>London
Edmund Hobhouse;/people/person/place_of_birth;London;5;Edmund Hobhouse>New Zealand>Fiji>London
