;subject;predicate;object;score;path
0;Morris S. Miller;/people/person/place_of_birth;New York City;5.0;0.1931458262675972
1;Max Ferguson (painter);/people/person/place_of_birth;New York City;5.0;0.295168358652401
2;John J. Dunnigan;/people/person/place_of_birth;New York City;5.0;0.1849892216386872
3;Frederick Juengling;/people/person/place_of_birth;New York City;5.0;0.18209441605919124
4;Reuel Denney;/people/person/place_of_birth;New York City;5.0;0.11461507445371423
5;Thomas R. Ball;/people/person/place_of_birth;New York City;5.0;0.18327321912661
6;Vivian Liska;/people/person/place_of_birth;New York City;5.0;0.06040670296263975
7;Eric Truvillion;/people/person/place_of_birth;New York City;5.0;0.067104911909797
8;Derek Milman;/people/person/place_of_birth;New York City;5.0;0.16392267173057926
9;Mitchel B. Wallerstein;/people/person/place_of_birth;New York City;5.0;0.13306239521855895
10;Silas Seandel;/people/person/place_of_birth;New York City;5.0;0.10278261408333572
11;James A. Hamilton;/people/person/place_of_birth;New York City;5.0;0.12044471817701875
12;James H. Torrens;/people/person/place_of_birth;New York City;5.0;0.14874228289704394
13;Gene Calderazzo;/people/person/place_of_birth;New York City;3.0;0.12100629864773008
14;Randy Klein;/people/person/place_of_birth;New York City;5.0;0.1096738862190277
15;Lawrence Francis Kramer;/people/person/place_of_birth;New York City;-1.0;0.07268176307361231
16;Robert Joseph Ward;/people/person/place_of_birth;New York City;3.0;0.26567289325439697
17;Anna Alice Chapin;/people/person/place_of_birth;New York City;5.0;0.13867817365212706
18;Otto Maass;/people/person/place_of_birth;New York City;5.0;0.1084775503232577
19;John Punnett Peters;/people/person/place_of_birth;New York City;5.0;0.16201754618947006
20;Anne Walker;/people/person/place_of_birth;New York City;5.0;0.12359538163493886
21;David E. Mark;/people/person/place_of_birth;New York City;5.0;0.19312684151094367
22;Marc Myers;/people/person/place_of_birth;New York City;5.0;0.1323529591324419
23;Norwood Bowne;/people/person/place_of_birth;New York City;5.0;0.2679720804940345
24;Samuel Colgate;/people/person/place_of_birth;New York City;5.0;0.1251665337492931
