;subject;predicate;object;score;path
0;Keppel Harcourt Barnard;/people/person/place_of_birth;London;5.0;0.0903558398124924
1;Elizabeth Kay;/people/person/place_of_birth;London;5.0;0.04632555294745292
2;Alisa Arnah;/people/person/place_of_birth;London;5.0;0.07334517739717249
3;Robert Jankel;/people/person/place_of_birth;London;5.0;0.0707349008587908
4;James Redhouse;/people/person/place_of_birth;London;-3.0;0.06921632311413656
5;Nick Philip;/people/person/place_of_birth;London;5.0;0.08846705218462773
6;Alice Temple;/people/person/place_of_birth;London;5.0;0.07750820233950048
7;Peter Milligan;/people/person/place_of_birth;London;5.0;0.07377886460656376
8;Justin Wintle;/people/person/place_of_birth;London;5.0;0.07126404446201405
9;Benjamin Brecknell Turner;/people/person/place_of_birth;London;5.0;
10;Russell Stannard;/people/person/place_of_birth;London;5.0;0.08745710379624948
11;Edward Romilly;/people/person/place_of_birth;London;5.0;0.09030154046368341
12;William Keasberry;/people/person/place_of_birth;London;5.0;0.09181298027798952
13;Daniel Joseph Jaffé;/people/person/place_of_birth;London;5.0;0.07992659310014362
14;Henry Cecil Leon;/people/person/place_of_birth;London;-5.0;0.066985199712838
15;Thomas Playfere;/people/person/place_of_birth;London;5.0;0.10614654193985221
16;Aamer Haleem;/people/person/place_of_birth;London;5.0;0.0913432635679689
17;Jean Ure;/people/person/place_of_birth;London;5.0;0.08061963854013708
18;Judy Leden;/people/person/place_of_birth;London;-5.0;0.07481263612058808
19;Scarlett Strallen;/people/person/place_of_birth;London;5.0;0.07601304982753515
20;Edward Stone Parker;/people/person/place_of_birth;London;5.0;0.06413086930479257
21;Brent Rickles;/people/person/place_of_birth;London;5.0;
22;Adrian Baker;/people/person/place_of_birth;London;5.0;0.04372161801971394
23;Coral Amiga;/people/person/place_of_birth;London;5.0;
24;William Vaughan (bishop);/people/person/place_of_birth;London;5.0;0.09990520113390473
25;Harry Freedman (author);/people/person/place_of_birth;London;5.0;0.05186336432409132
26;Rusty Egan;/people/person/place_of_birth;London;5.0;0.11478378397334152
27;Andrew Bell (minister);/people/person/place_of_birth;London;5.0;
28;Jonathan Wilkins;/people/person/place_of_birth;London;5.0;0.06785418925331482
29;Charles Frodsham;/people/person/place_of_birth;London;5.0;0.08961907929229765
30;Frank Pearson;/people/person/place_of_birth;London;-1.0;0.0771460532357709
31;William Mattieu Williams;/people/person/place_of_birth;London;5.0;0.21270197081786815
32;Alan Littlejohn;/people/person/place_of_birth;London;5.0;0.0967193555862538
33;Frank Sayers;/people/person/place_of_birth;London;5.0;0.10025814344457944
34;Benjamin Pine;/people/person/place_of_birth;London;5.0;0.0669140330716311
35;John William Mellor;/people/person/place_of_birth;London;5.0;0.10765611158743074
36;Thomas Wroth (politician, 17th century);/people/person/place_of_birth;London;5.0;0.09704095358586677
37;Gerard Hemsworth;/people/person/place_of_birth;London;5.0;
38;Geoffrey Stevens (journalist);/people/person/place_of_birth;London;-1.0;0.06325212510458897
39;Charles Hastings Doyle;/people/person/place_of_birth;London;5.0;0.11001293192999512
40;Richard Corbould;/people/person/place_of_birth;London;5.0;0.16142462989209977
41;Frederic Bayco;/people/person/place_of_birth;London;5.0;0.08252008927812088
42;David Parry (folk musician);/people/person/place_of_birth;London;5.0;0.07686828806346484
43;Mark Stone (baritone);/people/person/place_of_birth;London;5.0;0.10475971507563009
44;James William Wallack;/people/person/place_of_birth;London;5.0;0.09723321666534604
45;Timothy Foote;/people/person/place_of_birth;London;5.0;0.055477179200056
46;Edward Alfred Cowper;/people/person/place_of_birth;London;5.0;0.14011006526068623
47;Jeremy Holmes;/people/person/place_of_birth;London;5.0;0.09209327300364935
48;Deepa Kaul;/people/person/place_of_birth;London;5.0;0.07005601521903726
49;Thomas E. Wilson;/people/person/place_of_birth;London;-5.0;0.06025476631257582
50;Stephen Griew;/people/person/place_of_birth;London;5.0;0.12128671533494995
51;Thomas Taylor (neoplatonist);/people/person/place_of_birth;London;5.0;0.06604199034438561
52;Henry W. Lee;/people/person/place_of_birth;London;5.0;0.06560193875239304
53;Lawrence Walford;/people/person/place_of_birth;London;5.0;0.06710283903011367
54;E. W. Dickes;/people/person/place_of_birth;London;5.0;0.12818129313498752
55;Toby Cockerell;/people/person/place_of_birth;London;5.0;0.0730313914296627
56;Joan Vincent Murray;/people/person/place_of_birth;London;5.0;0.05791553961062082
57;Neil Zakiewicz;/people/person/place_of_birth;London;5.0;0.1263075778348196
58;Arthur Wakefield;/people/person/place_of_birth;London;-5.0;0.08317107827678878
59;Symeon Cosburn;/people/person/place_of_birth;London;5.0;0.07048446303711746
60;Alain de Cadenet;/people/person/place_of_birth;London;5.0;0.08022610164878849
61;Richard West (journalist);/people/person/place_of_birth;London;5.0;0.07676371279315689
62;Desi Williams;/people/person/place_of_birth;London;5.0;0.09659389151785326
63;Malcolm Cecil;/people/person/place_of_birth;London;5.0;
64;Harry Calvert;/people/person/place_of_birth;London;-5.0;0.09531166880195414
65;Charles Ejogo;/people/person/place_of_birth;London;5.0;0.12221328814278987
66;Thomas Adams (musician);/people/person/place_of_birth;London;5.0;
67;Alaric Alexander Watts;/people/person/place_of_birth;London;5.0;0.10834709249619431
68;Victor Henny;/people/person/place_of_birth;London;-3.0;0.12165232259202646
69;Charles Dixon (ornithologist);/people/person/place_of_birth;London;5.0;0.05781761174493493
70;Geoffrey Acland;/people/person/place_of_birth;London;-1.0;0.0770802805378417
71;Tim Benjamin;/people/person/place_of_birth;London;5.0;
72;Henry Neele;/people/person/place_of_birth;London;5.0;
73;George FitzGeorge;/people/person/place_of_birth;London;5.0;0.04888943983076062
74;Thomas Morton Harper;/people/person/place_of_birth;London;5.0;0.15735131115500803
75;Henry Dawe;/people/person/place_of_birth;London;-5.0;0.1053290024656999
76;Matthew Price;/people/person/place_of_birth;London;5.0;0.08289188352369296
77;Laurie Allan;/people/person/place_of_birth;London;5.0;0.056996448314654696
78;John Edwin (1749–1790);/people/person/place_of_birth;London;5.0;0.11294327346376931
79;Edmund Hobhouse;/people/person/place_of_birth;London;5.0;0.08542251789562398
80;Johnny Mowlem;/people/person/place_of_birth;London;5.0;0.06864598452809616
81;Richard Vale;/people/person/place_of_birth;London;5.0;0.08202663568001375
82;Reginald Brett, 2nd Viscount Esher;/people/person/place_of_birth;London;5.0;0.11184825482155066
83;Terry Byrne;/people/person/place_of_birth;London;5.0;0.09799714443041506
84;Antonia Okonma;/people/person/place_of_birth;London;5.0;0.0839514936252884
85;Ursula Hoff;/people/person/place_of_birth;London;5.0;0.14191939779713766
86;Mary Rose Young;/people/person/place_of_birth;London;-5.0;0.06837056066568853
87;Neville Maxwell;/people/person/place_of_birth;London;5.0;0.08508093557492333
88;Steven Alexander;/people/person/place_of_birth;London;5.0;0.05020814620656099
89;Sebastian Dacey;/people/person/place_of_birth;London;5.0;0.07992528734851106
90;George Stone (bishop);/people/person/place_of_birth;London;5.0;0.1722595832773
91;Alison Waters;/people/person/place_of_birth;London;5.0;0.06890054104115467
92;Robert Bourne (developer);/people/person/place_of_birth;London;5.0;
93;George Georgiou;/people/person/place_of_birth;London;5.0;0.11766686383413082
94;Rhett Davies;/people/person/place_of_birth;London;5.0;0.05534977521365847
95;Zoe McConnell;/people/person/place_of_birth;London;-1.0;
96;David J. Farrar;/people/person/place_of_birth;London;5.0;
97;William Main Page;/people/person/place_of_birth;London;5.0;0.08417724768954452
98;Frank Holl;/people/person/place_of_birth;London;5.0;0.11535603104098752
99;Stan Rosenthal;/people/person/place_of_birth;London;5.0;
100;Christopher Hobbs;/people/person/place_of_birth;London;-5.0;
101;John Howard (author);/people/person/place_of_birth;London;5.0;0.04935459586034932
102;John Duncombe (writer);/people/person/place_of_birth;London;5.0;0.07285492815686825
103;Keith Wiggins;/people/person/place_of_birth;London;5.0;0.03659065540975251
104;Algernon Methuen;/people/person/place_of_birth;London;5.0;
105;Jay Neill (actor);/people/person/place_of_birth;London;5.0;
106;Michael Swanton;/people/person/place_of_birth;London;5.0;
107;Peter Dowdeswell;/people/person/place_of_birth;London;5.0;
108;John David Hennessey;/people/person/place_of_birth;London;5.0;0.06998367633783426
109;Cliff Jones (musician);/people/person/place_of_birth;London;5.0;0.10709679749133039
110;Alfred Hackman;/people/person/place_of_birth;London;-5.0;0.0926450422754323
111;Malcolm Wakeford;/people/person/place_of_birth;London;-5.0;0.08005729800580252
112;Robin Gillett;/people/person/place_of_birth;London;5.0;0.19597686111164286
113;David Vaughan (dance archivist);/people/person/place_of_birth;London;5.0;0.08128656572733983
114;William Henry Anderdon;/people/person/place_of_birth;London;5.0;0.09968258688463492
115;Harry Zvi Tabor;/people/person/place_of_birth;London;5.0;0.08198740806707686
116;William Byrne (engraver);/people/person/place_of_birth;London;5.0;0.08723273964228893
117;Thomas Cole (minister);/people/person/place_of_birth;London;-5.0;0.15919187112297348
118;Samuel Verblunsky;/people/person/place_of_birth;London;5.0;0.08539247372074993
