;subject;predicate;object;score;path
0;Keppel Harcourt Barnard;/people/person/place_of_birth;London;5.0;0.034619560031468044
1;Elizabeth Kay;/people/person/place_of_birth;London;5.0;0.045470594052119034
2;Alisa Arnah;/people/person/place_of_birth;London;5.0;0.03310515436363696
3;Robert Jankel;/people/person/place_of_birth;London;5.0;0.03947637891101756
4;James Redhouse;/people/person/place_of_birth;London;-3.0;0.03332913723235321
5;Nick Philip;/people/person/place_of_birth;London;5.0;0.03955435303641611
6;Alice Temple;/people/person/place_of_birth;London;5.0;0.03315658905205708
7;Peter Milligan;/people/person/place_of_birth;London;5.0;0.03722245042404646
8;Justin Wintle;/people/person/place_of_birth;London;5.0;0.03396453256517539
9;Benjamin Brecknell Turner;/people/person/place_of_birth;London;5.0;
10;Russell Stannard;/people/person/place_of_birth;London;5.0;0.03469939545571078
11;Edward Romilly;/people/person/place_of_birth;London;5.0;0.03835284325022738
12;William Keasberry;/people/person/place_of_birth;London;5.0;0.029378419495071008
13;Daniel Joseph Jaffé;/people/person/place_of_birth;London;5.0;0.03947637891101756
14;Henry Cecil Leon;/people/person/place_of_birth;London;-5.0;0.036644390808764186
15;Thomas Playfere;/people/person/place_of_birth;London;5.0;0.03203239794212211
16;Aamer Haleem;/people/person/place_of_birth;London;5.0;0.03141638056502346
17;Jean Ure;/people/person/place_of_birth;London;5.0;0.028630529432276425
18;Judy Leden;/people/person/place_of_birth;London;-5.0;0.04466742357687692
19;Scarlett Strallen;/people/person/place_of_birth;London;5.0;0.037118089244726156
20;Edward Stone Parker;/people/person/place_of_birth;London;5.0;0.03142794120174813
21;Brent Rickles;/people/person/place_of_birth;London;5.0;
22;Adrian Baker;/people/person/place_of_birth;London;5.0;0.04133033778502927
23;Coral Amiga;/people/person/place_of_birth;London;5.0;
24;William Vaughan (bishop);/people/person/place_of_birth;London;5.0;0.03330201882414994
25;Harry Freedman (author);/people/person/place_of_birth;London;5.0;0.02996879488950759
26;Rusty Egan;/people/person/place_of_birth;London;5.0;0.029616573380089755
27;Andrew Bell (minister);/people/person/place_of_birth;London;5.0;
28;Jonathan Wilkins;/people/person/place_of_birth;London;5.0;0.03661104242756101
29;Charles Frodsham;/people/person/place_of_birth;London;5.0;0.030671772762333283
30;Frank Pearson;/people/person/place_of_birth;London;-1.0;0.029758754112537245
31;William Mattieu Williams;/people/person/place_of_birth;London;5.0;0.034619560031468044
32;Alan Littlejohn;/people/person/place_of_birth;London;5.0;0.03947637891101756
33;Frank Sayers;/people/person/place_of_birth;London;5.0;0.037363190816386276
34;Benjamin Pine;/people/person/place_of_birth;London;5.0;0.034050048719419086
35;John William Mellor;/people/person/place_of_birth;London;5.0;0.046779626572405926
36;Thomas Wroth (politician, 17th century);/people/person/place_of_birth;London;5.0;0.03004585696921582
37;Gerard Hemsworth;/people/person/place_of_birth;London;5.0;
38;Geoffrey Stevens (journalist);/people/person/place_of_birth;London;-1.0;0.029592233741225844
39;Charles Hastings Doyle;/people/person/place_of_birth;London;5.0;0.051034520356766075
40;Richard Corbould;/people/person/place_of_birth;London;5.0;0.03323196007800602
41;Frederic Bayco;/people/person/place_of_birth;London;5.0;0.036444185946250304
42;David Parry (folk musician);/people/person/place_of_birth;London;5.0;0.03947637891101756
43;Mark Stone (baritone);/people/person/place_of_birth;London;5.0;0.04337724007372167
44;James William Wallack;/people/person/place_of_birth;London;5.0;0.03947637891101756
45;Timothy Foote;/people/person/place_of_birth;London;5.0;0.027278130274703553
46;Edward Alfred Cowper;/people/person/place_of_birth;London;5.0;0.03947637891101756
47;Jeremy Holmes;/people/person/place_of_birth;London;5.0;0.03225684048019037
48;Deepa Kaul;/people/person/place_of_birth;London;5.0;0.03155142144394606
49;Thomas E. Wilson;/people/person/place_of_birth;London;-5.0;0.02749137997332412
50;Stephen Griew;/people/person/place_of_birth;London;5.0;0.03167180177208402
51;Thomas Taylor (neoplatonist);/people/person/place_of_birth;London;5.0;0.033368360293000277
52;Henry W. Lee;/people/person/place_of_birth;London;5.0;0.02996879488950759
53;Lawrence Walford;/people/person/place_of_birth;London;5.0;0.03939580606430192
54;E. W. Dickes;/people/person/place_of_birth;London;5.0;0.04688344197082035
55;Toby Cockerell;/people/person/place_of_birth;London;5.0;0.03947637891101756
56;Joan Vincent Murray;/people/person/place_of_birth;London;5.0;0.03161187154338275
57;Neil Zakiewicz;/people/person/place_of_birth;London;5.0;0.043206920545529146
58;Arthur Wakefield;/people/person/place_of_birth;London;-5.0;0.028944048932251446
59;Symeon Cosburn;/people/person/place_of_birth;London;5.0;0.03947637891101756
60;Alain de Cadenet;/people/person/place_of_birth;London;5.0;0.032305132868849104
61;Richard West (journalist);/people/person/place_of_birth;London;5.0;0.030205475859444452
62;Desi Williams;/people/person/place_of_birth;London;5.0;0.03947637891101756
63;Malcolm Cecil;/people/person/place_of_birth;London;5.0;
64;Harry Calvert;/people/person/place_of_birth;London;-5.0;0.042438022303011046
65;Charles Ejogo;/people/person/place_of_birth;London;5.0;0.047581531080104204
66;Thomas Adams (musician);/people/person/place_of_birth;London;5.0;
67;Alaric Alexander Watts;/people/person/place_of_birth;London;5.0;0.03630324637237803
68;Victor Henny;/people/person/place_of_birth;London;-3.0;0.03682288984675157
69;Charles Dixon (ornithologist);/people/person/place_of_birth;London;5.0;0.028630529432276425
70;Geoffrey Acland;/people/person/place_of_birth;London;-1.0;0.03257094670449695
71;Tim Benjamin;/people/person/place_of_birth;London;5.0;
72;Henry Neele;/people/person/place_of_birth;London;5.0;
73;George FitzGeorge;/people/person/place_of_birth;London;5.0;0.03090827797492023
74;Thomas Morton Harper;/people/person/place_of_birth;London;5.0;0.03947637891101756
75;Henry Dawe;/people/person/place_of_birth;London;-5.0;0.038547564306194326
76;Matthew Price;/people/person/place_of_birth;London;5.0;0.03947637891101756
77;Laurie Allan;/people/person/place_of_birth;London;5.0;0.028630529432276425
78;John Edwin (1749–1790);/people/person/place_of_birth;London;5.0;0.03947637891101756
79;Edmund Hobhouse;/people/person/place_of_birth;London;5.0;0.0288715132474156
80;Johnny Mowlem;/people/person/place_of_birth;London;5.0;0.03547267381177033
81;Richard Vale;/people/person/place_of_birth;London;5.0;0.03947637891101756
82;Reginald Brett, 2nd Viscount Esher;/people/person/place_of_birth;London;5.0;0.04828130663794302
83;Terry Byrne;/people/person/place_of_birth;London;5.0;0.04503525743296923
84;Antonia Okonma;/people/person/place_of_birth;London;5.0;0.03475589685610382
85;Ursula Hoff;/people/person/place_of_birth;London;5.0;0.04525600720679785
86;Mary Rose Young;/people/person/place_of_birth;London;-5.0;0.02996879488950759
87;Neville Maxwell;/people/person/place_of_birth;London;5.0;0.031169525335397887
88;Steven Alexander;/people/person/place_of_birth;London;5.0;0.030190621640835403
89;Sebastian Dacey;/people/person/place_of_birth;London;5.0;0.042438022303011046
90;George Stone (bishop);/people/person/place_of_birth;London;5.0;0.033180699664815246
91;Alison Waters;/people/person/place_of_birth;London;5.0;0.03947637891101756
92;Robert Bourne (developer);/people/person/place_of_birth;London;5.0;
93;George Georgiou;/people/person/place_of_birth;London;5.0;0.0398917877136192
94;Rhett Davies;/people/person/place_of_birth;London;5.0;0.028630529432276425
95;Zoe McConnell;/people/person/place_of_birth;London;-1.0;
96;David J. Farrar;/people/person/place_of_birth;London;5.0;
97;William Main Page;/people/person/place_of_birth;London;5.0;0.04353436699321521
98;Frank Holl;/people/person/place_of_birth;London;5.0;0.03166985222573298
99;Stan Rosenthal;/people/person/place_of_birth;London;5.0;
100;Christopher Hobbs;/people/person/place_of_birth;London;-5.0;
101;John Howard (author);/people/person/place_of_birth;London;5.0;0.03200636301112962
102;John Duncombe (writer);/people/person/place_of_birth;London;5.0;0.03947637891101756
103;Keith Wiggins;/people/person/place_of_birth;London;5.0;0.028341170451654196
104;Algernon Methuen;/people/person/place_of_birth;London;5.0;
105;Jay Neill (actor);/people/person/place_of_birth;London;5.0;
106;Michael Swanton;/people/person/place_of_birth;London;5.0;
107;Peter Dowdeswell;/people/person/place_of_birth;London;5.0;
108;John David Hennessey;/people/person/place_of_birth;London;5.0;0.03318159644081082
109;Cliff Jones (musician);/people/person/place_of_birth;London;5.0;0.032098601653398826
110;Alfred Hackman;/people/person/place_of_birth;London;-5.0;0.03485188257018742
111;Malcolm Wakeford;/people/person/place_of_birth;London;-5.0;0.04772799971816672
112;Robin Gillett;/people/person/place_of_birth;London;5.0;0.034102128819071965
113;David Vaughan (dance archivist);/people/person/place_of_birth;London;5.0;0.02749137997332412
114;William Henry Anderdon;/people/person/place_of_birth;London;5.0;0.043206920545529146
115;Harry Zvi Tabor;/people/person/place_of_birth;London;5.0;0.03469939545571078
116;William Byrne (engraver);/people/person/place_of_birth;London;5.0;0.03527773718226187
117;Thomas Cole (minister);/people/person/place_of_birth;London;-5.0;0.03263597183596495
118;Samuel Verblunsky;/people/person/place_of_birth;London;5.0;0.03510084167880049
119;Janet Coster;/people/person/place_of_birth;London;5.0;0.03947637891101756
120;Graham Reilly;/people/person/place_of_birth;London;3.0;0.02996879488950759
121;Thalia Pellegrini;/people/person/place_of_birth;London;5.0;0.03947637891101756
122;Bertie Felstead;/people/person/place_of_birth;London;5.0;0.03947637891101756
123;Charles Mayo (Anglo-Saxon scholar);/people/person/place_of_birth;London;5.0;0.035146306709385
124;Abraham Aurelius;/people/person/place_of_birth;London;-3.0;0.0357359459457912
125;Derrick Leon;/people/person/place_of_birth;London;5.0;0.03273318464834465
126;Nick Grosso;/people/person/place_of_birth;London;5.0;0.03102569356264839
127;George Russell French;/people/person/place_of_birth;London;5.0;0.0469405936778372
128;Charles Kennedy Scott;/people/person/place_of_birth;London;-3.0;0.03642492417565256
129;William Emery;/people/person/place_of_birth;London;5.0;0.03318894863624656
130;Andrew Waterman;/people/person/place_of_birth;London;5.0;
131;William Garnett (civil servant);/people/person/place_of_birth;London;5.0;0.028847501949611176
132;Alice Harrison;/people/person/place_of_birth;London;5.0;0.04075348587251881
133;Ethel Merston;/people/person/place_of_birth;London;5.0;0.03506360311096547
134;Wally Stocker;/people/person/place_of_birth;London;5.0;0.03255621738447056
135;Dmitry Grigorieff;/people/person/place_of_birth;London;5.0;0.0336272948608617
136;Gilbert John Arrow;/people/person/place_of_birth;London;5.0;
137;Sampson Low;/people/person/place_of_birth;London;5.0;0.033837460571706626
138;Peter G. Engelman;/people/person/place_of_birth;London;5.0;0.033544203052841524
139;Mark Farmer (actor);/people/person/place_of_birth;London;5.0;0.03519487693160902
140;Joe Daly;/people/person/place_of_birth;London;5.0;0.02876653749906776
141;Isidor Clinton Rubin;/people/person/place_of_birth;London;-3.0;0.03036578401520716
142;Thomas Gerald Room;/people/person/place_of_birth;London;-5.0;0.03947637891101756
143;Mehran Khaghani;/people/person/place_of_birth;London;5.0;
144;Nigel Preston;/people/person/place_of_birth;London;5.0;0.03947637891101756
145;Christopher Headington;/people/person/place_of_birth;London;5.0;0.03947637891101756
146;John Barry (set designer);/people/person/place_of_birth;London;5.0;0.03507535037447027
147;Olivia Poulet;/people/person/place_of_birth;London;5.0;0.03947637891101756
148;Robert Briffault;/people/person/place_of_birth;London;1.0;
149;Michael Jaffé;/people/person/place_of_birth;London;5.0;0.03947637891101756
150;Stephen Atkinson (metallurgist);/people/person/place_of_birth;London;-5.0;0.04034240072105714
151;Barbara C. Freeman;/people/person/place_of_birth;London;-5.0;0.050417885223098036
152;Adrian Bowyer;/people/person/place_of_birth;London;5.0;0.0312519418301746
153;Robb Gravett;/people/person/place_of_birth;London;5.0;0.02996879488950759
154;Steve Laine;/people/person/place_of_birth;London;5.0;0.04133033778502927
155;David Smith (English politician);/people/person/place_of_birth;London;5.0;0.04618442386565575
156;Gordon Jennings Laing;/people/person/place_of_birth;London;-3.0;0.028862828772970472
157;Tom Arnold (politician);/people/person/place_of_birth;London;5.0;
158;Guy de Cointet;/people/person/place_of_birth;Paris;5.0;0.04906953124035408
159;Nick Pugh;/people/person/place_of_birth;Paris;5.0;0.04276802438227944
160;Renaud Gagneux;/people/person/place_of_birth;Paris;5.0;
161;Jean Gallon;/people/person/place_of_birth;Paris;5.0;
162;Jane Bathori;/people/person/place_of_birth;Paris;5.0;
163;Marcel Alexandre Bertrand;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
164;Abel Dimier;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
165;Bernard Cassen;/people/person/place_of_birth;Paris;5.0;
166;René Renoult;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
167;Farid Chopel;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
168;François Maspero;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
169;Thibaut de Reimpré;/people/person/place_of_birth;Paris;5.0;0.030796861586087347
170;Charles Collé;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
171;Bertrand Lamarche;/people/person/place_of_birth;Paris;3.0;0.03702470605052659
172;Louis Godin;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
173;Elsa Lunghini;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
174;Lucien Laurent Bonheur;/people/person/place_of_birth;Paris;5.0;0.028120147664666046
175;François-Anne David;/people/person/place_of_birth;Paris;5.0;0.03778215714617159
176;Jean Baptiste Claude Chatelain;/people/person/place_of_birth;Paris;5.0;
177;Gérard Granel;/people/person/place_of_birth;Paris;5.0;0.04758684384938205
178;Martin Malvy;/people/person/place_of_birth;Paris;5.0;0.03903667529720769
179;Claude Piel;/people/person/place_of_birth;Paris;5.0;0.03511268601463423
180;Georges Henri Roger;/people/person/place_of_birth;Paris;5.0;
181;Albert Geouffre de Lapradelle;/people/person/place_of_birth;Paris;5.0;0.04524359807931159
182;Claude Weisz;/people/person/place_of_birth;Paris;5.0;
183;Dominique Sanson;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
184;Armand Toussaint;/people/person/place_of_birth;Paris;5.0;0.03770984255706414
185;Hervé Alphand;/people/person/place_of_birth;Paris;5.0;0.047777862511607254
186;Pierre Lecomte du Noüy;/people/person/place_of_birth;Paris;5.0;0.030738763679564986
187;Alexandre Desgoffe;/people/person/place_of_birth;Paris;5.0;
188;Léonce Alloy;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
189;Catherine Keller (artist);/people/person/place_of_birth;Paris;5.0;
190;Patrick Lemarié;/people/person/place_of_birth;Paris;5.0;0.03906917931464083
191;Émile Lévy;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
192;Pierre Cartellier;/people/person/place_of_birth;Paris;5.0;0.05150232358297126
193;Yves Roucaute;/people/person/place_of_birth;Paris;5.0;0.047046859507530986
194;Marianne Peretti;/people/person/place_of_birth;Paris;5.0;0.049077266359814235
195;Sébastien Denis;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
196;Claude Duflos;/people/person/place_of_birth;Paris;5.0;
197;François Lehideux;/people/person/place_of_birth;Paris;5.0;0.0314053868865388
198;Ibrahim Diarra;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
199;Philippe Risoli;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
200;Ernest Breton;/people/person/place_of_birth;Paris;5.0;0.03378513420887051
201;Serge Collot;/people/person/place_of_birth;Paris;5.0;0.035117077418236414
202;Albert Vizentini;/people/person/place_of_birth;Paris;5.0;0.04069141473371623
203;Hippolyte Cloquet;/people/person/place_of_birth;Paris;-3.0;
204;Antoine Verglas;/people/person/place_of_birth;Paris;5.0;0.03967513565895826
205;Cornélie Falcon;/people/person/place_of_birth;Paris;5.0;0.03165983406123943
206;Hélène Carrère d'Encausse;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
207;Charles Cotin;/people/person/place_of_birth;Paris;5.0;
208;Yvette Giraud;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
209;Nikos Aliagas;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
210;Marc Sangnier;/people/person/place_of_birth;Paris;5.0;0.032818775115282625
211;Georges Hugon;/people/person/place_of_birth;Paris;5.0;0.051665501957625856
212;Ernst Friedrich;/people/person/place_of_birth;Paris;5.0;
213;Marie Nicolas Sylvestre Guillon;/people/person/place_of_birth;Paris;5.0;0.03434348537587498
214;Constant Ferdinand Burille;/people/person/place_of_birth;Paris;3.0;0.031977225913018256
215;Charles Nicholas Aubé;/people/person/place_of_birth;Paris;5.0;
216;Henri de Contenson;/people/person/place_of_birth;Paris;5.0;0.03667371952679666
217;Marthe Chenal;/people/person/place_of_birth;Paris;5.0;0.039503643536458
218;Jules Louis Lewal;/people/person/place_of_birth;Paris;5.0;0.03878890058584275
219;Frédéric Durieux;/people/person/place_of_birth;Paris;5.0;
220;Henri Nussbaumer;/people/person/place_of_birth;Paris;5.0;0.04288062307323128
221;Robert Lecou;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
222;Alain Ehrenberg;/people/person/place_of_birth;Paris;5.0;0.03460442935958612
223;Jean Noël Hallé;/people/person/place_of_birth;Paris;5.0;0.05127577806751201
224;Léon Gimpel;/people/person/place_of_birth;Paris;5.0;0.031545183507494044
225;David Bret;/people/person/place_of_birth;Paris;5.0;
226;Jules de Gaultier;/people/person/place_of_birth;Paris;5.0;0.03196200065675164
227;Louis Mazetier;/people/person/place_of_birth;Paris;5.0;0.040013776889575074
228;Nicolas Colibert;/people/person/place_of_birth;Paris;5.0;
229;Julien Noël Costantin;/people/person/place_of_birth;Paris;-3.0;0.04758684384938205
230;Jeanne Deroin;/people/person/place_of_birth;Paris;5.0;0.03721305999195782
231;Theophilus de Garencières;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
232;François Pourfour du Petit;/people/person/place_of_birth;Paris;-1.0;
233;René Mayer;/people/person/place_of_birth;Paris;5.0;0.03494230069522467
234;Françoise Claustre;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
235;Florent Fidèle Constant Bourgeois;/people/person/place_of_birth;Paris;5.0;0.05150232358297126
236;Jean Cotelle;/people/person/place_of_birth;Paris;5.0;0.03258125872943995
237;Adolphe Cohn;/people/person/place_of_birth;Paris;5.0;0.042789936622555445
238;Jacques d'Agar;/people/person/place_of_birth;Paris;5.0;0.045485360692026335
239;André Léri;/people/person/place_of_birth;Paris;5.0;0.043955218192086296
240;Laurent Boyer;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
241;Gabriel Bertrand;/people/person/place_of_birth;Paris;5.0;0.041631479016809476
242;Germinal Pierre Dandelin;/people/person/place_of_birth;Paris;-3.0;0.048705319992788584
243;Henry Lerolle;/people/person/place_of_birth;Paris;5.0;0.05511666140643157
244;Louis Dorléans;/people/person/place_of_birth;Paris;5.0;0.02761831697986109
245;Paul Lacroix;/people/person/place_of_birth;Paris;5.0;0.03602441105166617
246;Yannick Pouliot;/people/person/place_of_birth;Paris;5.0;
247;Christelle Lefranc;/people/person/place_of_birth;Paris;1.0;0.04496358993465717
248;Lola Artôt de Padilla;/people/person/place_of_birth;Paris;-5.0;0.03696092140056435
249;Jacques Autreau;/people/person/place_of_birth;Paris;5.0;0.03536046820148817
250;Hugues Krafft;/people/person/place_of_birth;Paris;5.0;0.027946030973553873
251;Dumont de Montigny;/people/person/place_of_birth;Paris;5.0;0.042150642321662574
252;Pierre Joxe;/people/person/place_of_birth;Paris;5.0;0.038670023715174584
253;Mathieu Blin;/people/person/place_of_birth;Paris;5.0;
254;Joseph Naudet;/people/person/place_of_birth;Paris;-3.0;
255;Noël Gallon;/people/person/place_of_birth;Paris;5.0;
256;Alfred Darjou;/people/person/place_of_birth;Paris;5.0;0.038378878006143424
257;Michio Ihara;/people/person/place_of_birth;Paris;5.0;0.04052613987435382
258;Henri Perreyve;/people/person/place_of_birth;Paris;5.0;0.03815433981067211
259;Leon Athanese Gosselin;/people/person/place_of_birth;Paris;3.0;0.043349731603022426
260;Eugène Brieux;/people/person/place_of_birth;Paris;5.0;
261;Jan Bull;/people/person/place_of_birth;Paris;5.0;0.02886829212932942
262;Morris Bear Squire;/people/person/place_of_birth;Chicago;5.0;0.04200538101618343
263;Johanna Meier;/people/person/place_of_birth;Chicago;5.0;0.029326039150984945
264;James Adler;/people/person/place_of_birth;Chicago;5.0;0.04075348587251881
265;Wolfgang Baur;/people/person/place_of_birth;Chicago;5.0;0.04200538101618343
266;Paul Willis (actor);/people/person/place_of_birth;Chicago;5.0;0.04200538101618343
267;Al Cotey;/people/person/place_of_birth;Chicago;5.0;0.032654408528323714
268;Arthur Yoria;/people/person/place_of_birth;Chicago;5.0;0.04354255433131843
269;Thomas R. Fitzgerald;/people/person/place_of_birth;Chicago;5.0;
270;Kip King;/people/person/place_of_birth;Chicago;5.0;0.032654408528323714
271;Wallace Bishop;/people/person/place_of_birth;Chicago;5.0;0.04200538101618343
272;Raymond Monsour Scurfield;/people/person/place_of_birth;Chicago;5.0;0.04179742479866454
273;Carl R. Chindblom;/people/person/place_of_birth;Chicago;5.0;0.04200538101618343
