;subject;predicate;object;score;path
0;Keppel Harcourt Barnard;/people/person/place_of_birth;London;5.0;0.11408991785165312
1;Elizabeth Kay;/people/person/place_of_birth;London;5.0;0.06607195441814603
2;Alisa Arnah;/people/person/place_of_birth;London;5.0;0.09871399814533864
3;Robert Jankel;/people/person/place_of_birth;London;5.0;0.0919341814078655
4;James Redhouse;/people/person/place_of_birth;London;-3.0;0.09454454570269796
5;Nick Philip;/people/person/place_of_birth;London;5.0;0.10814306475374941
6;Alice Temple;/people/person/place_of_birth;London;5.0;0.10104121700583289
7;Peter Milligan;/people/person/place_of_birth;London;5.0;0.09563624511240482
8;Justin Wintle;/people/person/place_of_birth;London;5.0;0.09429092277781917
9;Benjamin Brecknell Turner;/people/person/place_of_birth;London;5.0;
10;Russell Stannard;/people/person/place_of_birth;London;5.0;0.11118681653527929
11;Edward Romilly;/people/person/place_of_birth;London;5.0;0.11100761891915811
12;William Keasberry;/people/person/place_of_birth;London;5.0;0.11779131480045203
13;Daniel Joseph Jaffé;/people/person/place_of_birth;London;5.0;0.10079592001936817
14;Henry Cecil Leon;/people/person/place_of_birth;London;-5.0;0.0894830722870589
15;Thomas Playfere;/people/person/place_of_birth;London;5.0;0.1314745403396374
16;Aamer Haleem;/people/person/place_of_birth;London;5.0;0.11746357050615341
17;Jean Ure;/people/person/place_of_birth;London;5.0;0.107466776361108
18;Judy Leden;/people/person/place_of_birth;London;-5.0;0.09367885942880061
19;Scarlett Strallen;/people/person/place_of_birth;London;5.0;0.09623909815195568
20;Edward Stone Parker;/people/person/place_of_birth;London;5.0;0.09121976851579325
21;Brent Rickles;/people/person/place_of_birth;London;5.0;
22;Adrian Baker;/people/person/place_of_birth;London;5.0;0.06755690515376843
23;Coral Amiga;/people/person/place_of_birth;London;5.0;
24;William Vaughan (bishop);/people/person/place_of_birth;London;5.0;0.12444491086545639
25;Harry Freedman (author);/people/person/place_of_birth;London;5.0;0.07761873215960491
26;Rusty Egan;/people/person/place_of_birth;London;5.0;0.14158885835916296
27;Andrew Bell (minister);/people/person/place_of_birth;London;5.0;
28;Jonathan Wilkins;/people/person/place_of_birth;London;5.0;0.09036597144399668
29;Charles Frodsham;/people/person/place_of_birth;London;5.0;0.11632761572427683
30;Frank Pearson;/people/person/place_of_birth;London;-1.0;0.10143460883529848
