subject;predicate;object;score;path
Keppel Harcourt Barnard;/people/person/place_of_birth;London;5;Keppel Harcourt Barnard
Elizabeth Kay;/people/person/place_of_birth;London;5;Elizabeth Kay
Alisa Arnah;/people/person/place_of_birth;London;5;Alisa Arnah
Robert Jankel;/people/person/place_of_birth;London;5;Robert Jankel
James Redhouse;/people/person/place_of_birth;London;-3;James Redhouse
Nick Philip;/people/person/place_of_birth;London;5;Nick Philip
Alice Temple;/people/person/place_of_birth;London;5;Alice Temple
Peter Milligan;/people/person/place_of_birth;London;5;Peter Milligan
Justin Wintle;/people/person/place_of_birth;London;5;Justin Wintle
Benjamin Brecknell Turner;/people/person/place_of_birth;London;5;Benjamin Brecknell Turner
Russell Stannard;/people/person/place_of_birth;London;5;Russell Stannard
Edward Romilly;/people/person/place_of_birth;London;5;Edward Romilly
William Keasberry;/people/person/place_of_birth;London;5;William Keasberry
Daniel Joseph Jaffé;/people/person/place_of_birth;London;5;Daniel Joseph Jaffé
Henry Cecil Leon;/people/person/place_of_birth;London;-5;Henry Cecil Leon
Thomas Playfere;/people/person/place_of_birth;London;5;Thomas Playfere
Aamer Haleem;/people/person/place_of_birth;London;5;Aamer Haleem
Jean Ure;/people/person/place_of_birth;London;5;Jean Ure
Judy Leden;/people/person/place_of_birth;London;-5;Judy Leden
Scarlett Strallen;/people/person/place_of_birth;London;5;Scarlett Strallen
Edward Stone Parker;/people/person/place_of_birth;London;5;Edward Stone Parker
Brent Rickles;/people/person/place_of_birth;London;5;Brent Rickles
Adrian Baker;/people/person/place_of_birth;London;5;Adrian Baker
Coral Amiga;/people/person/place_of_birth;London;5;Coral Amiga
William Vaughan (bishop);/people/person/place_of_birth;London;5;William Vaughan (bishop)
Harry Freedman (author);/people/person/place_of_birth;London;5;Harry Freedman (author)
Rusty Egan;/people/person/place_of_birth;London;5;Rusty Egan
Andrew Bell (minister);/people/person/place_of_birth;London;5;Andrew Bell (minister)
Jonathan Wilkins;/people/person/place_of_birth;London;5;Jonathan Wilkins
Charles Frodsham;/people/person/place_of_birth;London;5;Charles Frodsham
Frank Pearson;/people/person/place_of_birth;London;-1;Frank Pearson
William Mattieu Williams;/people/person/place_of_birth;London;5;William Mattieu Williams
Alan Littlejohn;/people/person/place_of_birth;London;5;Alan Littlejohn
Frank Sayers;/people/person/place_of_birth;London;5;Frank Sayers
Benjamin Pine;/people/person/place_of_birth;London;5;Benjamin Pine
John William Mellor;/people/person/place_of_birth;London;5;John William Mellor
Thomas Wroth (politician, 17th century);/people/person/place_of_birth;London;5;Thomas Wroth (politician, 17th century)
Gerard Hemsworth;/people/person/place_of_birth;London;5;Gerard Hemsworth
Geoffrey Stevens (journalist);/people/person/place_of_birth;London;-1;Geoffrey Stevens (journalist)
Charles Hastings Doyle;/people/person/place_of_birth;London;5;Charles Hastings Doyle
Richard Corbould;/people/person/place_of_birth;London;5;Richard Corbould
Frederic Bayco;/people/person/place_of_birth;London;5;Frederic Bayco
David Parry (folk musician);/people/person/place_of_birth;London;5;David Parry (folk musician)
Mark Stone (baritone);/people/person/place_of_birth;London;5;Mark Stone (baritone)
James William Wallack;/people/person/place_of_birth;London;5;James William Wallack
Timothy Foote;/people/person/place_of_birth;London;5;Timothy Foote
Edward Alfred Cowper;/people/person/place_of_birth;London;5;Edward Alfred Cowper
Jeremy Holmes;/people/person/place_of_birth;London;5;Jeremy Holmes
Deepa Kaul;/people/person/place_of_birth;London;5;Deepa Kaul
Thomas E. Wilson;/people/person/place_of_birth;London;-5;Thomas E. Wilson
Stephen Griew;/people/person/place_of_birth;London;5;Stephen Griew
Thomas Taylor (neoplatonist);/people/person/place_of_birth;London;5;Thomas Taylor (neoplatonist)
Henry W. Lee;/people/person/place_of_birth;London;5;Henry W. Lee
Lawrence Walford;/people/person/place_of_birth;London;5;Lawrence Walford
E. W. Dickes;/people/person/place_of_birth;London;5;E. W. Dickes
Toby Cockerell;/people/person/place_of_birth;London;5;Toby Cockerell
Joan Vincent Murray;/people/person/place_of_birth;London;5;Joan Vincent Murray
Neil Zakiewicz;/people/person/place_of_birth;London;5;Neil Zakiewicz
Arthur Wakefield;/people/person/place_of_birth;London;-5;Arthur Wakefield
Symeon Cosburn;/people/person/place_of_birth;London;5;Symeon Cosburn
Alain de Cadenet;/people/person/place_of_birth;London;5;Alain de Cadenet
Richard West (journalist);/people/person/place_of_birth;London;5;Richard West (journalist)
Desi Williams;/people/person/place_of_birth;London;5;Desi Williams
Malcolm Cecil;/people/person/place_of_birth;London;5;Malcolm Cecil
Harry Calvert;/people/person/place_of_birth;London;-5;Harry Calvert
Charles Ejogo;/people/person/place_of_birth;London;5;Charles Ejogo
Thomas Adams (musician);/people/person/place_of_birth;London;5;Thomas Adams (musician)
Alaric Alexander Watts;/people/person/place_of_birth;London;5;Alaric Alexander Watts
Victor Henny;/people/person/place_of_birth;London;-3;Victor Henny
Charles Dixon (ornithologist);/people/person/place_of_birth;London;5;Charles Dixon (ornithologist)
Geoffrey Acland;/people/person/place_of_birth;London;-1;Geoffrey Acland
Tim Benjamin;/people/person/place_of_birth;London;5;Tim Benjamin
Henry Neele;/people/person/place_of_birth;London;5;Henry Neele
George FitzGeorge;/people/person/place_of_birth;London;5;George FitzGeorge
Thomas Morton Harper;/people/person/place_of_birth;London;5;Thomas Morton Harper
Henry Dawe;/people/person/place_of_birth;London;-5;Henry Dawe
Matthew Price;/people/person/place_of_birth;London;5;Matthew Price
Laurie Allan;/people/person/place_of_birth;London;5;Laurie Allan
John Edwin (1749–1790);/people/person/place_of_birth;London;5;John Edwin (1749–1790)
Edmund Hobhouse;/people/person/place_of_birth;London;5;Edmund Hobhouse
Johnny Mowlem;/people/person/place_of_birth;London;5;Johnny Mowlem
Richard Vale;/people/person/place_of_birth;London;5;Richard Vale
Reginald Brett, 2nd Viscount Esher;/people/person/place_of_birth;London;5;Reginald Brett, 2nd Viscount Esher
Terry Byrne;/people/person/place_of_birth;London;5;Terry Byrne
Antonia Okonma;/people/person/place_of_birth;London;5;Antonia Okonma
Ursula Hoff;/people/person/place_of_birth;London;5;Ursula Hoff
Mary Rose Young;/people/person/place_of_birth;London;-5;Mary Rose Young
Neville Maxwell;/people/person/place_of_birth;London;5;Neville Maxwell
Steven Alexander;/people/person/place_of_birth;London;5;Steven Alexander
Sebastian Dacey;/people/person/place_of_birth;London;5;Sebastian Dacey
George Stone (bishop);/people/person/place_of_birth;London;5;George Stone (bishop)
Alison Waters;/people/person/place_of_birth;London;5;Alison Waters
Robert Bourne (developer);/people/person/place_of_birth;London;5;Robert Bourne (developer)
George Georgiou;/people/person/place_of_birth;London;5;George Georgiou
Rhett Davies;/people/person/place_of_birth;London;5;Rhett Davies
Zoe McConnell;/people/person/place_of_birth;London;-1;Zoe McConnell
David J. Farrar;/people/person/place_of_birth;London;5;David J. Farrar
William Main Page;/people/person/place_of_birth;London;5;William Main Page
Frank Holl;/people/person/place_of_birth;London;5;Frank Holl
Stan Rosenthal;/people/person/place_of_birth;London;5;Stan Rosenthal
Christopher Hobbs;/people/person/place_of_birth;London;-5;Christopher Hobbs
John Howard (author);/people/person/place_of_birth;London;5;John Howard (author)
John Duncombe (writer);/people/person/place_of_birth;London;5;John Duncombe (writer)
Keith Wiggins;/people/person/place_of_birth;London;5;Keith Wiggins
Algernon Methuen;/people/person/place_of_birth;London;5;Algernon Methuen
Jay Neill (actor);/people/person/place_of_birth;London;5;Jay Neill (actor)
Michael Swanton;/people/person/place_of_birth;London;5;Michael Swanton
Peter Dowdeswell;/people/person/place_of_birth;London;5;Peter Dowdeswell
John David Hennessey;/people/person/place_of_birth;London;5;John David Hennessey
Cliff Jones (musician);/people/person/place_of_birth;London;5;Cliff Jones (musician)
Alfred Hackman;/people/person/place_of_birth;London;-5;Alfred Hackman
Malcolm Wakeford;/people/person/place_of_birth;London;-5;Malcolm Wakeford
Robin Gillett;/people/person/place_of_birth;London;5;Robin Gillett
David Vaughan (dance archivist);/people/person/place_of_birth;London;5;David Vaughan (dance archivist)
William Henry Anderdon;/people/person/place_of_birth;London;5;William Henry Anderdon
Harry Zvi Tabor;/people/person/place_of_birth;London;5;Harry Zvi Tabor
William Byrne (engraver);/people/person/place_of_birth;London;5;William Byrne (engraver)
Thomas Cole (minister);/people/person/place_of_birth;London;-5;Thomas Cole (minister)
Samuel Verblunsky;/people/person/place_of_birth;London;5;Samuel Verblunsky
Janet Coster;/people/person/place_of_birth;London;5;Janet Coster
Graham Reilly;/people/person/place_of_birth;London;3;Graham Reilly
Thalia Pellegrini;/people/person/place_of_birth;London;5;Thalia Pellegrini
Bertie Felstead;/people/person/place_of_birth;London;5;Bertie Felstead
Charles Mayo (Anglo-Saxon scholar);/people/person/place_of_birth;London;5;Charles Mayo (Anglo-Saxon scholar)
Abraham Aurelius;/people/person/place_of_birth;London;-3;Abraham Aurelius
Derrick Leon;/people/person/place_of_birth;London;5;Derrick Leon
Nick Grosso;/people/person/place_of_birth;London;5;Nick Grosso
George Russell French;/people/person/place_of_birth;London;5;George Russell French
Charles Kennedy Scott;/people/person/place_of_birth;London;-3;Charles Kennedy Scott
William Emery;/people/person/place_of_birth;London;5;William Emery
Andrew Waterman;/people/person/place_of_birth;London;5;Andrew Waterman
William Garnett (civil servant);/people/person/place_of_birth;London;5;William Garnett (civil servant)
Alice Harrison;/people/person/place_of_birth;London;5;Alice Harrison
Ethel Merston;/people/person/place_of_birth;London;5;Ethel Merston
Wally Stocker;/people/person/place_of_birth;London;5;Wally Stocker
Dmitry Grigorieff;/people/person/place_of_birth;London;5;Dmitry Grigorieff
Gilbert John Arrow;/people/person/place_of_birth;London;5;Gilbert John Arrow
Sampson Low;/people/person/place_of_birth;London;5;Sampson Low
Peter G. Engelman;/people/person/place_of_birth;London;5;Peter G. Engelman
Mark Farmer (actor);/people/person/place_of_birth;London;5;Mark Farmer (actor)
Joe Daly;/people/person/place_of_birth;London;5;Joe Daly
Isidor Clinton Rubin;/people/person/place_of_birth;London;-3;Isidor Clinton Rubin
Thomas Gerald Room;/people/person/place_of_birth;London;-5;Thomas Gerald Room
Mehran Khaghani;/people/person/place_of_birth;London;5;Mehran Khaghani
Nigel Preston;/people/person/place_of_birth;London;5;Nigel Preston
Christopher Headington;/people/person/place_of_birth;London;5;Christopher Headington
John Barry (set designer);/people/person/place_of_birth;London;5;John Barry (set designer)
Olivia Poulet;/people/person/place_of_birth;London;5;Olivia Poulet
