x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Jo Bonner (R);0.060490645485711196;0.05754918046486804;0.041189719489987925;0.04598762447466623;0.05604267480773352;0.06590362850483665;0.05234743968292496;0.0575215811615764;0.0355757214690335;0.05673091272687851;0.05655394111635755;0.04440385761399263;0.04684793602424894;0.054728038098393585;0.08723519862069565;0.04754322603925;0.05986286713299828;0.0399699797978296;0.06575944311029652;0.04838945389036267
Martha Roby (R);0.06229349554807344;0.05779573230532617;0.05872476359972367;0.04730315291463168;0.06106609752592479;0.09423944590627198;0.07879932032251613;0.07074624625558884;0.056566180672937026;0.05020192674796564;0.07096813250597175;0.0703724258456134;0.04879791712426091;0.0558114259176667;0.08497159285564347;0.053563338718810104;0.08292476392581602;0.0585977014066242;0.08401218836436528;0.05921412612501868
Mike Rogers (R);0.06325578060885625;0.05889847969242622;0.05068373955310156;0.04278587792790118;0.05087856615526567;0.04801209827722809;0.04593696027178147;0.06389909198823672;0.034369352052196725;0.043285742618848946;0.06147806220127301;0.05314090577091263;0.03681815870682495;0.06888131211247324;0.08526876761099564;0.05274583931547827;0.04770074341402296;0.04344624944963707;0.06414772011414333;0.04719956089260538
Robert Aderholt (R);0.09187589331830862;0.074538660686296;0.06848475003751428;0.06470074501213476;0.08560680111191032;0.11675111973143866;0.08031198366574069;0.08724064875337713;0.05285773389902161;0.05777950364687455;0.08977969591156977;0.08608820896720332;0.05598502880635112;0.07568070553378799;0.12553917569036216;0.0730114692326313;0.1005436963026649;0.0671539474714621;0.09805523018551592;0.07843369960089626
Mo Brooks (R);0.07891617914284416;0.07673259255655607;0.07517311447639408;0.06619760125790408;0.08509019969778955;0.10919840855548398;0.08447781613736986;0.09062545913892602;0.049625607027957305;0.055066742981393496;0.08666041585092546;0.08148097731494044;0.05513513933349752;0.08358593408753939;0.11504668852102068;0.06956307590412825;0.09012948333070044;0.0573497036801187;0.10194325462663342;0.0880419255724967
Spencer Bachus (R);0.09351786727009483;0.08876047288755581;0.07728101420606844;0.057502508070846774;0.07169576597598337;0.09574992084805135;0.06976531705779454;0.09350838735445535;0.05223579174846367;0.05549504294240183;0.08146837685214692;0.09136647838856107;0.05410895391496413;0.07661761119509658;0.12667621320535388;0.06575532293234024;0.08027299729251272;0.05481513449551447;0.10394801883041221;0.06861011340036283
Terri Sewell (D);0.07761020151294089;0.06613621580220466;0.061429254341064304;0.06448658861602505;0.06740974047615622;0.06923042697147966;0.08992731874649326;0.07401868224710921;0.08595524646872643;0.05170925299378447;0.075609780781316;0.08106615025908387;0.05420622965777669;0.06425318576382076;0.10872866759061287;0.07279265799692122;0.06501721456785187;0.06086161175052052;0.08819490174092129;0.07300809166923458
Paul Gosar (R);0.06822564000736783;0.07137697504570498;0.05371755909909318;0.04881176404882108;0.0585945071508584;0.08441889756436927;0.06801256036171915;0.08127085987342719;0.047380854338340064;0.05421152840334842;0.07684131034304113;0.07575905265542555;0.05860659739302926;0.0724830755557485;0.11292055470533459;0.056009376245565526;0.08482203887145436;0.05288081749641657;0.083522619351219;0.06845731535003582
Trent Franks (R);0.08400252026656424;0.09282159834681675;0.053852173541959744;0.059825139040626904;0.05852060314842933;0.08172637051142402;0.07255111950534865;0.07733752820510374;0.06290312819612665;0.07792493634297808;0.08612488561812504;0.06696379307229289;0.04846272786454962;0.06910374503582437;0.10842898638687373;0.0663485427000805;0.0827746568696582;0.0556638633585194;0.08882187361269178;0.07247946263466283
Ben Quayle (R);0.08250174720212068;0.06956461405641713;0.056989125860013534;0.05947741606612235;0.06054519848451123;0.09345152585680634;0.06970191496843486;0.0849127991263595;0.05548100455485556;0.04804487885666005;0.07709467427664433;0.07918645871512567;0.04897489297438368;0.0723723550411654;0.11453329124942788;0.06355436122659434;0.07087001850111363;0.04684828451033529;0.08602517784465144;0.06026099972555196
Ed Pastor (D);0.10659888143775371;0.07839264507414367;0.05768635074310818;0.058156791832999544;0.07029790169332734;0.09404647551525966;0.0839849685865598;0.08792898867725399;0.06358833564496337;0.05185768992367358;0.09100114547737899;0.09317006088143406;0.052512601242290374;0.08520602404749512;0.13056861857087862;0.0752784507923009;0.08103186551525625;0.0526477708109158;0.09788607031986209;0.05972332156330536
David Schweikert (R);0.0840530902427854;0.07409941397873553;0.0767797146300978;0.05276098412260425;0.07337226260787214;0.10726616857089627;0.09096784156933169;0.09116596921343673;0.050678456665462154;0.05552055560475334;0.11319556917635057;0.09737606268495223;0.056365373220731874;0.0797972300300294;0.11268225561639368;0.07193295904847172;0.09890030080009873;0.06565352691946791;0.09897585829428207;0.06431189546660454
Jeff Flake (R);0.08274798682853365;0.07362979837814104;0.05996272753680152;0.06236141179931527;0.07542677428974492;0.10185073660834099;0.0930442896149806;0.0856825376046435;0.057727228619087204;0.0662002927283791;0.09363636748078746;0.09249640436716479;0.05296040911567511;0.07101601896414503;0.11421383536286182;0.07467652561751525;0.09240553945304006;0.05290018184921844;0.08912659144430947;0.05918432367563731
Raúl Grijalva (D);0.10074717189351982;0.08351326765471292;0.0718412017849683;0.06078493258378049;0.07748802877811385;0.09474341440312525;0.10135302694986659;0.09702151530738674;0.05176409014811706;0.06353565789528481;0.09931938034784715;0.09677608613463642;0.06283801323186608;0.08921418032289138;0.1418820933156103;0.07200398629846835;0.09267609658531183;0.06754577928540487;0.10686352612152575;0.08090634540390369
