x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Jo Bonner (R);0.08393850327668745;0.07907120106231447;0.07072020715178037;0.0647818729240577;0.0762301200624406;0.08465492065035526;0.07936481060299766;0.0754921904249383;0.062260228392697826;0.07914890856106169;0.08439203891653316;0.07223925217479403;0.06982630332332257;0.07835033873700882;0.11240050278167033;0.0691160126026787;0.07723055601393666;0.06708161455534296;0.08622512027663817;0.07245936110479743
Martha Roby (R);0.08692414576791686;0.0849233796295466;0.08569361701488923;0.06610123497524456;0.08976913622887367;0.11307817247552088;0.10594233105758782;0.08875189644883698;0.08334324969875703;0.07635928616922351;0.09386808294088475;0.09740660273011778;0.07401662456529304;0.07865766779697632;0.111292480092447;0.0815388724817481;0.10034855608899748;0.08497379428855606;0.10978188266667444;0.08540526758050146
Mike Rogers (R);0.08449443764223241;0.07890705742696369;0.07524498865061029;0.06645401750604212;0.07852361687254225;0.07198424517341911;0.06835249941105707;0.08747507033847597;0.06588020940550801;0.06340501837081326;0.07945501241013894;0.08594048530904219;0.06961097774295602;0.08685957596969093;0.10991746468449058;0.07155178815543341;0.07086949841464694;0.062254758311200004;0.09107125423662718;0.0745041997245424
Robert Aderholt (R);0.11391395980173702;0.10174659677719841;0.09549936456685337;0.0835506901636972;0.10419846069830502;0.13652429570449598;0.10746244008712853;0.1052916316735037;0.07961810394869187;0.083968850128045;0.11274474251829006;0.1131989730719157;0.08123265940648047;0.0985931869857066;0.1486247692935089;0.10108717467455106;0.11801255253734756;0.09356770672624741;0.12388990564360701;0.1047089787724076
Mo Brooks (R);0.10830946758257173;0.09362020306245095;0.09397731598935756;0.08505211292662147;0.10484162531784003;0.12808596373984257;0.10755396706221902;0.10949926516137763;0.07637154655895492;0.0812445701863514;0.10961444919570955;0.10856896239348443;0.08037932302243742;0.10233178926679806;0.14151068570067482;0.09762065272231484;0.1075714615085602;0.08372036915923484;0.12779636326695024;0.10587181426276557
Spencer Bachus (R);0.11712557475897795;0.10562851697730019;0.09922324261867467;0.07633072773255478;0.09759107057159097;0.11459348998757443;0.09478246800631696;0.11157709755816861;0.08169626895769767;0.0840469431241277;0.10987330431846384;0.10969023931201552;0.07612060526887829;0.10319053897801193;0.1548568680705422;0.09504798384675825;0.0976901773957839;0.07916459780327767;0.1333221453873587;0.08818964574247248
Terri Sewell (D);0.10275822323505127;0.09330343165451047;0.08841067571246215;0.08333588181982053;0.09631143912776219;0.09553919256542154;0.11712580512477956;0.10000374481803395;0.11287032913766049;0.07787292838112839;0.09852550401244453;0.10815209788695132;0.07944665420932975;0.08712717281038729;0.13516162152103087;0.1008672082754761;0.09069027778568407;0.08724759294269549;0.11398369508414102;0.09557160352007385
Paul Gosar (R);0.09535122623341935;0.08825175454161954;0.0810295201355968;0.07483498158064525;0.0841349591358635;0.10322660158800578;0.09489250928457699;0.09930521913905124;0.07272182357486573;0.08205264490115863;0.1051807993951605;0.1041745428687488;0.08096937791322069;0.10065346696507278;0.14011606438545843;0.07948950840921898;0.10225058848484124;0.07747609787917309;0.10885107222651932;0.09615852319262044
Trent Franks (R);0.1075627519318296;0.11152194288015095;0.0811647612928054;0.08589652191975146;0.08406074506943834;0.10052570574146348;0.0994519652847477;0.09536107018226023;0.08451837759117051;0.10002461410616287;0.11451494335697192;0.09533214828989574;0.0758642542936708;0.0972564695932287;0.1356012395581883;0.08986515063121009;0.10755551618645348;0.08026960271881844;0.11533505429313252;0.09468175371893095
Ben Quayle (R);0.10969569476811133;0.09767714782330378;0.08431637715723903;0.07618183678437213;0.08609385531031775;0.11228773399188458;0.09658961420711118;0.102957269980885;0.08220917439981998;0.07585597656625181;0.10543552701494194;0.10762061252924668;0.07637880147129676;0.10054216516163993;0.14173722268719852;0.0870610191578324;0.08826409562848128;0.07142113432901259;0.11385890159363853;0.087921779667988
Ed Pastor (D);0.1302738805479291;0.10655153621573327;0.08501687666953736;0.08422079304912064;0.09588818965328312;0.10974690434292088;0.11093954480828339;0.11382758036259741;0.0906434528005037;0.07968729414819262;0.11941827171037667;0.1216821550787041;0.07993304526914438;0.11344434703203818;0.1578584185620905;0.09882733056111753;0.10661998252370827;0.07724217858427747;0.11683764526057791;0.0873814785384437
