congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
112,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-50.85915,0.83,273,21,,,
112,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-146.62502,0.9,1390,57,,0.31,0.506
112,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.338,0.446,-153.47228,0.89783,1424,63,,0.291,0.659
112,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.39,0.404,-259.09279,0.8305,1395,95,,-0.364,0.329
112,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.367,0.659,-149.51862,0.90046,1426,62,,0.36,0.59
112,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.6,-0.426,-235.11432,0.84829,1429,100,,0.564,-0.142
112,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-182.54918,0.876,1382,78,,0.339,0.342
112,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.361,0.587,-180.72215,0.88073,1423,76,,0.327,0.601
112,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.279,0.014,-371.74272,0.74692,1274,155,,0.338,-0.052
112,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-192.73056,0.8707,1392,71,,0.913,-0.408
112,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-198.19888,0.86938,1416,83,,0.689,0.002
112,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.6,-0.246,-170.89455,0.88408,1387,69,,-0.655,-0.113
112,House,20701,61,8,AZ,100,1,1,"GIFFORDS, Gabrielle",G000554,1970,,-0.11,0.076,,,,,,-0.542,0.841
112,House,21103,61,1,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.619,-0.34,-242.03215,0.83871,1376,109,,0.507,-0.069
112,House,21104,61,3,AZ,200,0,1,"QUAYLE, Ben",Q000024,1976,,0.712,0.222,-154.5331,0.893,1371,74,,0.705,0.179
112,House,21105,61,5,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.634,-0.325,-182.99572,0.87933,1423,71,,0.644,-0.256
112,House,21199,61,8,AZ,100,2,2,"BARBER, Ron",B001279,1945,,-0.123,0.001,-73.55459,0.727,231,26,,-0.3,0.226
112,House,29101,61,4,AZ,100,0,1,"PASTOR, Ed",P000099,1943,,-0.421,0.12,-300.85852,0.808,1412,152,,-0.475,0.267
112,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-422.32622,0.738,1387,192,,-0.114,0.722
112,House,21106,42,1,AR,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.381,0.468,-130.94646,0.9122,1425,57,,0.322,0.604
112,House,21107,42,2,AR,200,0,1,"GRIFFIN, Tim",G000567,1968,,0.41,0.421,-162.76919,0.892,1423,74,,0.424,0.292
