subject,predicate,object,score,path
Morris S. Miller,/people/person/place_of_birth,New York City,5,"Morris S. Miller>Buffalo, New York>New York City"
Max Ferguson (painter),/people/person/place_of_birth,New York City,5,Max Ferguson (painter)>New York University>Berlin>New York City
John J. Dunnigan,/people/person/place_of_birth,New York City,5,John J. Dunnigan>New York (state)>Arabic>New York City
Frederick Juengling,/people/person/place_of_birth,New York City,5,Frederick Juengling>Berlin>New York City
Reuel Denney,/people/person/place_of_birth,New York City,5,"Reuel Denney>Buffalo, New York>New York City"
Thomas R. Ball,/people/person/place_of_birth,New York City,5,Thomas R. Ball>Connecticut>New York City
Vivian Liska,/people/person/place_of_birth,New York City,5,Vivian Liska>United States>American Revolution>New York City
Eric Truvillion,/people/person/place_of_birth,New York City,5,Eric Truvillion>Wide receiver>Buffalo Bills>New York City
Derek Milman,/people/person/place_of_birth,New York City,5,Derek Milman>Westchester County>The Bronx>New York City
Mitchel B. Wallerstein,/people/person/place_of_birth,New York City,5,Mitchel B. Wallerstein>Maxwell School of Citizenship and Public Affairs>Documentary film>New York City
Silas Seandel,/people/person/place_of_birth,New York City,5,Silas Seandel>New York (magazine)>California>New York City
James A. Hamilton,/people/person/place_of_birth,New York City,5,"James A. Hamilton>The New York Times>Buffalo, New York>New York City"
James H. Torrens,/people/person/place_of_birth,New York City,5,James H. Torrens>Babe Ruth>New York City
Gene Calderazzo,/people/person/place_of_birth,New York City,3,Gene Calderazzo>United States>American Revolution>New York City
Randy Klein,/people/person/place_of_birth,New York City,5,"Randy Klein>Museum of Modern Art>Buffalo, New York>New York City"
Lawrence Francis Kramer,/people/person/place_of_birth,New York City,-1,"Lawrence Francis Kramer>The New York Times>Buffalo, New York>New York City"
Robert Joseph Ward,/people/person/place_of_birth,New York City,3,Robert Joseph Ward>United States District Court for the Southern District of New York>The Bronx>New York City
Anna Alice Chapin,/people/person/place_of_birth,New York City,5,Anna Alice Chapin>New York Public Library>The Bronx>New York City
Otto Maass,/people/person/place_of_birth,New York City,5,Otto Maass>McGill University>British Columbia>New York City
John Punnett Peters,/people/person/place_of_birth,New York City,5,John Punnett Peters>United States>American Revolution>New York City
Anne Walker,/people/person/place_of_birth,New York City,5,Anne Walker (architectural historian)>Columbia University>New York City
David E. Mark,/people/person/place_of_birth,New York City,5,David E. Mark>Columbia University>New York City
Marc Myers,/people/person/place_of_birth,New York City,5,Marc Myers>Columbia University>New York City
Norwood Bowne,/people/person/place_of_birth,New York City,5,"Norwood Bowne>Delaware County, New York>American Revolutionary War>New York City"
Samuel Colgate,/people/person/place_of_birth,New York City,5,Samuel Colgate>New York (state)>Arabic>New York City
Edward McGlynn,/people/person/place_of_birth,New York City,5,Edward McGlynn>United States>American Revolution>New York City
Herman Trunk,/people/person/place_of_birth,New York City,5,Herman Trunk>Modernism>Eiffel Tower>New York City
Steve Powers,/people/person/place_of_birth,New York City,5,Steve Powers>United States Coast Guard>Delaware>New York City
Morgan Dix,/people/person/place_of_birth,New York City,5,Morgan Dix>Columbia University>New York City
Irwin Steingut,/people/person/place_of_birth,New York City,5,Irwin Steingut>Herbert H. Lehman>Columbia University>New York City
Melvyn Goldstein,/people/person/place_of_birth,New York City,-1,Melvyn Goldstein>Cleveland>Connecticut>New York City
Sergio Cresto,/people/person/place_of_birth,New York City,1,Sergio Cresto>United States of America>American Revolution>New York City
David Walsh (writer),/people/person/place_of_birth,New York City,5,"David Walsh (writer)>New York City, New York>The Bronx>New York City"
Paul A. Schneider,/people/person/place_of_birth,New York City,-1,Paul A. Schneider>George W. Bush>Connecticut>New York City
Lawrence Lessing,/people/person/place_of_birth,New York City,-5,"Lawrence Lessing>Buffalo, New York>New York City"
Charles McCabe,/people/person/place_of_birth,New York City,1,"Charles McCabe>The New York Times>Buffalo, New York>New York City"
Judy Craig,/people/person/place_of_birth,New York City,1,Judy Craig>United States>American Revolution>New York City
Jay Irving,/people/person/place_of_birth,New York City,3,Jay Irving>Columbia University>New York City
Leona Rostenberg,/people/person/place_of_birth,New York City,5,"Leona Rostenberg>New York, New York>The Bronx>New York City"
Kate Warne,/people/person/place_of_birth,New York City,1,Kate Warne>Chicago>New York City
Mike DiMeo,/people/person/place_of_birth,New York City,5,Mike DiMeo>Eric Clapton>New York City
Tommy Mandel,/people/person/place_of_birth,New York City,5,Tommy Mandel>New York (state)>Arabic>New York City
Herman Rietzel,/people/person/place_of_birth,New York City,5,Herman Rietzel>United States>American Revolution>New York City
James Maurice,/people/person/place_of_birth,New York City,5,James Maurice>United States House of Representatives>Delaware>New York City
Samuel Isham,/people/person/place_of_birth,New York City,1,"Samuel Isham>New York City, New York>The Bronx>New York City"
Richard Bernas,/people/person/place_of_birth,New York City,5,Richard Bernas>Karlheinz Stockhausen>Bonn>New York City
Josh Neufeld,/people/person/place_of_birth,New York City,5,Josh Neufeld>New York (state)>Arabic>New York City
Hannah Kahn,/people/person/place_of_birth,New York City,5,Hannah Kahn>New York (state)>Arabic>New York City
Sarah Platt Doremus,/people/person/place_of_birth,New York City,5,Sarah Platt Doremus>New Jersey>Delaware>New York City
Robert Hoe III,/people/person/place_of_birth,New York City,5,Robert Hoe III>London>David Bowie>New York City
Joe L. Brown,/people/person/place_of_birth,New York City,-3,Joe L. Brown>Major League Baseball>Chicago>New York City
Maarten van den Bergh,/people/person/place_of_birth,New York City,5,Maarten van den Bergh>Dutch (ethnic group)>Capitalism>New York City
Barbara Probst Solomon,/people/person/place_of_birth,New York City,3,Barbara Probst Solomon>José Luis Rodríguez Zapatero>Andalusia>New York City
Ben Yagoda,/people/person/place_of_birth,New York City,5,Ben Yagoda>Yale University>Connecticut>New York City
David H. Frisch,/people/person/place_of_birth,New York City,5,David H. Frisch>physicist>Archimedes>New York City
Robert Hessen,/people/person/place_of_birth,New York City,5,Robert Hessen>Columbia University>New York City
Charles Bazerman,/people/person/place_of_birth,New York City,-1,Charles Bazerman>United States>American Revolution>New York City
Harry Borden,/people/person/place_of_birth,New York City,-1,Harry Borden>Robin Williams>Chicago>New York City
Greg Rand,/people/person/place_of_birth,New York City,5,Greg Rand>New York (state)>Arabic>New York City
William Schaus,/people/person/place_of_birth,New York City,5,"William Schaus>The New York Times>Buffalo, New York>New York City"
Frederick S. Armitage,/people/person/place_of_birth,New York City,1,"Frederick S. Armitage>Seneca Falls, NY>American Revolution>New York City"
"Ely Jacques Kahn, Jr.",/people/person/place_of_birth,New York City,5,Ely Jacques Kahn Jr.>Columbia University>New York City
John Sterling Rockefeller,/people/person/place_of_birth,New York City,5,"John Sterling Rockefeller>Manhattan, New York City>East River>New York City"
Melissa Murphy,/people/person/place_of_birth,New York City,-5,Melissa Murphy>Brooklyn>Bridge>New York City
Caroline Beaumont Zachry,/people/person/place_of_birth,New York City,5,"Caroline Beaumont Zachry>Teachers College, Columbia University>Columbia University>New York City"
Gerrit Henry,/people/person/place_of_birth,New York City,5,Gerrit Henry>Columbia University>New York City
Ray Gilhooley,/people/person/place_of_birth,New York City,5,"Ray Gilhooley>New York City, New York>The Bronx>New York City"
Edward Auer,/people/person/place_of_birth,New York City,5,Edward Auer>United States>American Revolution>New York City
Jimmy Douglass,/people/person/place_of_birth,New York City,-5,Jimmy Douglass>New York (state)>Arabic>New York City
"Tito Puente, Jr.",/people/person/place_of_birth,New York City,5,"Tito Puente Jr.>New York City, New York>The Bronx>New York City"
Countee Cullen,/people/person/place_of_birth,New York City,-1,Countee Cullen>The Bronx>New York City
Carmine Nigro,/people/person/place_of_birth,New York City,5,Carmine Nigro>Bobby Fischer>Chicago>New York City
Jenny Burton,/people/person/place_of_birth,New York City,1,Jenny Burton>Chuck (TV series)>DC Comics>New York City
Adele Morales,/people/person/place_of_birth,New York City,5,Adele Morales>Arthur Miller>New York City
Matthew J. Merritt,/people/person/place_of_birth,New York City,5,"Matthew J. Merritt>Malba, Queens>East River>New York City"
Victor Hammer (businessman),/people/person/place_of_birth,New York City,5,Victor Hammer (businessman)>The Bronx>New York City
Jerome Levine,/people/person/place_of_birth,New York City,5,Jerome Levine>mathematician>Ibn al-Haytham>New York City
Joe Connelly (producer),/people/person/place_of_birth,New York City,5,Joe Connelly (producer)>television>Apple Inc.>New York City
David Goodman Croly,/people/person/place_of_birth,New York City,1,David Goodman Croly>United States>American Revolution>New York City
James G. Evans,/people/person/place_of_birth,New York City,5,James G. Evans>Washington's Birthday>Calvin Coolidge>New York City
David Buskin,/people/person/place_of_birth,New York City,5,David Buskin>Brown University>New York City
James McBratney,/people/person/place_of_birth,New York City,5,"James McBratney>New York City, New York>The Bronx>New York City"
Loyd A. Jones,/people/person/place_of_birth,New York City,-5,Loyd A. Jones>Physics>Ibn al-Haytham>New York City
Arthur R.G. Solmssen,/people/person/place_of_birth,New York City,1,Arthur R.G. Solmssen>Berlin>New York City
George Washington Vanderbilt III,/people/person/place_of_birth,New York City,5,"George Washington Vanderbilt III>Newport, Rhode Island>Dwight D. Eisenhower>New York City"
Harry Mathews,/people/person/place_of_birth,New York City,5,"Harry Mathews>Key West, Florida>City>New York City"
Joe Sobel,/people/person/place_of_birth,New York City,-5,Joe Sobel>New York (state)>Arabic>New York City
John Clarkson Jay,/people/person/place_of_birth,New York City,5,John Clarkson Jay>Columbia University>New York City
Edwin Grasse,/people/person/place_of_birth,New York City,5,"Edwin Grasse>The New York Times>Buffalo, New York>New York City"
