Entity;Score
Morris S. Miller;5
Max Ferguson (painter);5
John J. Dunnigan;5
Frederick Juengling;5
Reuel Denney;5
Thomas R. Ball;5
Vivian Liska;5
Eric Truvillion;5
Derek Milman;5
Mitchel B. Wallerstein;5
Silas Seandel;5
James A. Hamilton;5
James H. Torrens;5
Gene Calderazzo;3
Randy Klein;5
Lawrence Francis Kramer;-1
Robert Joseph Ward;3
Anna Alice Chapin;5
Otto Maass;5
John Punnett Peters;5
Anne Walker;5
David E. Mark;5
Marc Myers;5
Norwood Bowne;5
Samuel Colgate;5
Edward McGlynn;5
Herman Trunk;5
Steve Powers;5
Morgan Dix;5
Irwin Steingut;5
Melvyn Goldstein;-1
Sergio Cresto;1
David Walsh (writer);5
Paul A. Schneider;-1
Lawrence Lessing;-5
Charles McCabe;1
Judy Craig;1
Jay Irving;3
Leona Rostenberg;5
Kate Warne;1
Mike DiMeo;5
Tommy Mandel;5
Herman Rietzel;5
James Maurice;5
Samuel Isham;1
Richard Bernas;5
Josh Neufeld;5
Hannah Kahn;5
Sarah Platt Doremus;5
Robert Hoe III;5
Joe L. Brown;-3
Maarten van den Bergh;5
Barbara Probst Solomon;3
Ben Yagoda;5
David H. Frisch;5
Robert Hessen;5
Charles Bazerman;-1
Harry Borden;-1
Greg Rand;5
William Schaus;5
Frederick S. Armitage;1
Ely Jacques Kahn, Jr.;5
John Sterling Rockefeller;5
Melissa Murphy;-5
Caroline Beaumont Zachry;5
Gerrit Henry;5
Ray Gilhooley;5
Edward Auer;5
Jimmy Douglass;-5
Tito Puente, Jr.;5
Countee Cullen;-1
Carmine Nigro;5
Jenny Burton;1
Adele Morales;5
Matthew J. Merritt;5
Victor Hammer (businessman);5
Jerome Levine;5
Joe Connelly (producer);5
David Goodman Croly;1
James G. Evans;5
David Buskin;5
James McBratney;5
Loyd A. Jones;-5
Arthur R.G. Solmssen;1
George Washington Vanderbilt III;5
Harry Mathews;5
Joe Sobel;-5
John Clarkson Jay;5
Edwin Grasse;5
Paul Carter Harrison;5
George Waggner;5
Stephen Blauner;1
Stewart L. Woodford;5
Edward Weinfeld;5
Zack O'Malley Greenburg;5
William Starr Miller II;5
Frank Hotaling;5
Andrew Hussey Allen;5
Stanley Cooperman;5
Allan G. Brodie;5
Jock Gaynor;-5
Amanda Green;5
David Eisenbud;1
Edwin Lester;5
Ranee Lee;5
Betty Warren;-1
John Henry Haaren;5
Tanya Vidal;1
Abe Goldstein;5
Florence Nightingale Levy;5
John Clinton Gray;5
Bayard Clarke;5
Sondra Lipton;-1
Steve Kaplan;1
Edmund Milton Holland;5
Charles Henry Webb;1
Sara Berman (philanthropist);5
Sidney Jonas Budnick;5
Thomas F. Burchill;3
Harold Jacoby;5
Frederic Taber Cooper;5
Daniel Pagano;1
James Sibley Watson;-1
Jacob Mishler;5
Eric Chester;5
Anahid Ajemian;1
Mike Siegel;-5
Joan Mahoney;5
John Boylan (record producer);5
Lee Delano;3
Gregory McMahon;5
Sylvia Pressler;5
