"x-entity";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Jo Bonner (R)";"Jo Bonner>Libertarian Party (United States)>Anarchism";"Jo Bonner>Al-Qaeda>Antisemitism";"Jo Bonner>Mother Jones (magazine)>Sandinista National Liberation Front>Capitalism";"Jo Bonner>Alabama>Christianity";"Jo Bonner>American Civil Liberties Union>Communism";"Jo Bonner>Republican Party (United States)>Conservatism";"Jo Bonner>Alabama>American Revolution>Democracy";"Jo Bonner>Republican Party (United States)>Fascism";"Jo Bonner>Alabama>Racial segregation>Feminism";"Jo Bonner>Al-Qaeda>Islamophobia";"Jo Bonner>Mother Jones (magazine)>Trade union>Left-wing politics";"Jo Bonner>Mother Jones (magazine)>Trade union>Liberalism";"Jo Bonner>Al-Qaeda>Marxism";"Jo Bonner>Al-Qaeda>Nationalism";"Jo Bonner>American Civil Liberties Union>Neo-Nazism";"Jo Bonner>Zoe Lofgren>California>Protestantism";"Jo Bonner>Republican Party (United States)>Right-wing politics";"Jo Bonner>Mother Jones (magazine)>Trade union>Secularism";"Jo Bonner>Al-Qaeda>Socialism";"Jo Bonner>Mobile, Alabama>White supremacy"
"Martha Roby (R)";"Martha Roby>Republican Party (United States)>Classical liberalism>Anarchism";"Martha Roby>Alabama>Ku Klux Klan>Antisemitism";"Martha Roby>Alabama>American Revolution>Capitalism";"Martha Roby>Alabama>Christianity";"Martha Roby>Montgomery, Alabama>Martin Luther King Jr.>Communism";"Martha Roby>Republican Party (United States)>Conservatism";"Martha Roby>Alabama>American Revolution>Democracy";"Martha Roby>Republican Party (United States)>Fascism";"Martha Roby>Alabama>Racial segregation>Feminism";"Martha Roby>Alabama>Ku Klux Klan>Islamophobia";"Martha Roby>Alabama>World War II>Left-wing politics";"Martha Roby>Alabama>American Revolution>Liberalism";"Martha Roby>Alabama>Christianity>Marxism";"Martha Roby>Alabama>World War II>Nationalism";"Martha Roby>Alabama>Ku Klux Klan>Neo-Nazism";"Martha Roby>Alabama>African Americans>Protestantism";"Martha Roby>Republican Party (United States)>Right-wing politics";"Martha Roby>Alabama>American Revolution>Secularism";"Martha Roby>Alabama>Christianity>Socialism";"Martha Roby>Alabama>Mobile, Alabama>White supremacy"
"Mike Rogers (R)";"Michael Rogers>Michael S. Rogers>Chicago>Anarchism";"Michael Rogers>Michael Rogers (publisher)>The New York Times>Antisemitism";"Michael Rogers>F. Michael Rogers>Korean War>Capitalism";"Michael Rogers>Mike Rogers (Alabama politician)>Alabama>Christianity";"Michael Rogers>Mike Rogers (Michigan politician)>Federal Bureau of Investigation>Communism";"Michael Rogers>Mike Rogers (Alabama politician)>Republican Party (United States)>Conservatism";"Michael Rogers>Michael Rogers (cyclist)>Europe>Democracy";"Michael Rogers>Mike Rogers (Alabama politician)>Republican Party (United States)>Fascism";"Michael Rogers>Michael Rogers (publisher)>Buffalo, New York>Anarchism>Feminism";"Michael Rogers>Michael Rogers (publisher)>Blog>Islamophobia";"Michael Rogers>F. Michael Rogers>World War II>Left-wing politics";"Michael Rogers>Michael Rogers (publisher)>Buffalo, New York>Anarchism>Liberalism";"Michael Rogers>Michael Rogers (publisher)>Buffalo, New York>Anarchism>Marxism";"Michael Rogers>F. Michael Rogers>World War II>Nationalism";"Michael Rogers>Michael Rogers (publisher)>The New York Times>Antisemitism>Neo-Nazism";"Michael Rogers>Mike Rogers (producer)>California>Protestantism";"Michael Rogers>Mike Rogers (Alabama politician)>Republican Party (United States)>Right-wing politics";"Michael Rogers>Mike Rogers (Alabama politician)>United Kingdom>Secularism";"Michael Rogers>Mike Rogers (Michigan politician)>Federal Bureau of Investigation>Socialism";"Michael Rogers>Mike Rogers (Michigan politician)>Federal Bureau of Investigation>White supremacy"
"Robert Aderholt (R)";"Robert Aderholt>Barry Goldwater>Anarchism";"Robert Aderholt>Alabama>Ku Klux Klan>Antisemitism";"Robert Aderholt>Alabama>American Revolution>Capitalism";"Robert Aderholt>Alabama>Christianity";"Robert Aderholt>Joseph Stiglitz>Communism";"Robert Aderholt>Barry Goldwater>Conservatism";"Robert Aderholt>Alabama>American Revolution>Democracy";"Robert Aderholt>Republican Party (United States)>Fascism";"Robert Aderholt>Alabama>Racial segregation>Feminism";"Robert Aderholt>Alabama>Ku Klux Klan>Islamophobia";"Robert Aderholt>Alabama>World War II>Left-wing politics";"Robert Aderholt>Alabama>American Revolution>Liberalism";"Robert Aderholt>Alabama>Christianity>Marxism";"Robert Aderholt>Alabama>World War II>Nationalism";"Robert Aderholt>American Family Association>Neo-Nazism";"Robert Aderholt>Alabama>African Americans>Protestantism";"Robert Aderholt>Republican Party (United States)>Right-wing politics";"Robert Aderholt>Alabama>American Revolution>Secularism";"Robert Aderholt>Alabama>Christianity>Socialism";"Robert Aderholt>Alabama>Mobile, Alabama>White supremacy"
"Mo Brooks (R)";"Mo Brooks>Madison County, Alabama>Barry Goldwater>Anarchism";"Mo Brooks>The New York Times>Antisemitism";"Mo Brooks>Afghanistan>Capitalism";"Mo Brooks>Alabama>Christianity";"Mo Brooks>Afghanistan>Communism";"Mo Brooks>Republican Party (United States)>Conservatism";"Mo Brooks>Political science>Democracy";"Mo Brooks>Afghanistan>Fascism";"Mo Brooks>Alabama>Racial segregation>Feminism";"Mo Brooks>Alabama>Ku Klux Klan>Islamophobia";"Mo Brooks>Alabama>World War II>Left-wing politics";"Mo Brooks>Alabama>American Revolution>Liberalism";"Mo Brooks>Alabama>Christianity>Marxism";"Mo Brooks>Afghanistan>Nationalism";"Mo Brooks>Alabama>Ku Klux Klan>Neo-Nazism";"Mo Brooks>Alabama>African Americans>Protestantism";"Mo Brooks>Republican Party (United States)>Right-wing politics";"Mo Brooks>Alabama>American Revolution>Secularism";"Mo Brooks>Alabama>Christianity>Socialism";"Mo Brooks>Afghanistan>White supremacy"
"Spencer Bachus (R)";"Spencer Bachus>Libertarian Party (United States)>Anarchism";"Spencer Bachus>ThinkProgress>Antisemitism";"Spencer Bachus>ThinkProgress>Soviet Union>Capitalism";"Spencer Bachus>Alabama>Christianity";"Spencer Bachus>ThinkProgress>Marshall Plan>Communism";"Spencer Bachus>Republican Party (United States)>Conservatism";"Spencer Bachus>Donald Trump>Europe>Democracy";"Spencer Bachus>Republican Party (United States)>Fascism";"Spencer Bachus>Donald Trump>Political correctness>Feminism";"Spencer Bachus>Donald Trump>Political correctness>Islamophobia";"Spencer Bachus>Donald Trump>Media bias>Left-wing politics";"Spencer Bachus>Christine O'Donnell>Liberalism";"Spencer Bachus>ThinkProgress>Soviet Union>Marxism";"Spencer Bachus>Donald Trump>Afghanistan>Nationalism";"Spencer Bachus>Donald Trump>David Duke>Neo-Nazism";"Spencer Bachus>Donald Trump>Evangelicalism>Protestantism";"Spencer Bachus>Republican Party (United States)>Right-wing politics";"Spencer Bachus>Donald Trump>Europe>Secularism";"Spencer Bachus>Donald Trump>North Korea>Socialism";"Spencer Bachus>Vietnam War>White supremacy"
"Terri Sewell (D)";"Terri Sewell>Democratic Party (United States)>Thomas Jefferson>Anarchism";"Terri Sewell>Alabama>Ku Klux Klan>Antisemitism";"Terri Sewell>Alabama>American Revolution>Capitalism";"Terri Sewell>Alabama>Christianity";"Terri Sewell>Huntsville, Alabama>Korean War>Communism";"Terri Sewell>Alabama>Republican Party (United States)>Conservatism";"Terri Sewell>Alabama>American Revolution>Democracy";"Terri Sewell>Alabama>Republican Party (United States)>Fascism";"Terri Sewell>Alabama>Racial segregation>Feminism";"Terri Sewell>Alabama>Ku Klux Klan>Islamophobia";"Terri Sewell>Alabama>World War II>Left-wing politics";"Terri Sewell>Alabama>American Revolution>Liberalism";"Terri Sewell>Alabama>Christianity>Marxism";"Terri Sewell>Alabama>World War II>Nationalism";"Terri Sewell>Alabama>Ku Klux Klan>Neo-Nazism";"Terri Sewell>Alabama>African Americans>Protestantism";"Terri Sewell>Alabama>Republican Party (United States)>Right-wing politics";"Terri Sewell>Alabama>American Revolution>Secularism";"Terri Sewell>Alabama>Christianity>Socialism";"Terri Sewell>Jefferson County, Alabama>White supremacy"
"Paul Gosar (R)";"Paul Gosar>Arizona>Barry Goldwater>Anarchism";"Paul Gosar>The New York Times>Antisemitism";"Paul Gosar>Arizona>Valentine's Day>Capitalism";"Paul Gosar>Arizona>Europe>Christianity";"Paul Gosar>Arizona>Europe>Communism";"Paul Gosar>Republican Party (United States)>Conservatism";"Paul Gosar>Arizona>Commonwealth>Democracy";"Paul Gosar>Republican Party (United States)>Fascism";"Paul Gosar>Rock Springs, Wyoming>Marriage>Feminism";"Paul Gosar>Arizona>Muslim>Islamophobia";"Paul Gosar>Arizona>Ronald Reagan>Left-wing politics";"Paul Gosar>Arizona>Supreme Court of the United States>Liberalism";"Paul Gosar>Conspiracy theory>Marxism";"Paul Gosar>Arizona>Abraham Lincoln>Nationalism";"Paul Gosar>Arizona>American Civil Liberties Union>Neo-Nazism";"Paul Gosar>Arizona>California>Protestantism";"Paul Gosar>Republican Party (United States)>Right-wing politics";"Paul Gosar>Arizona>Europe>Secularism";"Paul Gosar>Republican Party (United States)>Classical liberalism>Socialism";"Paul Gosar>Arizona>Abraham Lincoln>White supremacy"
"Trent Franks (R)";"Trent Franks>Libertarian Party (United States)>Anarchism";"Trent Franks>Keith Ellison>Antisemitism";"Trent Franks>Arizona>Valentine's Day>Capitalism";"Trent Franks>Arizona>Europe>Christianity";"Trent Franks>Arizona>Europe>Communism";"Trent Franks>Republican Party (United States)>Conservatism";"Trent Franks>Arizona>Commonwealth>Democracy";"Trent Franks>Republican Party (United States)>Fascism";"Trent Franks>Slavery>Feminism";"Trent Franks>Slavery>Islamophobia";"Trent Franks>Arizona>Ronald Reagan>Left-wing politics";"Trent Franks>Arizona>Supreme Court of the United States>Liberalism";"Trent Franks>Arizona>Mexican Revolution>Marxism";"Trent Franks>Arizona>Abraham Lincoln>Nationalism";"Trent Franks>Arizona>American Civil Liberties Union>Neo-Nazism";"Trent Franks>Arizona>California>Protestantism";"Trent Franks>The Washington Times>Right-wing politics";"Trent Franks>Arizona>Europe>Secularism";"Trent Franks>Colorado>History of The Church of Jesus Christ of Latter-day Saints>Socialism";"Trent Franks>Slavery>White supremacy"
"Ben Quayle (R)";"Ben Quayle>Arizona>Barry Goldwater>Anarchism";"Ben Quayle>Arizona>Steven Spielberg>Antisemitism";"Ben Quayle>Arizona>Valentine's Day>Capitalism";"Ben Quayle>Fort Wayne, Indiana>Christianity";"Ben Quayle>Arizona>Europe>Communism";"Ben Quayle>Republican Party (United States)>Conservatism";"Ben Quayle>Arizona>Commonwealth>Democracy";"Ben Quayle>Republican Party (United States)>Fascism";"Ben Quayle>Dan Quayle>Delta Kappa Epsilon>Feminism";"Ben Quayle>Arizona>Muslim>Islamophobia";"Ben Quayle>Arizona>Ronald Reagan>Left-wing politics";"Ben Quayle>Arizona>Supreme Court of the United States>Liberalism";"Ben Quayle>Arizona>Mexican Revolution>Marxism";"Ben Quayle>Arizona>Abraham Lincoln>Nationalism";"Ben Quayle>Arizona>American Civil Liberties Union>Neo-Nazism";"Ben Quayle>Arizona>California>Protestantism";"Ben Quayle>Republican Party (United States)>Right-wing politics";"Ben Quayle>Arizona>Europe>Secularism";"Ben Quayle>Dan Quayle>Federal Bureau of Investigation>Socialism";"Ben Quayle>Arizona>Abraham Lincoln>White supremacy"
"Ed Pastor (D)";"Ed Pastor>Libertarian Party (United States)>Anarchism";"Ed Pastor>Arizona>Steven Spielberg>Antisemitism";"Ed Pastor>Arizona>Valentine's Day>Capitalism";"Ed Pastor>Arizona>Europe>Christianity";"Ed Pastor>Arizona>Europe>Communism";"Ed Pastor>Trent Franks>Conservatism";"Ed Pastor>Arizona>Commonwealth>Democracy";"Ed Pastor>Arizona>Republican Party (United States)>Fascism";"Ed Pastor>Trent Franks>Slavery>Feminism";"Ed Pastor>Arizona>Muslim>Islamophobia";"Ed Pastor>Arizona>Ronald Reagan>Left-wing politics";"Ed Pastor>Arizona>Supreme Court of the United States>Liberalism";"Ed Pastor>Arizona>Mexican Revolution>Marxism";"Ed Pastor>Arizona>Abraham Lincoln>Nationalism";"Ed Pastor>Arizona>American Civil Liberties Union>Neo-Nazism";"Ed Pastor>Arizona>California>Protestantism";"Ed Pastor>Arizona>Republican Party (United States)>Right-wing politics";"Ed Pastor>Arizona>Europe>Secularism";"Ed Pastor>United States>Industrial Revolution>Socialism";"Ed Pastor>Arizona>Abraham Lincoln>White supremacy"
"David Schweikert (R)";"David Schweikert>Arizona>Barry Goldwater>Anarchism";"David Schweikert>Arizona>Steven Spielberg>Antisemitism";"David Schweikert>Arizona>Valentine's Day>Capitalism";"David Schweikert>Arizona>Europe>Christianity";"David Schweikert>Arizona>Europe>Communism";"David Schweikert>Republican Party (United States)>Conservatism";"David Schweikert>Myanmar>Democracy";"David Schweikert>Republican Party (United States)>Fascism";"David Schweikert>Maricopa County, Arizona>Marriage>Feminism";"David Schweikert>Arizona>Muslim>Islamophobia";"David Schweikert>J. D. Hayworth>Left-wing politics";"David Schweikert>Arizona>Supreme Court of the United States>Liberalism";"David Schweikert>Arizona>Mexican Revolution>Marxism";"David Schweikert>Arizona>Abraham Lincoln>Nationalism";"David Schweikert>Arizona>American Civil Liberties Union>Neo-Nazism";"David Schweikert>California>Protestantism";"David Schweikert>Republican Party (United States)>Right-wing politics";"David Schweikert>Arizona>Europe>Secularism";"David Schweikert>Los Angeles>Christianity>Socialism";"David Schweikert>Arizona>Abraham Lincoln>White supremacy"
"Jeff Flake (R)";"Jeff Flake>Libertarian Party (United States)>Anarchism";"Jeff Flake>The New York Times>Antisemitism";"Jeff Flake>Arizona>Valentine's Day>Capitalism";"Jeff Flake>The Church of Jesus Christ of Latter-day Saints>Christianity";"Jeff Flake>American Civil Liberties Union>Communism";"Jeff Flake>Supreme Court of the United States>Conservatism";"Jeff Flake>Arizona>Commonwealth>Democracy";"Jeff Flake>Republican Party (United States)>Fascism";"Jeff Flake>John McCain>Pat Robertson>Feminism";"Jeff Flake>Muslim>Islamophobia";"Jeff Flake>J. D. Hayworth>Left-wing politics";"Jeff Flake>Supreme Court of the United States>Liberalism";"Jeff Flake>Arizona>Mexican Revolution>Marxism";"Jeff Flake>Arizona>Abraham Lincoln>Nationalism";"Jeff Flake>American Civil Liberties Union>Neo-Nazism";"Jeff Flake>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Jeff Flake>Republican Party (United States)>Right-wing politics";"Jeff Flake>Arizona>Europe>Secularism";"Jeff Flake>John McCain>Contras>Socialism";"Jeff Flake>Arizona>Abraham Lincoln>White supremacy"
