;New York City
Morris S. Miller;0.044652482245675196
Max Ferguson (painter);0.03015863695860649
John J. Dunnigan;0.028280629245236544
Frederick Juengling;0.04237485074418992
Reuel Denney;0.044652482245675196
Thomas R. Ball;0.04268677643526926
Vivian Liska;0.027793725149972776
Eric Truvillion;0.03233314319694974
Derek Milman;0.034785823082617226
Mitchel B. Wallerstein;0.035285221476652626
Silas Seandel;0.029398522175789147
James A. Hamilton;0.02921206450219065
James H. Torrens;0.04698847094075295
Gene Calderazzo;0.027793725149972776
Randy Klein;0.03176237054869113
Lawrence Francis Kramer;0.02921206450219065
Robert Joseph Ward;0.03364156286159448
Anna Alice Chapin;0.03295558177897426
Otto Maass;0.031135434049044963
John Punnett Peters;0.027793725149972776
Anne Walker;0.0435709906409942
David E. Mark;0.0435709906409942
Marc Myers;0.0435709906409942
Norwood Bowne;0.03354385105371519
Samuel Colgate;0.028280629245236544
Edward McGlynn;0.027793725149972776
Herman Trunk;0.03372046296481401
Steve Powers;0.03184506878885072
Morgan Dix;0.0435709906409942
Irwin Steingut;0.03429634465131026
Melvyn Goldstein;0.029938171301121412
Sergio Cresto;0.03143379330325801
David Walsh (writer);0.03251019110147342
Paul A. Schneider;0.029813378723496108
Lawrence Lessing;0.044652482245675196
Charles McCabe;0.02921206450219065
Judy Craig;0.027793725149972776
Jay Irving;0.0435709906409942
Leona Rostenberg;0.03221613089492953
Kate Warne;0.04069522640556214
Mike DiMeo;0.04641121864399221
Tommy Mandel;0.028280629245236544
Herman Rietzel;0.027793725149972776
James Maurice;0.030412600110125722
Samuel Isham;0.03251019110147342
Richard Bernas;0.03473530284678741
Josh Neufeld;0.028280629245236544
Hannah Kahn;0.028280629245236544
Sarah Platt Doremus;0.030232767590339993
Robert Hoe III;0.02937181095104226
Joe L. Brown;0.028496491586655223
Maarten van den Bergh;0.03622398191674844
Barbara Probst Solomon;0.03489016022616145
Ben Yagoda;0.030031283362211607
David H. Frisch;0.034142248710023824
Robert Hessen;0.0435709906409942
Charles Bazerman;0.027793725149972776
Harry Borden;0.030671114495928596
Greg Rand;0.028280629245236544
William Schaus;0.02921206450219065
Frederick S. Armitage;0.0418884910672933
Ely Jacques Kahn, Jr.;0.0435709906409942
John Sterling Rockefeller;0.03762395523015131
Melissa Murphy;0.03057775918765671
Caroline Beaumont Zachry;0.03367959356076459
Gerrit Henry;0.0435709906409942
Ray Gilhooley;0.03251019110147342
Edward Auer;0.027793725149972776
Jimmy Douglass;0.028280629245236544
Tito Puente, Jr.;0.03251019110147342
Countee Cullen;0.04466379112700657
Carmine Nigro;0.03138416776525622
Jenny Burton;0.03393498401566911
Adele Morales;0.04820056224629239
Matthew J. Merritt;0.04301703110408626
Victor Hammer (businessman);0.04466379112700657
Jerome Levine;0.03389455899563745
Joe Connelly (producer);0.030434946506422075
David Goodman Croly;0.027793725149972776
James G. Evans;0.035609952409235306
David Buskin;0.04584852160574038
James McBratney;0.03251019110147342
Loyd A. Jones;0.03245808582464905
Arthur R.G. Solmssen;0.04237485074418992
George Washington Vanderbilt III;0.032715561164140636
Harry Mathews;0.030393473052492136
Joe Sobel;0.028280629245236544
John Clarkson Jay;0.0435709906409942
Edwin Grasse;0.02921206450219065
Paul Carter Harrison;0.027793725149972776
George Waggner;0.040011021707214676
Stephen Blauner;0.030942257695435762
Stewart L. Woodford;0.0435709906409942
Edward Weinfeld;0.03364156286159448
Zack O'Malley Greenburg;0.032442231620301465
William Starr Miller II;0.02921206450219065
Frank Hotaling;0.04353275046183556
Andrew Hussey Allen;0.027793725149972776
Stanley Cooperman;0.031386977435634136
Allan G. Brodie;0.027793725149972776
Jock Gaynor;0.040011021707214676
Amanda Green;0.04264215733410641
David Eisenbud;0.028280629245236544
Edwin Lester;0.029883373081612107
Ranee Lee;0.03057775918765671
Betty Warren;0.03148000115428879
John Henry Haaren;0.0435709906409942
Tanya Vidal;0.029895067920641515
Abe Goldstein;0.03221613089492953
Florence Nightingale Levy;0.03558746905212938
John Clinton Gray;0.02921206450219065
Bayard Clarke;0.02921206450219065
Sondra Lipton;0.03695801413301333
Steve Kaplan;0.044156456734230666
Edmund Milton Holland;0.027793725149972776
Charles Henry Webb;0.03221613089492953
Sara Berman (philanthropist);0.030778989276080804
Sidney Jonas Budnick;0.034852432370121283
Thomas F. Burchill;0.02921206450219065
Harold Jacoby;0.0435709906409942
Frederic Taber Cooper;0.0435709906409942
Daniel Pagano;0.04466379112700657
James Sibley Watson;0.0341397069153148
Jacob Mishler;0.04511264536407617
Eric Chester;0.027793725149972776
Anahid Ajemian;0.0435709906409942
Mike Siegel;0.03337397354633827
Joan Mahoney;0.04329132255107612
John Boylan (record producer);0.028280629245236544
Lee Delano;0.033520014758003286
Gregory McMahon;0.030412600110125722
Sylvia Pressler;0.030232767590339993
