;New York City
Morris S. Miller;0.21039026542224662
Max Ferguson (painter);0.3195147481010723
John J. Dunnigan;0.2113722461734879
Frederick Juengling;0.2008092835071436
Reuel Denney;0.13257920369707207
Thomas R. Ball;0.20178823762832324
Vivian Liska;0.08311550023222566
Eric Truvillion;0.09317312985416265
Derek Milman;0.1864667105018317
Mitchel B. Wallerstein;0.15556113254127468
Silas Seandel;0.12988138594889742
James A. Hamilton;0.14726226951213356
James H. Torrens;0.16480144225865773
Gene Calderazzo;0.14251829798636778
Randy Klein;0.13498156261249628
Lawrence Francis Kramer;0.10091761876742592
Robert Joseph Ward;0.2882266159448541
Anna Alice Chapin;0.16270326540437166
Otto Maass;0.13424644803513672
John Punnett Peters;0.1831105301895666
Anne Walker;0.14217395897018673
David E. Mark;0.211028318775829
Marc Myers;0.1508194268284157
Norwood Bowne;0.2905694947301685
Samuel Colgate;0.15249411612186894
Edward McGlynn;0.17421166027612084
Herman Trunk;0.14467733195861285
Steve Powers;0.2201874831907979
Morgan Dix;0.20160735456528184
Irwin Steingut;0.16105340167163562
Melvyn Goldstein;0.07826411677042178
Sergio Cresto;0.08065026940074416
David Walsh (writer);0.07619555377636246
Paul A. Schneider;0.0862063037455307
Lawrence Lessing;0.08536792983684208
Charles McCabe;0.09057227607486572
Judy Craig;0.0733675978030302
Jay Irving;0.1276748456623511
Leona Rostenberg;0.10626739932245666
Kate Warne;0.0985258877463745
Mike DiMeo;0.14288606767174825
Tommy Mandel;0.06438812318214887
Herman Rietzel;0.17693199111500127
James Maurice;0.2158425910651349
Samuel Isham;0.17199832997473574
Richard Bernas;0.1367705977807911
Josh Neufeld;0.16238961973154167
Hannah Kahn;0.09709631093795279
Sarah Platt Doremus;0.21283045743787493
Robert Hoe III;0.2110361240047739
Joe L. Brown;0.10751650204748542
Maarten van den Bergh;0.08239609963140787
Barbara Probst Solomon;0.17788279877949853
Ben Yagoda;0.18126686916017246
David H. Frisch;0.10310783539776194
Robert Hessen;0.13534114522721857
Charles Bazerman;0.09808030671791482
Harry Borden;0.08699809318736476
Greg Rand;0.11916206957786432
William Schaus;0.17557250756983345
Frederick S. Armitage;0.11780151116186192
Ely Jacques Kahn, Jr.;0.20781397352659128
John Sterling Rockefeller;0.11374726111139111
Melissa Murphy;0.11738438567079357
Caroline Beaumont Zachry;0.15062644306290263
Gerrit Henry;0.22119734654915624
Ray Gilhooley;0.27885839069258045
Edward Auer;0.11097112337588258
Jimmy Douglass;0.11823356422075133
Tito Puente, Jr.;0.10865221007861406
Countee Cullen;0.14756842471803358
Carmine Nigro;0.08649269116161745
Jenny Burton;0.09800051161432508
Adele Morales;0.16630971510238096
Matthew J. Merritt;0.2745304017029765
Victor Hammer (businessman);0.19343775274164537
Jerome Levine;0.10697172464521783
Joe Connelly (producer);0.1502026364599955
David Goodman Croly;0.186987170772885
James G. Evans;0.15693714817425133
David Buskin;0.09819855416582146
James McBratney;0.10630002236453734
Loyd A. Jones;0.08467470205387967
Arthur R.G. Solmssen;0.1103049432358923
George Washington Vanderbilt III;0.09769659111112297
Harry Mathews;0.1230737746668647
Joe Sobel;0.15305623338609414
John Clarkson Jay;0.19014776603147704
Edwin Grasse;0.16926765777973643
Paul Carter Harrison;0.1497229096435193
George Waggner;0.08215101652454145
Stephen Blauner;0.1269126049751441
Stewart L. Woodford;0.23343373970124515
Edward Weinfeld;0.18674354447343136
Zack O'Malley Greenburg;0.1331731082650262
William Starr Miller II;0.19913408115102796
Frank Hotaling;0.11137339297755111
Andrew Hussey Allen;0.15474317091940604
Stanley Cooperman;0.17673108490188705
Allan G. Brodie;0.08830144401328224
Jock Gaynor;0.08685107984182422
Amanda Green;0.23867721275002735
David Eisenbud;0.12598832913865565
Edwin Lester;0.14550248350146286
Ranee Lee;0.10003062106979316
Betty Warren;0.06627440118500616
John Henry Haaren;0.1566343159060552
Tanya Vidal;0.11131439618295552
Abe Goldstein;0.1531861069661767
Florence Nightingale Levy;0.20468326810897042
John Clinton Gray;0.23808876594405531
Bayard Clarke;0.21175447746482495
Sondra Lipton;0.205516918086728
Steve Kaplan;0.11970737349203375
Edmund Milton Holland;0.1502208224961723
Charles Henry Webb;0.12043815668420296
Sara Berman (philanthropist);0.1549261978246483
Sidney Jonas Budnick;0.1291418859167205
Thomas F. Burchill;0.3036521675491174
Harold Jacoby;0.11170808232508447
Frederic Taber Cooper;0.2339911179251476
Daniel Pagano;0.14775215949354178
James Sibley Watson;0.08942571808725938
Jacob Mishler;0.16204046995885538
Eric Chester;0.1278671474214732
Anahid Ajemian;0.12627153480690764
Mike Siegel;0.09216411080831025
Joan Mahoney;0.13440204053286925
John Boylan (record producer);0.10848882957248716
Lee Delano;0.10400307853734872
Gregory McMahon;0.18224529289293298
Sylvia Pressler;0.17735971680551998
