x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Frederica Wilson (D);0.03165265260660166;0.04436971252537712;0.03360522280349339;0.02986156298951317;0.032401561231521644;0.03073557310453143;0.03414009176279465;0.03139441250504868;0.04130025131709873;0.03782833250094481;0.034846108338046786;0.03190240393574255;0.032994287316386935;0.03437945015206972;0.035863865332710465;0.029725375829187602;0.03191469715854602;0.03295056421530958;0.0331400318062458;0.03326421697329518
Ileana Ros-Lehtinen (R);0.04000000680914087;0.05426733827692768;0.05227609048743615;0.02986156298951317;0.05018734079724272;0.045945365613438156;0.05030615528714995;0.05222503484998919;0.047400460120954196;0.059253837017882977;0.035325696715056816;0.03918933743074713;0.05014557802816137;0.05189391659941946;0.03746235335250784;0.029725375829187602;0.04863123223184865;0.0452298746574884;0.0331400318062458;0.05896633929089982
Ted Deutch (D);0.03738312552586522;0.032254925136601074;0.03360522280349339;0.02986156298951317;0.03763821882726281;0.03073557310453143;0.03414009176279465;0.03139441250504868;0.033178271718226675;0.03782833250094481;0.050691701547756624;0.04179598833795726;0.032994287316386935;0.03437945015206972;0.035162534357475676;0.029725375829187602;0.03191469715854602;0.04008999558713293;0.0331400318062458;0.03326421697329518
Debbie Wasserman Schultz (D);0.03821341981377892;0.032254925136601074;0.03360522280349339;0.04401940038489159;0.03625997549188863;0.05676484796817081;0.05129137440679194;0.03139441250504868;0.04029646624276551;0.03782833250094481;0.04522521068523358;0.046866676275366954;0.04647524061746721;0.045239912434033705;0.0324759971350311;0.05636101368471552;0.046138932264264416;0.049164169809941684;0.04476859031092124;0.03326421697329518
Allen West (politician) (R);0.05264765218596639;0.032254925136601074;0.05255605363430073;0.02986156298951317;0.05290979164049799;0.053176094255911896;0.05483052512581834;0.055179553465924056;0.05073870073267826;0.054369688326535874;0.05572235779509954;0.05518166969436084;0.052015548807383565;0.05274975467108576;0.03804194541601567;0.029725375829187602;0.05397606862263074;0.05839465991460296;0.052295984919398415;0.05199221103350774
Alcee Hastings (D);0.03323429189302805;0.032254925136601074;0.05227609048743615;0.02986156298951317;0.05018734079724272;0.04768110205798053;0.03414009176279465;0.05222503484998919;0.03656521208813599;0.03782833250094481;0.06351480267107452;0.04928733814206851;0.032994287316386935;0.03437945015206972;0.035162534357475676;0.029725375829187602;0.04863123223184865;0.034313078026814124;0.0331400318062458;0.054595927990861076
Sandy Adams (R);0.03927912466347767;0.032254925136601074;0.03360522280349339;0.0443212663848934;0.038040084048502995;0.045945365613438156;0.03414009176279465;0.047433396065554;0.03820667341213609;0.03782833250094481;0.03932481452208319;0.03920042706831535;0.032994287316386935;0.03437945015206972;0.04335051176989739;0.029725375829187602;0.04863123223184865;0.04079498005929621;0.0331400318062458;0.03326421697329518
David Rivera (R);0.035221714387260045;0.0366619813774041;0.032949116308115346;0.03215086786227818;0.03422217397081428;0.045945365613438156;0.05129137440679194;0.047433396065554;0.03538839503001625;0.0374795314416066;0.032806628145487966;0.0391764307129414;0.03967609285620288;0.04010184562232051;0.036816531648609124;0.03496618908559025;0.04863123223184865;0.036452993922474114;0.035603381384843424;0.041333316667301064
Jack Kingston (R);0.042494058998754844;0.03449097065967422;0.04940394064470818;0.029906323395348624;0.05018734079724272;0.045945365613438156;0.03666973319668611;0.05222503484998919;0.04124166510602549;0.04057053542452349;0.04454100217403121;0.033484808584292;0.03884815206347093;0.03890698325249269;0.041681291478813935;0.03704787073996313;0.04863123223184865;0.034641413015883464;0.03682242793073035;0.054595927990861076
Sanford Bishop (D);0.03637029766662838;0.04436971252537712;0.03350500952288749;0.04401940038489159;0.03263086520292528;0.03078299409594094;0.033355186230620074;0.031443889929289905;0.03516741599334364;0.03932795323575675;0.033668833736186565;0.033484808584292;0.030784373637044338;0.037127384881853465;0.038435142616337147;0.032109061854582226;0.055767063146521835;0.04594287159079221;0.03568606909009571;0.05183569659586778
