;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Jeff Sessions (R);0.11586424728588313;0.11560023072330924;0.09587723261273151;0.0893382432918513;0.09952944565512403;0.1097665046965656;0.0996052260257433;0.11401959177293751;0.09226861133592434;0.09680865746296688;0.12573540488900042;0.11619771164177076;0.08342859128953892;0.11016000251358932;0.15115936134565994;0.10508883692637028;0.12508836837737555;0.0907026931652298;0.11830199109771285;0.11455860768828122
Richard Shelby (R);0.09845656248041013;0.08886278112125887;0.08210480054347821;0.07110360280225987;0.09172003683095747;0.1111496167262539;0.0902791827486681;0.09597207404434599;0.07127958915792801;0.08451378502311527;0.09979387998097156;0.09817473655414688;0.08045418258011894;0.0826165931620934;0.1305728019599293;0.08126994607234024;0.09968820771939646;0.07909964275879003;0.10303790311320624;0.09102311855461825
Mark Begich (D);0.0921640440973372;0.09240540304264823;0.09080976707188887;0.06969332371827278;0.07436224204913733;0.08614594902526129;0.0856005144169875;0.09421520129673291;0.06719767339031056;0.0774019544867543;0.09195347470900758;0.09146358487688605;0.07664275761362957;0.09009132155265018;0.12339320129680764;0.08282252100083316;0.09004803772752422;0.07495981242359305;0.10093077577268206;0.0793006111296306
Lisa Murkowski (R);0.1046213116195947;0.0874946629105442;0.08642164784183068;0.07244130761601598;0.08742826604125727;0.12582559003312038;0.1005817184638006;0.09922294150135837;0.09396325623257747;0.08830417046596073;0.11326909859586945;0.10788657800554843;0.07502212318495713;0.09707317885156172;0.13035671689740086;0.08638359505257369;0.10998415840353495;0.08218032336526791;0.11500857646092351;0.08208514004342213
Jon Kyl (R);0.11706338203614014;0.1012961716012659;0.08823335504616486;0.08235498868214251;0.09913168411230204;0.1294921649948241;0.10775883819918146;0.11107838113952868;0.08945285947282997;0.08723849348721932;0.12352270828190895;0.11417859259153483;0.07917996193855832;0.1046757152289104;0.14646389333589907;0.09370453318652042;0.12115720877942157;0.0866704235348465;0.13347387887779388;0.10511646020403592
John McCain (R);0.1290115804219691;0.11420489032252198;0.10250863318740269;0.09622834260671537;0.11466664518977872;0.14424077239702165;0.13008446509620594;0.13654420663933922;0.0897410817916253;0.08873676042980132;0.1391277469325573;0.1373231227680456;0.08328778762094495;0.13003380624163377;0.17944397491719913;0.1165358792425013;0.1268720258906457;0.08667316640486235;0.14040977776895294;0.11355341340298963
Mark Pryor (D);0.10888071735664417;0.09745472040680928;0.08768622839777235;0.0743733470868251;0.09167772918469988;0.10614774886820699;0.10137655353922256;0.09823539615414562;0.07322841832120208;0.0777949082932038;0.09886984325719081;0.09617889241250341;0.06982099811182876;0.08948603192699853;0.13080316101594594;0.09014897048012822;0.08656522209433265;0.07034103027481892;0.1192965736639244;0.0848179215125133
John Boozman (R);0.11174081537558453;0.10117201032111481;0.09737844693091481;0.07953811282178319;0.09506781213386724;0.09467718002234515;0.10476405244358716;0.10181955123211729;0.09148962537222283;0.09501441113703422;0.10767964972165309;0.11155504440261862;0.07487272028887713;0.09766499951129842;0.139407198421415;0.09617065910921646;0.10335196263260064;0.0881947928258709;0.11639582914536059;0.10820684138002028
Dianne Feinstein (D);0.10169977494823479;0.10589424216633214;0.09554063381997671;0.07524085292787343;0.09912451760662962;0.10577791366112088;0.09603071177712702;0.11271353279536282;0.08074223624869896;0.07576171482480809;0.10238591358887317;0.10232885859952721;0.0746452057386297;0.1113968088540872;0.1502907403118143;0.08626447292316887;0.09691675560848287;0.07379307645783315;0.11393936993305318;0.10147795579109292
Barbara Boxer (D);0.10383703389208421;0.0950949524319891;0.09255569503816964;0.0759739680561603;0.0949253311835865;0.10648215821561008;0.1286757683382792;0.10945736449249686;0.09208079825215301;0.09282277459549163;0.11527977000692217;0.11306635932091866;0.07521464959819735;0.10350160831258738;0.1517275966014653;0.09091287592049163;0.11478089942092398;0.10619459136151307;0.12268997067702764;0.0959452308037952
Mark Udall (D);0.08416844658569594;0.08855276119720087;0.08457115886640834;0.06877125415389941;0.08248357743040621;0.08592934265815552;0.09262138934601732;0.09652633307049141;0.07412738028048754;0.08568423836277939;0.09642193959087936;0.09173778675686386;0.0720166752130672;0.08922998216101001;0.12814570339540582;0.0759134907539755;0.09982858905213408;0.08034090870614355;0.09757690627961649;0.09243978876084985
Michael Bennet (D);0.09815921833361813;0.1067972212920268;0.09256038067748387;0.07668196165366806;0.09491324101399995;0.10149254923881976;0.08699835440585632;0.10298368097526803;0.07130115527028613;0.07828408708696888;0.11229000387709345;0.10414252457557768;0.07641417815685149;0.09397451579544364;0.12336397668351015;0.09101358446784104;0.09208750805967247;0.07531997900309621;0.11747682094488304;0.10308376763423008
Richard Blumenthal (D);0.11865403800242696;0.09952533625232901;0.1054656346445605;0.0819084001171071;0.10409723793267459;0.09364932262575616;0.10067662131066402;0.1177795506001589;0.08109192060278095;0.08329140100489951;0.10352826275430502;0.10858944080886967;0.08239677606631055;0.09939472046470964;0.14409719621337935;0.09027671694638435;0.10082673609515103;0.0880345327464995;0.12215166590837942;0.10724598817904094
Tom Carper (D);0.1115256167132829;0.09233772158048154;0.10034634200189502;0.07890868573217757;0.10685000989920564;0.12050077135862683;0.12765885377912878;0.11916147141303744;0.08243314508346833;0.08553420436490408;0.12332094897429415;0.1037285670256786;0.08708311368610087;0.0996302463393074;0.1532121138403148;0.09942057693092538;0.1071695320607017;0.09843221578987918;0.1318558429505398;0.10373342031148339
Chris Coons (D);0.10589771771479267;0.09428571234980546;0.08659482507960911;0.0821203189443348;0.09504690337450791;0.10851708939342508;0.09931200358914007;0.10370915454014674;0.076654348102387;0.07760477425493437;0.10678120636866043;0.1012274667336395;0.08734976242984158;0.09249473178885448;0.14113587964569801;0.09752667501903772;0.10131072460825594;0.08543861212928938;0.11612504232040687;0.08491130111409634
Bill Nelson (politician) (D);0.09690535676728518;0.09471946361367675;0.09443943470096243;0.0815302379138696;0.09138830846889667;0.11764443209721186;0.0977947199215159;0.10155198677186363;0.08005936008758496;0.0922669367142955;0.11270384112391002;0.10807532448885487;0.07713281681126727;0.1024928030121094;0.1436298855035738;0.08778794832526478;0.10999643210793794;0.08984979164379309;0.12863821947221327;0.09009025105303761
Marco Rubio (R);0.10524880968994121;0.09695144588969093;0.09386776343579498;0.08679953610031887;0.10271260175937985;0.12046480076702011;0.1248218033535635;0.1105994334185784;0.08643981947801685;0.07848080306887495;0.12523020827137668;0.11857681530430056;0.0761938995345822;0.10378956762810568;0.15025192730512227;0.10318808530456525;0.10862778373022593;0.0893887671864178;0.11762402420182284;0.08687179244886625
Saxby Chambliss (R);0.10585009462777856;0.0989118118452189;0.09028102234921784;0.07672171197798595;0.09161495274315776;0.10801390904541333;0.09880997179031534;0.11227547860807671;0.07467401362806017;0.0866773896822876;0.10421152821846219;0.10350771764219499;0.07521262624504793;0.10501177546893412;0.15755990451242574;0.09300475859059626;0.10375303682814356;0.08267600167591102;0.11572995236790755;0.08329972718502995
Johnny Isakson (R);0.10105275903833283;0.08755826587113791;0.0854017307829025;0.07073579995012465;0.08876150359904461;0.11084114432100159;0.10545551904702351;0.10089737142836797;0.07109742672667738;0.08071400879488613;0.10749417971933656;0.0910705959190736;0.07188259433820784;0.09768032729521452;0.12828869034340007;0.08331495144407375;0.10270928416895649;0.07580924187649732;0.11501184636909531;0.09051799178962086
Daniel Akaka (D);0.11543402971667394;0.09683989587702249;0.08851142462502029;0.07945654562007332;0.09870486748290021;0.10280233452985392;0.11095825235057367;0.11462008021640122;0.07687645770822424;0.07991591832679332;0.10946323619361029;0.10817376085645747;0.07452920273600824;0.09803179016630362;0.11862443690023686;0.09138787662128939;0.09754272947935125;0.08705913810810334;0.11904240145453088;0.09393313358131372
Daniel Inouye (D);0.12866630034333315;0.11136625058685296;0.08436968034047375;0.08476696360377549;0.10374594934717313;0.10910001034082846;0.09720144500238392;0.1277375776713479;0.08071402023032731;0.08735742291309265;0.13247457605722895;0.11969669574625963;0.08522944456299966;0.11292269583418639;0.16795575404965915;0.10702602623580976;0.10946014125181852;0.09628957984305359;0.12848232969126433;0.10151996144153272
Brian Schatz (D);0.09340997439072724;0.08237457295527487;0.07804115915848311;0.06683025205614304;0.09173414394707269;0.09828828474941176;0.09423520758948685;0.09442312590294955;0.07267743827397628;0.07585191568150526;0.09475116389538873;0.09252390986579882;0.06801485581457174;0.08189955722804851;0.11770925704379914;0.07561986947287391;0.0882102689728408;0.07959531016202775;0.11096043398178812;0.08160225455019535
Jim Risch (R);0.0896972262296102;0.08050463410381853;0.07702051654526093;0.06353997478729691;0.08605070871725759;0.0810884732030054;0.09251375715798682;0.08860950645060026;0.06820225272659558;0.08291634436379941;0.08873837615634703;0.09512624891080068;0.06409171428099958;0.08446106677420975;0.10506354497654459;0.07746265119438128;0.09236441428887954;0.07052897213145293;0.09907443368746224;0.08992562837291448
Mike Crapo (R);0.10626335299701742;0.09183222804758315;0.08367119682542436;0.07746601493129229;0.0963026181779191;0.09709269754514036;0.106940497635718;0.097930911352171;0.075524283405207;0.08037810099077801;0.10643931368686892;0.10159609467014816;0.08054938781716198;0.09795740559687399;0.13016221567477515;0.0956596936411095;0.09420728208414327;0.07689322022091644;0.11826512359841543;0.08830217530989015
Dick Durbin (D);0.11579414408175417;0.10496392611797525;0.10429238229724497;0.09049111529377005;0.10317325106258038;0.11786968773652359;0.11431436326166038;0.11755396637099541;0.09132165980170492;0.09284148986387872;0.12250457963141764;0.12551401560152814;0.08936968947054016;0.10497931926634949;0.14631679877410844;0.10627583100520865;0.12027948560693527;0.10203931126349156;0.12365707069145451;0.10656754051127026
Mark Kirk (R);0.10783550049410566;0.105416763336419;0.08769019448744116;0.08411997729160497;0.09265554464361088;0.12140087931559071;0.09470171905421973;0.10981234753761934;0.08210987520787774;0.08720470058373252;0.11691211323610028;0.11189910117709709;0.08720956070979874;0.10311036957464356;0.15322604952050797;0.09363492853833391;0.1210766915437689;0.07928370679883709;0.1205267393695243;0.08212173871320022
