sep=;
x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Jo Bonner (R);0.07104774239694323;0.06714260081380223;0.05402055942558725;0.05394096407699357;0.0666853709218039;0.07242126472314568;0.05836810115295678;0.06552503327845591;0.04425147935803903;0.06905593086405858;0.0636602223260154;0.053091098824407004;0.05948497858238514;0.06594556735314679;0.09608164351562667;0.05421353401005986;0.06812592547287244;0.05064657860057141;0.07381761007855057;0.06396627715485148
Martha Roby (R);0.06776250443291401;0.06328190563426518;0.06427457771306289;0.05505932897095428;0.06705839435453495;0.09893560369555736;0.08308097200724042;0.07739669460314545;0.062446225614303325;0.057294099783631224;0.07470394889024272;0.07514079761017382;0.054051479331563984;0.06033332451581884;0.08947303451237686;0.058659248960001666;0.08905253271896267;0.0646663945913847;0.08719385503678588;0.06539680185190995
Mike Rogers (R);0.06997210541116043;0.06644362794289073;0.06440115608075413;0.050256101424818685;0.0589767643537649;0.05544455694820125;0.054686654939359765;0.07013128012819644;0.04430600144483317;0.0561079875013626;0.06998092402320448;0.060341551434704224;0.04657498253826877;0.07654955589596303;0.08927668972658176;0.06195457025127736;0.05613722309455842;0.051538599185949684;0.07063087650761612;0.0575341172497769
Robert Aderholt (R);0.09997974313842026;0.07897839167745856;0.0733715199067881;0.07062652543153969;0.09393444232076703;0.12236121392106004;0.08452193041761327;0.0927212152674645;0.05907249316661097;0.06408637151933924;0.09282550914111803;0.09007922020517783;0.06070901623228006;0.07922367103030728;0.13337945581597732;0.0769835326251953;0.10561104030411228;0.07256635340033955;0.1008098880836946;0.0832871894558661
Mo Brooks (R);0.08629728216374026;0.08194570351644456;0.08174531104354278;0.07200848541249738;0.09041232898934776;0.11323304174909897;0.09138378826682188;0.09612227091141752;0.05616882272019202;0.06163190674752873;0.08980644793849639;0.08567715979543386;0.05991565694801064;0.08959193729609796;0.11834707188853236;0.07369854893877631;0.0957856632204031;0.06352791921039383;0.1045930980036317;0.0943161234715398
Spencer Bachus (R);0.10040650721000396;0.09868984194052874;0.08253760652156575;0.06405471067955798;0.07934648487906848;0.10037288449824436;0.07400145411997977;0.09863178110168047;0.058757851823586976;0.06270333332178582;0.08681283136706164;0.10240595630635972;0.061127290826938324;0.08077199789951289;0.13021607853876704;0.07082751539066487;0.08659112608483459;0.06046707347571841;0.10699337128526698;0.07734373217650539
Terri Sewell (D);0.08181297952654258;0.07104866477782383;0.06677819314224813;0.07042918595806914;0.07279379250282575;0.07314438912673467;0.09372224894979507;0.07792130795870504;0.09006226964360614;0.058628175108446964;0.07915364955950605;0.08528161109746787;0.05905020233400225;0.06830356922287485;0.11224459661671593;0.07677475258950736;0.0695447723691989;0.06674160190979914;0.09124031962270207;0.08746136593481801
Paul Gosar (R);0.07390039188371675;0.07693301142335975;0.0604126673889993;0.053407283490994016;0.06305811821022811;0.0896363607659826;0.07389971654082812;0.08713014512955941;0.05500851864147219;0.06035313947563895;0.0811795970657198;0.07992745035184781;0.06942482569680121;0.07714284241223257;0.11647907380672885;0.060355397397020026;0.09081952621116107;0.058474555213949723;0.08741359341086506;0.07367483671305346
Trent Franks (R);0.09167618964411386;0.10086853313727204;0.060533325315858866;0.06376556886411948;0.06298861654605419;0.08710294743282138;0.07811461713633508;0.08347146902897999;0.07155214426327527;0.08674794653006926;0.09004126947895262;0.07158949780831253;0.05563402363865855;0.07395672464902282;0.11215200944843637;0.0701563831610911;0.09156458417280684;0.06103364279622321;0.0935992865039033;0.08183792546116386
Ben Quayle (R);0.08729441961729943;0.07442022745211144;0.06336212548543013;0.06759389102362792;0.06489569617462229;0.09818653097129998;0.07546461486743469;0.09053609495615676;0.06466821587973087;0.0548246583026468;0.081420488655607;0.08319728023007937;0.05608348359259723;0.07703823331043161;0.11803473329414185;0.06749440213001602;0.07795794434363315;0.05300782429280073;0.09049530998097227;0.06606836596109622
