x-entity;Edith Wilson;Florence Harding;Grace Coolidge;Lou Henry Hoover;Eleanor Roosevelt;Bess Truman;Mamie Eisenhower;Jacqueline Kennedy Onassis;Lady Bird Johnson;Pat Nixon;Betty Ford;Rosalynn Carter;Nancy Reagan;Barbara Bush;Hillary Clinton;Laura Bush;Michelle Obama
Woodrow Wilson;0.345826283673908;0.15127881593376769;0.140535186539138;0.12533043133297272;0.18632363706920124;0.1640556319607085;0.1283900132376563;0.18912418434442127;0.15170470193345087;0.19368148050079614;0.15243424094623279;0.16015262699270832;0.1862406189957595;0.14360771946268086;0.1616242923796318;0.13433359191571634;0.16359379932959892
Warren G. Harding;0.12946445048870425;0.3582885712839419;0.16169955507657396;0.14349231777600924;0.201001061650279;0.16109902786346475;0.1252247406748644;0.15969613703370192;0.1519548297277903;0.15232707386535507;0.13493505253279856;0.1409790107371099;0.15832372571305237;0.1423195692256291;0.14953932703670836;0.13205870561153002;0.1570709190666129
Calvin Coolidge;0.11022657580427006;0.13799095072170076;0.4043761616792055;0.13869223857580276;0.1539539090589192;0.1519594990421218;0.1187720782621831;0.14031566889382358;0.1320955957248715;0.13675558274455077;0.11428740768204046;0.11582514495211446;0.1369119781423307;0.1241630022165657;0.14661413674961532;0.11115557265432768;0.15965780214823438
Herbert Hoover;0.11981813348826337;0.12823394236921165;0.12297047274488046;0.34417685641795004;0.19612174850240588;0.13613999025207218;0.10886983634034789;0.1478714691860775;0.12171589121352448;0.13064199723630013;0.122243015911286;0.12437005110371854;0.14021679932852812;0.12553824865621604;0.13401874982194134;0.11857069455787118;0.16360585457968232
Franklin D. Roosevelt;0.14412141347215285;0.12341922570910528;0.12080344256443759;0.11469634366260975;0.421955515599627;0.15551007736734776;0.10667809662415884;0.17063127914854218;0.13913175198754396;0.15143332558166858;0.11709705475184737;0.1470911629739739;0.15315848292581635;0.13792392974655884;0.17386751733142236;0.1063469313046349;0.1546372811011137
Harry S. Truman;0.11387242210721704;0.13719242070042378;0.1185265120398021;0.11160267208839104;0.20441270848886736;0.3357574055261814;0.11468679478217891;0.1366322822224766;0.14768224517834805;0.16572173863016526;0.1311572151161072;0.13138333406917588;0.16017222659440472;0.11393727508590162;0.13755094011090818;0.11046072520272165;0.171289124420167
Dwight D. Eisenhower;0.13282558676226536;0.16141334883860015;0.1416806774953855;0.14669115390482376;0.21774758841546762;0.18085094846433966;0.3883575049234941;0.2294544462070185;0.14960666797812394;0.23572641360538998;0.17938611308255226;0.15114408391274864;0.2018758836682494;0.14255775391593584;0.1595397566453467;0.12923944971568485;0.1620948013366962
John F. Kennedy;0.1269175120824829;0.14673192720955666;0.12972793125463333;0.12730133030249438;0.22929059577558425;0.17251654771636035;0.16524931230665765;0.4197941199415138;0.20156128512907143;0.2302656428833885;0.13172466678895406;0.16170812475122634;0.18449842922234164;0.13477603391144685;0.18396521721805614;0.15074382258068655;0.18513859363984533
Lyndon B. Johnson;0.13443384950121434;0.14206438991892364;0.12561388282707212;0.11688916807288455;0.1889111731312159;0.23137706347486758;0.11774364239113191;0.25678789397076107;0.26761514668475717;0.1960920990731604;0.14448378335350343;0.1513590906941088;0.19564663493149748;0.16566801156594585;0.17405911395066737;0.15913581140221394;0.17413432580866628
Richard Nixon;0.12517415136384352;0.14890553582222396;0.12490724369379283;0.11673049546818107;0.19807832686740795;0.15448911864023906;0.16020242231105677;0.21508238219196535;0.171038768228806;0.39072210689354825;0.18269268795284316;0.1718975767433222;0.19872006886517185;0.18368086220947588;0.20394950903960687;0.1347032350068018;0.15377662663499975
