x-entity;Edith Wilson;Florence Harding;Grace Coolidge;Lou Henry Hoover;Eleanor Roosevelt;Bess Truman;Mamie Eisenhower;Jacqueline Kennedy Onassis;Lady Bird Johnson;Pat Nixon;Betty Ford;Rosalynn Carter;Nancy Reagan;Barbara Bush;Hillary Clinton;Laura Bush;Michelle Obama
Woodrow Wilson;0.36664192913446797;0.17263373129381437;0.17928481258686846;0.14793496668596107;0.20889347332419841;0.20338877778245773;0.1664721429651475;0.2189159314809474;0.1865083911451277;0.2292136330169786;0.17330822201925206;0.19483501900591074;0.21473816339623505;0.17478165541260426;0.1857737031465582;0.16395919615907842;0.18583886744227052
Warren G. Harding;0.1520349577040856;0.3582885712839419;0.18311466128739307;0.16582566773673268;0.22339673062168466;0.19927946128466628;0.15836252104339182;0.18806424651370968;0.18229161907014158;0.17807954647310287;0.1560436444192455;0.17192861055668612;0.18365179071968474;0.1693087286933841;0.17158278023753304;0.15754608430638084;0.18743208141679119
Calvin Coolidge;0.13316128942800692;0.15944220030773634;0.4043761616792055;0.1610921385031171;0.17699040347416697;0.19259356466243657;0.15433097920020078;0.16363433715678022;0.16490876031503623;0.15783838147632404;0.1357431098234484;0.13685187664737172;0.17020911627336427;0.15747255044429598;0.16870232220840825;0.13425016736155782;0.18372973646179377
Herbert Hoover;0.14255901797348491;0.1497561276995668;0.1447710753612875;0.3792370299238989;0.21857324398599925;0.1557640521183578;0.13052161174541405;0.17659810455109254;0.1439678975445518;0.1522086458810351;0.14509402723806897;0.1465377705953139;0.16348331386510703;0.148591005332897;0.15631686555270788;0.14242048633688728;0.18925276247763612
Franklin D. Roosevelt;0.16646807265902108;0.14497540484576366;0.1426287664544261;0.1374893424720493;0.421955515599627;0.17498457548565413;0.1283738334686207;0.1934497581625111;0.1610863783337476;0.172711817870245;0.14598421906069659;0.16768224239050566;0.18472831609355994;0.17131327282767983;0.19558422373712386;0.1295708799235437;0.17087780633816874
Harry S. Truman;0.13564895217023623;0.17704738815533633;0.14037815954246996;0.13445586502856358;0.22677047133268333;0.36002377627957033;0.13622901931186032;0.1600235172971975;0.16951163775261785;0.18683404223830946;0.15949728708503239;0.15217349255078755;0.18217399804910073;0.13624672694764844;0.16356472842067338;0.13357334854368555;0.19666310057629555
Dwight D. Eisenhower;0.16679476297978485;0.19301494551477133;0.17575502631506568;0.16898190580102151;0.2399653014091831;0.20672321396109405;0.3883575049234941;0.2521987822680831;0.1653909812130575;0.2700124430908608;0.2119099135862405;0.17289477910810064;0.22339514846503855;0.16570016730802245;0.18451676490958946;0.15192703577325725;0.1782906841727708
John F. Kennedy;0.1542094690805706;0.16976620748778998;0.1543890986280044;0.1538784673716589;0.2563541792568599;0.20126787199130147;0.1861088165945675;0.44490300745501815;0.23099368526763264;0.2508172549609824;0.15438646685670013;0.18213971007577992;0.20619962797789576;0.15668667258855773;0.2090342791744239;0.17305708902369923;0.20121117153819343
Lyndon B. Johnson;0.1701778233729328;0.17272514793875932;0.14738478561429036;0.13964108129144298;0.2114489013322624;0.23137706347486758;0.13923198853822127;0.2848250838384485;0.28621422772724936;0.21690976697378184;0.17896592554926927;0.17849548623241973;0.22621645739523366;0.188044281066365;0.19844126325669492;0.18217995746322568;0.19245634221839886
Richard Nixon;0.15550978078745487;0.17438358127248932;0.15244224119636415;0.14668331136272128;0.22593879917639764;0.18085158004163968;0.18111547575104275;0.24222076537575002;0.20120441755059687;0.4224592873765832;0.2026100835892496;0.1962230342342565;0.21918164334031706;0.20910032200726353;0.22800670643235788;0.1581840775883143;0.1842344702883662
Gerald Ford;0.15796696891743772;0.1747541509868627;0.16423316625365691;0.15152544783063782;0.19211813898292956;0.19914875150620143;0.15125041212049825;0.2216325912099411;0.21732407130948295;0.24549282240861534;0.42958594287784246;0.2467629073842397;0.25680736360960743;0.21408083585615484;0.2079679110345075;0.2013171319197511;0.22601889695320096
Jimmy Carter;0.14844342066568825;0.1560486707630624;0.15043026526673003;0.13294347498947856;0.17016741780177994;0.16253583738310332;0.14981289181046223;0.22580113878637725;0.16744759903731232;0.17765869932743208;0.19339828617073057;0.43848916979387653;0.22301479677159508;0.2062449273427335;0.2360793160290575;0.20015794879038584;0.21778752760926137
Ronald Reagan;0.1590070643373162;0.16425537839480542;0.15274218527064984;0.14765300014857208;0.20161875125985973;0.18559436893755804;0.1430281895516992;0.20370222987695213;0.1988873008165098;0.23623798155866035;0.20028216906970697;0.23003564369587318;0.44231485723249353;0.2396805376509584;0.23622099709934108;0.21346142070687585;0.19106802125970035
George H. W. Bush;0.1477387173444803;0.15396077066724279;0.14702001932629138;0.13568002191263495;0.17022554606668866;0.1678427085767641;0.1493951257333136;0.22087601803011342;0.19110148222681234;0.24167359397608937;0.19576693890192964;0.1906915846946819;0.24227580690131034;0.4685818612010233;0.2372442682359471;0.44458018475896405;0.22635307494322407
Bill Clinton;0.17214880139275823;0.1566308088443773;0.14606302602704613;0.13977340794127743;0.21596629950299423;0.17784002423671164;0.1425976938866297;0.22948772448323795;0.16965160755923978;0.2256675093613965;0.1860800678538878;0.19196860101274674;0.22797834079988522;0.20779818407639333;0.4848672385791468;0.20418031229514333;0.2552667390370215
George W. Bush;0.1499568804810446;0.15450932771463705;0.1476791394618475;0.12837725119647386;0.15856066361889629;0.16006953393124576;0.14233808883211146;0.21130496739011395;0.17448043980116426;0.20071688342228833;0.16352938650461665;0.1845011959564745;0.20921218732791158;0.41710740388985124;0.2463670666129416;0.4337621352046639;0.22623118560997607
Barack Obama;0.15984314491958002;0.14646187734730495;0.14851702577524772;0.13509435984278478;0.2007454361943117;0.17105795130364904;0.1372826427359728;0.18372047174347172;0.13481957540634892;0.19034404409798744;0.158140864965781;0.1983489199836127;0.20466937747929903;0.19549706863115066;0.29127973656300454;0.22712246662662378;0.40154360547072043
