,Asmara,Accra,Kuala Lumpur,Maputo,Khartoum,Harare,Manila,Riyadh,Tashkent,Hanoi,Zagreb,Rome,Bucharest,Madrid,Bern,Ottawa,Port-au-Prince,Amsterdam,Kingstown,Washington D.C.,Canberra,South Tarawa,Wellington,Honiara,Port Vila,Sucre,Quito,Georgetown Guyana,Paramaribo,Caracas
Eritrea,0.2473742871970196,0.09795122660618144,0.09515750303007224,0.14580694235077507,0.14225547061118435,0.12751436568671848,0.1083240321776742,0.11902836968620804,0.0975978052427576,0.09574176200586584,0.08690455639504717,0.12557332857934878,0.100929692466842,0.10405406074868084,0.10518753632085076,0.10551148540269603,0.12864788193998627,0.09771317140208337,0.053181691651488686,0.11545369976362944,0.1253590121130451,0.07418373561008633,0.08867239073150493,0.10441944673902308,0.10101371230996603,0.11438298315450587,0.10272756152436936,0.09747805218267663,0.07715782562524638,0.09601752599464278
Ghana,0.09993857004211687,0.18838159042085287,0.08196323417992528,0.12183640171221477,0.0977013172419381,0.10126840586224696,0.08938002228505104,0.09413785652444227,0.08641786262573775,0.13418636566721925,0.07056284790909431,0.09560397767347996,0.09641861798447764,0.09385314084936676,0.0902439865267089,0.09031062747433727,0.11846150461920285,0.09431042051006132,0.044498485134418606,0.10271789646665692,0.107876082492824,0.0772199175398796,0.08805233104413085,0.1095345551007854,0.0917151918879619,0.11001624523424458,0.09011997604697138,0.08640589374455672,0.08947931947063119,0.07423469157348224
Malaysia,0.10001186331098326,0.10351462270295148,0.240356495317365,0.1421492806191864,0.08686272642533338,0.11768051556852872,0.11410199162741608,0.11279560942592208,0.09830187764574756,0.1160318039593041,0.08563332507465024,0.11688828229519235,0.09886523978210447,0.10675745668171867,0.1115949956160854,0.11743203819840495,0.13551350565079193,0.09721907324926422,0.05565314843194452,0.11624077568913073,0.13222858657542247,0.0926120741414955,0.11609377817598712,0.11366864789893318,0.11356964968956144,0.10341360806259674,0.10127408374937474,0.11488202807962243,0.09841924017678287,0.08793632361739527
Mozambique,0.11537418195078952,0.112672169797919,0.1020160663120434,0.26844729072418705,0.10667839143980612,0.13417714299741154,0.10800778580487548,0.11209958537103752,0.09638920287223204,0.11648737303341945,0.09356870011711473,0.12945952999218707,0.104310307550678,0.10543501806489072,0.1035080829623117,0.11325386870475765,0.12646337368796962,0.09379776772177732,0.060916801726562476,0.12138309404990495,0.13718971596797094,0.09302899258757598,0.09131638678018142,0.11697184979702467,0.10912576538457644,0.11052928024251348,0.11350886574461368,0.09689941585506327,0.07830113678599712,0.09892176079257246
Sudan,0.1371744105905326,0.0929686587012107,0.07268061302272243,0.12852034748661118,0.2911132618254488,0.1141809075702942,0.08095178609414333,0.12114277364983353,0.098245779608027,0.09187803118769866,0.08196262321683463,0.12073990019363527,0.08981444580193641,0.09143835345063966,0.09248335639383816,0.10275469108937957,0.11150687167387026,0.08716389247603455,0.06330205627346,0.10658385209699042,0.12116312574583372,0.08074707474638759,0.0902723570453523,0.09378108973779896,0.08371048184940327,0.10357031980980784,0.10958596467763287,0.08953642015344898,0.07149465200324635,0.07600953767654058
Zimbabwe,0.11332216283920107,0.1010809318820535,0.10378200230522164,0.17205760732121106,0.10509549363120337,0.2619055324834429,0.11080300361180062,0.09986835724359236,0.09827349619188716,0.09709878478110914,0.10036927162465686,0.11954279758311223,0.10907073391565103,0.11134908944074558,0.10887409934948114,0.10893565974223336,0.14407523798495572,0.09458338039455612,0.06890145653971018,0.12561795528974373,0.1480864775237179,0.08739054125501561,0.09572150176971148,0.108051167448923,0.09707051021751964,0.11816915932413995,0.10580514396692854,0.10629051899099676,0.08269482698481513,0.10342470917343237
Philippines,0.11519436716734653,0.10134250392727903,0.11706913591812727,0.1364805300292764,0.08665995141123878,0.1242024824355849,0.2720929083322037,0.10968181042517416,0.10601287362688498,0.11009817840830016,0.09575615753660922,0.12842057110701194,0.10094880207044288,0.1384246227489348,0.10773100057123908,0.11601135947287652,0.14869099977990566,0.0994748225140338,0.07720971396410864,0.1174973588839021,0.15148722686756136,0.07944039893178413,0.11622202759964563,0.1309353674755354,0.1042028752434702,0.1403770445739005,0.1250751882296717,0.11387359202932272,0.09339373900636633,0.105846740740158
Saudi Arabia,0.08828567135909017,0.07804363283059658,0.07740786872554314,0.1060740384949556,0.09146697104352247,0.09433718337313704,0.08401655039745431,0.2801052940909885,0.08236301885249206,0.08247689488383526,0.07350152679070296,0.0924185578102344,0.08304415575319858,0.08506751944372434,0.08150862177042731,0.08728286226069948,0.09516367835837132,0.07552351043311868,0.04141346288774031,0.09648062127438924,0.08963701909899978,0.06167852894602066,0.06792850645517688,0.0747586552749176,0.07000404828479499,0.08563154521077695,0.09497308121435152,0.0741040763856798,0.0593635701186116,0.08280799253675923
Uzbekistan,0.10012399383925366,0.09347262147073587,0.103209378077473,0.1280084679690292,0.08828151089099642,0.110767799871062,0.10911478915976386,0.11783193456882672,0.2255061020055883,0.10412951167675907,0.09531110586132097,0.12448130587631033,0.1094056609906228,0.10728519532439956,0.11341587847964503,0.1132343141842331,0.15744013627202064,0.0969223430510142,0.06372459571144619,0.14289842189153176,0.13165198750310278,0.0796580877114888,0.08669906005271454,0.10325336988653698,0.09385076521688153,0.11089757691996772,0.11214332019670582,0.09859785949839013,0.07836552840330631,0.1076287848347776
Vietnam,0.095958942635838,0.09432583109296576,0.1018754687255422,0.118082225020044,0.07853399174278475,0.10982115677291808,0.09747094721924356,0.09436337524288603,0.09097757010148433,0.2538415814378112,0.0865899925422097,0.10579408339397793,0.09792264514765528,0.09446928612475934,0.09596629061564148,0.10168119586874952,0.11022788803260286,0.08518710027270954,0.058087095556025974,0.12535337419948803,0.13307724007407282,0.07549444460309246,0.10053461440462794,0.09760402135149213,0.08704906822755537,0.10183701790377596,0.10108794078368374,0.09281893625837832,0.06902819687501408,0.10086056054035714
