,Asmara,Accra,Kuala Lumpur,Maputo,Khartoum,Harare,Manila,Riyadh,Tashkent,Hanoi,Zagreb,Rome,Bucharest,Madrid,Bern,Ottawa,Port-au-Prince,Amsterdam,Kingstown,Washington D.C.,Canberra,South Tarawa,Wellington,Honiara,Port Vila,Sucre,Quito,Georgetown Guyana,Paramaribo,Caracas
Eritrea,0.07339028062534088,0.047064257015714615,0.04773308307337012,0.059268917103513674,0.054140989340171336,0.060380735538146026,0.05062435263005709,0.05575864206468334,0.0483830575631902,0.031937083004029226,0.03682644628599671,0.0449341009304265,0.0366567630213806,0.046347414737174235,0.04956180366326104,0.033565530313203536,0.036008818186395036,0.051724122362658866,0.03406478015001376,0.04341002551801818,0.03294805516405438,0.03618855316268559,0.03628344796332128,0.03566270507644027,0.036682807878515404,0.039108588531136926,0.03721115843601591,0.03513729655769813,0.03708281699365115,0.04866394828509117
Ghana,0.06134627631239095,0.047064257015714615,0.04896455626586625,0.0592728346246577,0.058977631582754514,0.0573891422580871,0.05248498645627982,0.0562518195277294,0.056414733050450326,0.10440278780948847,0.03673218914313664,0.0499402034105321,0.05746451970024239,0.04957820485770066,0.05327421965045366,0.04087072643420677,0.06248618826524975,0.04966464767203347,0.03406478015001376,0.05231718049215524,0.053535331388570695,0.041646089728781525,0.05429276816058038,0.06768756144506331,0.03896513241135628,0.06579974832661302,0.049183750815190025,0.051271761233550615,0.06579281132676898,0.03702157025704906
Malaysia,0.056027303173154616,0.056348340171581385,0.052678790815206634,0.06334797970478502,0.03841610144357988,0.056427855421158975,0.051015883968648604,0.0539878888787516,0.0541379354437652,0.052904324044153885,0.036429702082338734,0.04973027744971502,0.03626364699495789,0.0498107427526488,0.05546428005180476,0.05717209197696028,0.06248618826524975,0.04966464767203347,0.038829406407829385,0.0329906182178718,0.04836264435377868,0.05656856381774191,0.05921100520051956,0.052268810205384764,0.05242911364247458,0.0385329102670713,0.036689612939788896,0.06513524106927329,0.06579281132676898,0.03582630688924865
Mozambique,0.06327906223508105,0.06177401317871373,0.05498192909515772,0.052374295147373434,0.06310392049211673,0.056963917505823025,0.04788929424006407,0.05953155251695068,0.0483830575631902,0.060909631518432136,0.04668418846054987,0.04374988980845605,0.046411840771453904,0.04488520276096924,0.04789338786649403,0.042877964437873145,0.036008818186395036,0.0449560433255541,0.03941651171088841,0.05000149960633515,0.05404711481694875,0.04050402448341182,0.033956857566763116,0.04104002023778874,0.03833677577562468,0.035591946984806236,0.051313130148839335,0.03513729655769813,0.03708281699365115,0.04964018570771422
Sudan,0.06319372620783158,0.05869764017917895,0.032292145647402126,0.06076187459737002,0.05594704519166616,0.05878392909377949,0.03213542777699393,0.05892758328405704,0.0570410322672242,0.047562935216352735,0.04668418846054987,0.04374988980845605,0.046411840771453904,0.04488520276096924,0.04789338786649403,0.0540478164346787,0.0361054128508876,0.04952230403723047,0.04589677657625482,0.04341002551801818,0.053535331388570695,0.04018812570126182,0.05458649997691789,0.032888255611290815,0.03665187677140478,0.03710447764500397,0.05926483982244864,0.04123932250092716,0.041501942404565915,0.03458827296226345
Zimbabwe,0.06113673016724784,0.0533059462108792,0.05354105710726857,0.05500289370310446,0.054140989340171336,0.056963917505823025,0.05062435263005709,0.03350932575842467,0.0483830575631902,0.033088683821039105,0.054815369734283116,0.04374988980845605,0.046411840771453904,0.0523516709897315,0.04789338786649403,0.03685105858775538,0.057727347990840415,0.0449560433255541,0.04916183268980072,0.04501376727905425,0.053933694262659385,0.041646089728781525,0.03848814325620559,0.03293595725499003,0.04009693804882837,0.035591946984806236,0.0340135225022315,0.04713794699150744,0.0402648347263183,0.057313121520042774
Philippines,0.05884700622663956,0.056348340171581385,0.04811645484190801,0.035829235296223214,0.03570338890677348,0.056427855421158975,0.04776933427696948,0.050869701133112816,0.05100289432628295,0.04990657244957776,0.046407865960749146,0.04973027744971502,0.033836803071446334,0.049489691450787285,0.04956180366326104,0.050237984248663485,0.05604645581773172,0.04639206535524162,0.060338693381015364,0.04341002551801818,0.054064341228862715,0.038906797954043115,0.05266819398390672,0.049264719353523216,0.03896513241135628,0.0589253061458536,0.05472116188670706,0.057318214469537665,0.057826806504627966,0.05438780103100765
Saudi Arabia,0.056806290576927085,0.053325702812899854,0.04811645484190801,0.055023928442642665,0.05594530331705226,0.05339691076136418,0.04776933427696948,0.050869701133112816,0.05100289432628295,0.04990657244957776,0.04668418846054987,0.04374988980845605,0.046411840771453904,0.04488520276096924,0.04789338786649403,0.04950603724960861,0.03562950202747418,0.0449560433255541,0.0337446212124452,0.04341002551801818,0.03294805516405438,0.03974917798675282,0.03634865137361365,0.033794034881399065,0.03665187677140478,0.036596106881961035,0.059827059033892224,0.04001759141077516,0.03668066278706697,0.056026546409156185
Uzbekistan,0.036576523077287364,0.04895518811837332,0.05579529306386734,0.035829235296223214,0.03911691237529055,0.03513218007254526,0.05041045723347317,0.05953155251695068,0.05222648021598435,0.047562935216352735,0.04785384195479142,0.04477551372332453,0.04756771800243198,0.0459654045091654,0.05661032904089047,0.05339808482809984,0.0819660594888957,0.046039698604644616,0.05393285440515898,0.08222702855669008,0.05868534084223662,0.04489967160102987,0.03606072132182399,0.042112995959622826,0.042251877745090906,0.03710447764500397,0.04965923331895136,0.04286349314909761,0.03657368617076166,0.060275469217421135
Vietnam,0.056027303173154616,0.059357352530705884,0.0471521567634514,0.04054888045732121,0.03589494144208988,0.05846441766012048,0.04533509242709705,0.04979312514756908,0.04827307027868192,0.061047515338481774,0.04785384195479142,0.04477551372332453,0.04756771800243198,0.0459654045091654,0.05072899893416302,0.047569321283256284,0.03562950202747418,0.046039698604644616,0.043109877923361864,0.051681967877295884,0.04878649998486805,0.038587262953059503,0.046933469324550316,0.04104002023778874,0.03896513241135628,0.05255388276935647,0.049183750815190025,0.051271761233550615,0.03668066278706697,0.06318197258063149
