,Asmara,Accra,Kuala Lumpur,Maputo,Khartoum,Harare,Manila,Riyadh,Tashkent,Hanoi,Zagreb,Rome,Bucharest,Madrid,Bern,Ottawa,Port-au-Prince,Amsterdam,Kingstown,Washington D.C.,Canberra,South Tarawa,Wellington,Honiara,Port Vila,Sucre,Quito,Georgetown Guyana,Paramaribo,Caracas
Eritrea,0.2743579836555067,0.1144743910590656,0.1176620712175978,0.17487620227791856,0.1643143457655531,0.15589962893694698,0.13520581484682825,0.1470966838647928,0.11512670577772385,0.124370023946394,0.12460907786628532,0.14923198967314133,0.1370142960753282,0.12782746520309884,0.12659574971420526,0.1285386710975756,0.15074995602138708,0.12065336115962792,0.07848530756597763,0.13781533393818446,0.15253262712637478,0.09304374633679356,0.12181122722421216,0.1264724993630406,0.12966968020812114,0.14961831077288684,0.13993450915685474,0.12061526862106885,0.09901848343219448,0.11681414645027267
Ghana,0.12935114276043272,0.20423233854614908,0.10717456687614926,0.15180224181657825,0.12927481581126646,0.13332511168455985,0.1156895710827666,0.12443088998198598,0.11717492622950372,0.13418636566721925,0.10974892076076806,0.1164165810992208,0.11948459671744187,0.11836447942835265,0.11857005558265556,0.1207859684871284,0.1487394999700985,0.11895665147859093,0.07040730605124718,0.1188276336957412,0.1346221992700778,0.11052677798773412,0.11577827870763426,0.14549700644564045,0.1152405453940651,0.1434106885866384,0.10842222986802977,0.10307464432935508,0.12986137073394174,0.11364482695143835
Malaysia,0.12125076451770447,0.1340060117281009,0.2642279159019042,0.17292136094678018,0.1266163516983662,0.14738355263717326,0.14048658792993918,0.138054762186546,0.12397821059987227,0.1419925859320496,0.12373797540415485,0.13740710716278332,0.13535224778087596,0.13064992934569514,0.14089643030359156,0.13755763764777684,0.16507393697442954,0.12175354476318148,0.08824675851170669,0.14408144790916358,0.15412981677043558,0.1036922429862549,0.1387250929120625,0.12839678029696394,0.12817624332656855,0.13958220692387086,0.13895033871576914,0.1505386875251991,0.13729441184358396,0.12711748908399675
Mozambique,0.1474545456760522,0.14029587328654744,0.12687584560480747,0.2869270477303172,0.13852384944173496,0.1642181015076968,0.131217969172996,0.14219359484599653,0.11393561597358445,0.14191390852156144,0.11380859545265908,0.15100349036789207,0.12450943519526513,0.12669436091119818,0.12264564087772713,0.14140221308588324,0.14858704989356591,0.11530229344514024,0.08378288081038454,0.1390568995074144,0.16264674820802882,0.12680718861416998,0.1163132910473954,0.14164043822845893,0.14389109865301494,0.13631868053120055,0.13409722960208392,0.12004603537845847,0.1001462114310676,0.12109781259760237
Sudan,0.16804449664032362,0.1243254450259351,0.10637268276759683,0.1609937346938735,0.31383958344733165,0.14437271615276553,0.1142526496387464,0.15127316592959156,0.12942023784131482,0.11046732219148768,0.10252142843960636,0.1424494377810104,0.1103540542830545,0.11306244039617958,0.11183674589124727,0.1256497101859449,0.14111945838469775,0.1122281008064059,0.10773853203859628,0.12916000435965316,0.14743766841366715,0.10911999139903332,0.11762301325282452,0.12093881229880027,0.10248479582161436,0.13429618348584318,0.14116278265625404,0.13182172790032276,0.11567365268202776,0.1099924650815814
Zimbabwe,0.1416750194874048,0.12608541478920382,0.12970273588541809,0.1942993448462616,0.1279368477237372,0.2892119979412381,0.1375902069256484,0.13129447911354294,0.11579275878926285,0.1289366695585803,0.12641032357590634,0.14127652367963867,0.12917525163184385,0.13323275364155862,0.1279201578806904,0.14190933525326538,0.17238005925425284,0.11606600026498552,0.126873946038278,0.14669418767702827,0.17336801666382898,0.1201365443297134,0.1321744493932999,0.13480825924081588,0.13210982961813567,0.143816313448436,0.13285327403721775,0.15282469639619956,0.12367444046905,0.13092412133958967
Philippines,0.1399024803556008,0.13196527488504856,0.13960757313252067,0.1649149098004067,0.11694932308911865,0.15362816038516286,0.29298095689451303,0.13038878794745593,0.12669507493819038,0.13150798875604713,0.1155455108781567,0.14874656132227249,0.13209750520277966,0.16177038381882844,0.12908068730471628,0.1413640435865329,0.17418105655670252,0.12328355257894145,0.0992292590838098,0.13981330266322112,0.17660578613410588,0.10839793915213616,0.14385425663998722,0.1811630230376148,0.12756021411391075,0.16220687386079544,0.1503293151407396,0.1374602431200917,0.1171970566276653,0.1355208416761397
Saudi Arabia,0.11091562767357747,0.10424112393571124,0.10127750059889544,0.12961440342665462,0.11767579293802401,0.1195898181985536,0.10784603377609424,0.2991686217620897,0.10367144479897113,0.1046798971401732,0.09435691829609537,0.11483330823132,0.1037798736184517,0.10689312978438503,0.10112908955553908,0.1143619813400433,0.11677822099924888,0.09765863237193063,0.06904647358397321,0.11934056043105748,0.11772173647840553,0.0895100152718688,0.10269722762353696,0.10184623461980707,0.08882331157320328,0.11524956515077618,0.1271154495069059,0.11622675648959607,0.08054379086486038,0.1127023204746791
Uzbekistan,0.1288875367240354,0.11232605006209204,0.12737797226905742,0.1566182912017563,0.12736101965615926,0.1403013341819711,0.1361217788938329,0.1476463952302802,0.2462423733959709,0.12250572554509816,0.11728756183436635,0.1478805217216839,0.13122393698749052,0.13029403325459393,0.14175952265539926,0.1363457341970511,0.17036924495666145,0.12018417233498005,0.07840907905054678,0.14289842189153176,0.15383834581229652,0.11054590473220907,0.11904298557468693,0.14364605224326932,0.1266217634656572,0.14139089968855315,0.13067193432946864,0.13880924805849065,0.09908435546229012,0.13252209506815346
Vietnam,0.11729503248960392,0.125015626353237,0.12327187398168593,0.1549983132959856,0.10992146106926186,0.1404929869232598,0.11698219299986493,0.1139504649623578,0.10847621802165593,0.2770132459551239,0.1088455902687364,0.1296785147711263,0.12003651037485125,0.11786632287043695,0.11943107836991065,0.1258545684259961,0.13167257604332713,0.10887652308806507,0.09280070733018674,0.14177901987021066,0.15560275233041534,0.09963895620844787,0.1205914905174894,0.12253992331984136,0.11064425879159186,0.11733968017456307,0.11920813252651195,0.10941763967580767,0.09008611697955302,0.12339396725303127
