;Robert Benton;Robert Redford;Warren Beatty;Richard Attenborough;James L. Brooks;Miloš Forman;Sydney Pollack;Oliver Stone;Bernardo Bertolucci;Barry Levinson;Kevin Costner;Jonathan Demme;Clint Eastwood;Robert Zemeckis;Mel Gibson;Anthony Minghella;James Cameron;Steven Spielberg;Sam Mendes;Steven Soderbergh;Ron Howard;Roman Polanski;Ang Lee;Martin Scorsese;Joel and Ethan Coen;Danny Boyle;Kathryn Bigelow;Michel Hazanavicius;Alfonso Cuarón
Kramer vs Kramer;0.06835956782244254;0.06140031749926477;0.06405418736107796;0.06459116998548921;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.06370710183990233;0.0665071234112854;0.06171905163781463;0.06212537230295358;0.06751239565932969;0.05639354060354272;0.06188251639281112;0.06052235335110242;0.0657330020853336;0.05824788353562878;0.055484626347357166;0.06462180843803718;0.06581686409193616;0.059612317993897705;0.06346369898759366;0.06516044422351519;0.056672388221704416;0.06335641933538481;0.06604000680120115;0.06765063338929417;0.06999531580684112;0.06676117148537201
Ordinary People;0.06609197150320888;0.0642176194737459;0.060478378619941764;0.06095685693641149;0.06681632023372842;0.06491731513141973;0.06298713076730406;0.06016886973844033;0.06435882791359585;0.06307378276511924;0.06068925728032277;0.06529974558651182;0.06139069114801897;0.06497516307541763;0.059158580779184705;0.0641274087493015;0.05945302801536517;0.054368410815875415;0.06479034918135432;0.06371222474959787;0.060875195909869693;0.059951706735777474;0.061463620106986694;0.05550837271219757;0.05985596300976563;0.06224561240872928;0.06367447344673262;0.06761978592971873;0.0628858856004342
Reds (film);0.06375145500346104;0.06312601314903955;0.06267612289538965;0.06418931538022812;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.059330369814625694;0.06175156840541306;0.06171905163781463;0.06389265140148401;0.06261728195536782;0.05639354060354272;0.06188251639281112;0.05834781306120178;0.06317582129736975;0.05824788353562878;0.055484626347357166;0.06546321615553422;0.0611560511409282;0.059612317993897705;0.0591192066868455;0.060588907519219776;0.056672388221704416;0.062007898920237045;0.0613486629647822;0.06273618240780619;0.06835303777754893;0.06197052445972683
Gandhi (film);0.06591660001714389;0.05463530124281265;0.06190441350955126;0.059912091686176554;0.06225947782361076;0.06529652216183074;0.06453544290624819;0.06422428296244208;0.06473151960322358;0.06462641039499054;0.06212537230295358;0.06568344682795814;0.052575547876227334;0.06535504820857115;0.06052235335110242;0.0657330020853336;0.05945302801536517;0.057823161182130905;0.06462180843803718;0.06407744405882085;0.060875195909869693;0.059951706735777474;0.06293706195159972;0.059114320194619395;0.05985596300976563;0.06375724656190937;0.06525718620870254;0.06803132254902272;0.0628858856004342
Terms of Endearment;0.07119759860652172;0.05751924298957443;0.06653949095382262;0.06095685693641149;0.06870186333792117;0.06529652216183074;0.06298713076730406;0.06016886973844033;0.06543998952135226;0.06307378276511924;0.06068925728032277;0.06568344682795814;0.05752243047736693;0.06535504820857115;0.059158580779184705;0.0641274087493015;0.05945302801536517;0.054368410815875415;0.06516807003298997;0.06407744405882085;0.060875195909869693;0.059951706735777474;0.061463620106986694;0.0633267825245851;0.06578684377303605;0.06224561240872928;0.06367447344673262;0.06803132254902272;0.0628858856004342
Amadeus (film);0.06998715919817536;0.0676390438009586;0.06825129463175765;0.06090597378793753;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.06511840166164166;0.06804670594780309;0.06171905163781463;0.06063881971886682;0.06909942762720389;0.05639354060354272;0.06188251639281112;0.06393669436334799;0.06978022120812291;0.05824788353562878;0.055484626347357166;0.06301492973015486;0.06597035674244572;0.059612317993897705;0.06486411670181365;0.06663761666974885;0.056672388221704416;0.06349863800168445;0.06755779181712164;0.06924424789954374;0.07170270377071516;0.06831267566813604
Out of Africa (film);0.06723266322525047;0.06840130012092903;0.06902749207233783;0.06965150292478423;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.06016886973844033;0.06543998952135226;0.06171905163781463;0.06068925728032277;0.06529974558651182;0.05639354060354272;0.06188251639281112;0.059158580779184705;0.0641274087493015;0.05824788353562878;0.055484626347357166;0.04955983058408908;0.06371222474959787;0.059612317993897705;0.059951706735777474;0.061463620106986694;0.056672388221704416;0.05985596300976563;0.06224561240872928;0.06367447344673262;0.06761978592971873;0.0628858856004342
Platoon (film);0.06648506748186454;0.05952941105504517;0.06000313634171345;0.06095685693641149;0.06093913488880103;0.061830041989723174;0.06163607952912249;0.0603677175122464;0.06473151960322358;0.06171905163781463;0.060210708145016334;0.06568344682795814;0.05639354060354272;0.06188251639281112;0.05870377626764387;0.0641274087493015;0.05824788353562878;0.055484626347357166;0.06516807003298997;0.06407744405882085;0.059612317993897705;0.059951706735777474;0.061463620106986694;0.056672388221704416;0.05985596300976563;0.06224561240872928;0.06367447344673262;0.06803132254902272;0.0628858856004342
The Last Emperor;0.06933846923694983;0.06435882791359585;0.06491289214625555;0.06546443074451537;0.06696920211029937;0.06804670594780309;0.06781185308662506;0.06458554836915786;0.06746506546986794;0.06791229891880055;0.06515589161455518;0.06846701518326044;0.061546140224556956;0.06811026826149412;0.06339488196597626;0.0691353439944889;0.06373312993815057;0.06043964526287911;0.06790721711638269;0.06672381430914548;0.06537025534429419;0.06430654051601808;0.06604927169176592;0.0618517240100852;0.06419639491994421;0.06695315987602861;0.06860919400801004;0.07102197696715513;0.06769451786295076
Rain Man;0.06196563107472877;0.05795806716222542;0.05840701921998382;0.05885316254940202;0.06006653001846986;0.060931924322613795;0.060743547190818245;0.05811829776919121;0.06043964526287911;0.06082413214197603;0.05860367674938138;0.061268718146972746;0.0556454608348722;0.06098288472615621;0.057175157555797655;0.061803355762727115;0.05745014588527617;0.05617519335451182;0.06082005574805644;0.059869046042933916;0.05877703718351155;0.05791565956616703;0.05932541578136624;0.05591694169480453;0.05782630375725201;0.060053624055464556;0.061382547668756296;0.06330669230670166;0.06064938082398749
