;Robert Benton;Robert Redford;Warren Beatty;Richard Attenborough;James L. Brooks;Miloš Forman;Sydney Pollack;Oliver Stone;Bernardo Bertolucci;Barry Levinson;Kevin Costner;Jonathan Demme;Clint Eastwood;Robert Zemeckis;Mel Gibson;Anthony Minghella;James Cameron;Steven Spielberg;Sam Mendes;Steven Soderbergh;Ron Howard;Roman Polanski;Ang Lee;Martin Scorsese;Joel and Ethan Coen;Danny Boyle;Kathryn Bigelow;Michel Hazanavicius;Alfonso Cuarón
Kramer vs Kramer;0.1843989858487146;0.15617799280640532;0.19054341701458627;0.1590449575497434;0.16143820687970808;0.1773944299942138;0.15787118141484957;0.15126203733199975;0.1749168171036366;0.14633576854423005;0.14717667601705492;0.1843019078941826;0.19442838232219659;0.1731884151718239;0.15746905853476018;0.14313074318464647;0.16464405803922352;0.17740183132735374;0.15649091299834905;0.2004232749516604;0.1634204425085476;0.19027796952176862;0.17888454984050664;0.17860455599360875;0.1822516929426183;0.17646483740373164;0.1796537037726994;0.16307976173824823;0.17493710876019253
Ordinary People;0.1812838822445845;0.23398556482259475;0.21778026029873326;0.16964805399185706;0.19448401269182766;0.2140986482552978;0.1749161801882896;0.15233513427311204;0.20311587916448565;0.16246303468627937;0.15777837147400156;0.20686540492364952;0.20849809646953146;0.19555981824981306;0.18618639298201628;0.15901376187424093;0.1805320449259472;0.19769557438291646;0.15961113535827312;0.20473564088468552;0.1684729067721305;0.20309957225611583;0.20322509352183704;0.21183712316667427;0.20413748167481205;0.18752744464198345;0.1962854792234947;0.19741820599625792;0.20517688659013247
Reds (film);0.16839470173772014;0.18625349934199598;0.36416360311474255;0.1947956319810121;0.19201879269130961;0.219741864531262;0.1852307995604775;0.17100543098802756;0.23690321744603585;0.18019536601198677;0.17353744758356943;0.22124543092076948;0.24332535200965286;0.20503866795823128;0.19158546862523151;0.17342857261527558;0.19980988297830027;0.22057907640956687;0.19234170034659878;0.22930711619912114;0.18425372091693676;0.2410316730719452;0.21359146609407148;0.23868595225995173;0.2551053715304925;0.20606948596579897;0.22664589292130052;0.22161487889148943;0.21976304783631073
Gandhi (film);0.1352934570499061;0.16722334837963554;0.21183082369976267;0.2557970028233666;0.19707098193096506;0.22513850506414707;0.19133607521016166;0.18386148936178381;0.23460809677499506;0.17405426043698102;0.16461123535664093;0.21005108218446128;0.23048227409419758;0.2220732456579792;0.19065821882370448;0.16321592360580284;0.19728369679139549;0.23036937883970102;0.19071629988091432;0.25491349330612084;0.18530936826303251;0.23210231160963785;0.23788360085514942;0.23505404802171065;0.23524146753530148;0.23297251297966642;0.24412021038114387;0.227494240440928;0.22228697116856866
Terms of Endearment;0.24378846785104114;0.15804827181318576;0.26167131863208304;0.1796788768280929;0.2350266603674378;0.22324200016312393;0.17091990060758477;0.1468173257483079;0.22362764196347268;0.18622634551257747;0.160114885779564;0.22899283928794417;0.21039801189589158;0.18192830607409477;0.18255827013490122;0.19037047509011845;0.1832192086398823;0.18874862023788913;0.17557893327510227;0.19475086615407186;0.1636325128981273;0.18978761715734183;0.22952604812972538;0.22979615085020222;0.2097924351339756;0.20217827568462216;0.20286853316468736;0.2365794370748362;0.2379408675391045
Amadeus (film);0.2039263820064111;0.1683489275093653;0.22550222720298305;0.17047527987979827;0.16264242857232358;0.26086588744747563;0.16643001121833279;0.15480152222795057;0.22359162426004137;0.16416223383342377;0.15429872851731252;0.22003225933528814;0.2010464410801926;0.17658492597645653;0.17211176928031324;0.19091987708285144;0.17531181076111513;0.19124562999642436;0.16718666166323237;0.20362288878278742;0.1609427771824224;0.21111789635059497;0.2222927781144777;0.21470909527822357;0.20707687311478137;0.20013140720460565;0.21023366666646293;0.2195771246119595;0.22700411426814132
Out of Africa (film);0.1601789130900384;0.22421716774476505;0.21365455623945506;0.19052810196283115;0.17482388414118993;0.20085344871847172;0.22569702396192987;0.1618282171831726;0.211073013049832;0.16069305790998326;0.15680920646403473;0.19221421183553145;0.21073592133420982;0.19326984304439757;0.17307975653292762;0.15850055555690773;0.17724089074019495;0.20698172749276764;0.1488973764737438;0.21541305422270524;0.17289975969138366;0.2100443569738821;0.19779547593196134;0.20909375240561484;0.2127313250988197;0.19736250596514915;0.20956612578519834;0.1964408719417748;0.20123454674159763
Platoon (film);0.13487514717935;0.1748835445652281;0.21491627472212552;0.17999626174499958;0.18948982482317947;0.2100554183948613;0.1722112617159359;0.3009683883922726;0.21188114398828467;0.17005377725104745;0.16146983378302193;0.1982423470935943;0.23889797479583108;0.21249144500553382;0.18010995258282678;0.1575664594600144;0.1869240838206377;0.220280443006831;0.18779554164621481;0.2335177076165893;0.1809508771944331;0.22462949515795477;0.19619987306582937;0.2196192232461341;0.2197473221493662;0.2035162348481325;0.21805486378430045;0.19863858622123923;0.19679463113525608
The Last Emperor;0.18481128588765705;0.19711301121575647;0.24983924271487445;0.20936899480444113;0.21176328903971958;0.25019222911209454;0.20438837726776307;0.186538920741387;0.35031385140176513;0.19919418916967607;0.1789968065255911;0.23991837750733497;0.25028091537486863;0.23092969601153795;0.19811373485752573;0.19935054387488665;0.21200587361008993;0.24257933207986657;0.21426199054410788;0.25681431096624563;0.2012091736810251;0.2442390349679942;0.24883475133999083;0.25132939658884623;0.2551152367419669;0.2396360288832446;0.25392366247392995;0.246876722488836;0.25723535207676274
Rain Man;0.1502696785535079;0.18155419590793648;0.21736339872783242;0.18052682193203817;0.1804205050635112;0.21499647232587288;0.19929289704811914;0.16069198040571908;0.21178877321895065;0.21630048462591456;0.15966098628524147;0.2092505701761487;0.23662003029484113;0.21146027808988435;0.190577163634003;0.15805202719956926;0.19078623784077797;0.24617536657378422;0.1750874802334687;0.22160122427101855;0.18016654332139165;0.21566843171512243;0.2115555200839101;0.22868834905683388;0.23588579999918882;0.1956239869520457;0.21324696991180747;0.19923819058727377;0.20713805257040455
Dances with Wolves;0.14297533017993935;0.16503573296550395;0.19395049774089507;0.16295591758036293;0.17314999424527205;0.2007628258374643;0.165978758123032;0.1651097719227153;0.1945328886760288;0.15784895682428235;0.220024778903797;0.1842942509598554;0.2077716423135002;0.1943567766632221;0.1710417681634041;0.15075908211695035;0.17391406826786027;0.19789474083254843;0.17019659962819056;0.2148529717822828;0.16352695823205066;0.20475516084922943;0.18999326776136893;0.21136180606698812;0.2011059590938271;0.18815870065095347;0.19857859037044895;0.19080803586935033;0.192302242849609
The Silence of the Lambs (film);0.18642910091918924;0.2108379762474601;0.26559414714872964;0.21877390849711495;0.2214667596629293;0.2688477531341284;0.2087752114968125;0.1984373248192385;0.26664924271999446;0.19075054113516285;0.1935447133698449;0.3225687657368391;0.26979487810782177;0.24523602455269372;0.21817273945096816;0.1980790171396897;0.22831513697496714;0.26187237200227337;0.21182794395792365;0.2796757313580467;0.22660596554158155;0.2608027818825349;0.25400771974026404;0.27219453680292505;0.2671726424583634;0.24754483382725706;0.2640481170745766;0.26113161674158186;0.2651088404780669
Unforgiven;0.12726369310318944;0.18146915200809982;0.2114040063010581;0.18690170580615278;0.18172939348151607;0.20377680667217055;0.17485970657412836;0.1703234882745936;0.22322902502012626;0.1606743919190264;0.1715428639343739;0.1967124174361852;0.3196438795044794;0.20104499613562934;0.1796627447553224;0.15532476963581937;0.1855210849293893;0.22031090863863964;0.18070297448040834;0.22740669951604864;0.17558120855511533;0.21614478633635376;0.21395413927170787;0.2231103129359098;0.21767813178337364;0.20167977627458242;0.21856217091969302;0.19873408101429865;0.20221652526978076
Forrest Gump;0.15920940666321956;0.20120003951495874;0.24603944321391508;0.21692336371161441;0.2132535314281787;0.24360650318965893;0.20286148465239867;0.22255676074342623;0.2508124615869409;0.19071259072511176;0.1849280545536302;0.23639382401024314;0.2644671418842852;0.3138207837759884;0.20971907190689454;0.17711159628177986;0.21708240317877264;0.25761025067107407;0.20325669689165443;0.2777737109731446;0.20220434550164412;0.2585448490109999;0.24486079173451447;0.25925740103846073;0.26350235073500466;0.24770194184776184;0.26478439587113056;0.24642827652771876;0.24801115711715366
