;Springfield, Illinois;Indianapolis;Des Moines, Iowa;Topeka, Kansas;Lansing, Michigan;Saint Paul, Minnesota;Jefferson City, Missouri;Harrisburg, Pennsylvania;Providence, Rhode Island;Montpelier, Vermont;Montgomery, Alabama;Little Rock, Arkansas;Dover, Delaware;Tallahassee, Florida;Baton Rouge, Louisiana;Annapolis, Maryland;Jackson, Mississippi;Raleigh, North Carolina;Oklahoma City;Nashville, Tennessee;Austin, Texas;Phoenix, Arizona;Sacramento, California;Carson City, Nevada;Santa Fe, New Mexico;Salem, Oregon;Salt Lake City, Utah;Cheyenne, Wyoming
Illinois;0.05317935090626433;0.048486451535042115;0.04968019202445881;0.05131829380890145;0.052625737664710036;0.048929489776618436;0.05245910385452412;0.050274696012110806;0.048720452303756864;0.053918473749178235;0.05136467059235423;0.049764544389892064;0.05266616412845984;0.04997521182917547;0.04986672512506117;0.04942021466801627;0.05120308944047416;0.049695487228443254;0.04687440419366071;0.04638733744866074;0.047186557193562066;0.052506538914466216;0.048138066903202485;0.05316654754373637;0.050669118767246675;0.051595457459641295;0.04770378069485828;0.05232401781622414
Indiana;0.05603903875781675;0.051314979337164446;0.0551056370527176;0.05712834450829751;0.05699210462449132;0.05398019101524227;0.05854566024001242;0.04982814216876495;0.048300966932950926;0.0551751006910245;0.05136467059235423;0.05169652926445439;0.05217632345293505;0.05192390886875358;0.04986672512506117;0.05472614199351352;0.05120308944047416;0.049695487228443254;0.0469384056511043;0.050765433743049496;0.04881860206146114;0.05492136585599041;0.04820556812303055;0.05537757797307871;0.051309335338127975;0.057454057660479334;0.053439825182546405;0.05446411676019681
Iowa;0.05317935090626433;0.05160550621166673;0.05727756828306295;0.05645340446153712;0.05632036101163515;0.05357601799378792;0.05783702285803652;0.05519306895320918;0.05332549506763581;0.05961602246380725;0.05262782249612822;0.05180543303448776;0.05808881529291345;0.0520337737580762;0.05105642361569479;0.05416493134702192;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04861542116714017;0.04901758163353057;0.052255754053604615;0.052628600246518484;0.05869814117634423;0.0527864549357374;0.056788992830831046;0.052109947068875596;0.05767286338218523
Kansas;0.05206087904398286;0.04979016911769673;0.051254342502089635;0.0529997211556355;0.05288244141089825;0.05045569593203355;0.05421739934480628;0.051887357903519726;0.050233444123316574;0.05577769230620937;0.05262782249612822;0.05180543303448776;0.05443860176406206;0.0520337737580762;0.05105642361569479;0.050977674891108084;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04638733744866074;0.04901758163353057;0.04838425383448372;0.04870373117175412;0.05385741031954946;0.0527864549357374;0.05224584329991152;0.048259225635657196;0.05299302013444501
Michigan;0.051348324560249244;0.048080093570499055;0.051682472651733334;0.05226141741005069;0.05550749525515164;0.05398019101524227;0.05344502775354229;0.057085630297837746;0.0550900982772463;0.06183014622188968;0.05136467059235423;0.050752268582392346;0.06018895378676757;0.050971400057743366;0.04986672512506117;0.05598647655902093;0.05120308944047416;0.049695487228443254;0.04774972414342355;0.04638733744866074;0.04807368440110349;0.046099009463366446;0.05434663971848864;0.06084338334955987;0.051693446759224104;0.05879457300911188;0.05379374925059843;0.05974249717763475
Minnesota;0.04921359397556906;0.04620349307213514;0.051682472651733334;0.05005172440098546;0.049947115800971324;0.05987188550807153;0.060943195622301924;0.05426806698041533;0.05246154286093768;0.05853827580104343;0.054557426558334614;0.05367413164239605;0.05706510538577142;0.05391928162387254;0.053180159862050165;0.053273792098107224;0.0543751694285519;0.052678081969264816;0.050675993321293286;0.05025742127117188;0.05382761388492028;0.051789968358084366;0.05159796364953177;0.05765303530233802;0.058406999155891745;0.05581019838543765;0.05109932911664154;0.056663634421807794
Missouri;0.050437581745929314;0.048486451535042115;0.04968019202445881;0.05131829380890145;0.052625737664710036;0.048929489776618436;0.05245910385452412;0.050274696012110806;0.048720452303756864;0.053918473749178235;0.05262782249612822;0.05180543303448776;0.05266616412845984;0.0520337737580762;0.053180159862050165;0.04942021466801627;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04638733744866074;0.04901758163353057;0.052506538914466216;0.048138066903202485;0.05316654754373637;0.0527864549357374;0.051595457459641295;0.04770378069485828;0.05232401781622414
Pennsylvania;0.04773629391674777;0.04489898646765962;0.0470573127828659;0.048524458427887045;0.048426130159187675;0.046383247379165146;0.04954320235411262;0.056818966700877535;0.05187870163047921;0.057813523711909766;0.050542070421066565;0.04978310526470997;0.0563761577619231;0.04999393021307276;0.049091041974131215;0.05267286654110545;0.050385615357915636;0.04892508103350365;0.046890871421374415;0.04683019092418811;0.04720324451260709;0.054896774558058775;0.04820556812303055;0.055051741047393805;0.050688360670365445;0.053369022553738654;0.05473587957308029;0.05414891003996411
Rhode Island;0.05317935090626433;0.048486451535042115;0.051682472651733334;0.05005172440098546;0.052625737664710036;0.04777676619270319;0.05113632239401169;0.050336729004795466;0.052951394261381395;0.053989830956931356;0.05136467059235423;0.053788258679108435;0.05273424305423042;0.054034454682245;0.04986672512506117;0.04948015566667804;0.05120308944047416;0.049695487228443254;0.0469384056511043;0.04638733744866074;0.05405601364731456;0.054896774558058775;0.04820556812303055;0.05778473091326594;0.051309335338127975;0.055933600434513404;0.05473587957308029;0.056790843696600694
Vermont;0.05317935090626433;0.05030324208188153;0.05961602246380725;0.06199053115285692;0.06183014622188968;0.051721418601373005;0.06366289986976748;0.0511033046307676;0.055182080926517475;0.06557158372028594;0.05262782249612822;0.05180543303448776;0.053576191669098;0.0520337737580762;0.05105642361569479;0.0502206719403558;0.05245820959134711;0.050876932320610135;0.048680819523235774;0.04638733744866074;0.04901758163353057;0.04957648115808608;0.050743617253296666;0.05592343387358462;0.0527864549357374;0.06110533655469907;0.05491320511853584;0.05499202740315465
