;Springfield, Illinois;Indianapolis;Des Moines, Iowa;Topeka, Kansas;Lansing, Michigan;Saint Paul, Minnesota;Jefferson City, Missouri;Harrisburg, Pennsylvania;Providence, Rhode Island;Montpelier, Vermont;Montgomery, Alabama;Little Rock, Arkansas;Dover, Delaware;Tallahassee, Florida;Baton Rouge, Louisiana;Annapolis, Maryland;Jackson, Mississippi;Raleigh, North Carolina;Oklahoma City;Nashville, Tennessee;Austin, Texas;Phoenix, Arizona;Sacramento, California;Carson City, Nevada;Santa Fe, New Mexico;Salem, Oregon;Salt Lake City, Utah;Cheyenne, Wyoming
Illinois;0.3160412276924247;0.20085042841556214;0.17426952411846075;0.14717107543510743;0.17082785686590848;0.16461819973239672;0.17189890355005316;0.16929975255507307;0.14208857572575734;0.17517053600360138;0.17462749547728923;0.14852155120279026;0.13932856479543626;0.16165453022626566;0.14230748737956472;0.17445161248345575;0.20310278393417178;0.15439426996257644;0.15643879943922817;0.15648537288137987;0.15661350920681122;0.22036117206258063;0.14134223959479306;0.15257002231240194;0.12048585641377621;0.15060783028886865;0.16494888522829781;0.162984346126535
Indiana;0.20637148314319637;0.3141672911396605;0.1540843573957742;0.15727173966054422;0.19365694614284323;0.15877160067573387;0.18045142220812177;0.16251678578115475;0.13418131155134794;0.17385737464427167;0.15516537992169904;0.13338454883087766;0.13972525407042635;0.1698646445341037;0.14045925660194286;0.1861127710427436;0.17140770073527214;0.15183749415280054;0.13986164957633385;0.15361266377717758;0.13709332054946594;0.18394675780316588;0.1333135862270169;0.14835670938506199;0.11622142042400427;0.1600930882752593;0.15075989386730998;0.16224561195098575
Iowa;0.14872083801558006;0.16184803634141856;0.3075627795785649;0.1940683117277915;0.16252991304583375;0.16168824995662023;0.18152287521273253;0.16123760171866391;0.14427420406574626;0.17005413392798366;0.1519702689366959;0.13356182860897575;0.14251461969913837;0.15720656272125313;0.138749167111883;0.16483890028127374;0.16436617012781443;0.14576145755936015;0.14879903980456546;0.1453740492697874;0.13456349902716042;0.15401074936221587;0.13722309863355137;0.16284166246680862;0.1178826472644399;0.15374720101323214;0.15170424381647377;0.15907930152603972
Kansas;0.18435933203918206;0.2268838271221046;0.20096141816862428;0.35227855507728867;0.21145186317456593;0.1748542620184395;0.27136477192091074;0.22248037701870543;0.20193816602939102;0.21489829380157663;0.2100969086513798;0.1939093566550518;0.16863081053786716;0.18976193595319613;0.18048177873862808;0.20266485154397718;0.22758205899810716;0.179833922063669;0.2695536481945858;0.18238141492816823;0.18451271156364654;0.19310461255536485;0.18082741464339422;0.20446264282484827;0.19738653701604156;0.1849152622053014;0.19348091415875296;0.2200069672789372
Michigan;0.1540036556978357;0.18967829573464373;0.14705286158875203;0.1593277874355633;0.2897288798618463;0.15813344712249244;0.1670388256600819;0.17268662649071811;0.15056597853611012;0.18754659377746163;0.1537784355126363;0.1416629636672309;0.15678459134803036;0.16995106491650055;0.14397339995092573;0.18052263424059314;0.1892088452828962;0.15052490127117027;0.15164487588879563;0.1492487614672587;0.13651670423848292;0.15592299508228905;0.1419337625394264;0.16149731659466304;0.11761441808434336;0.16500565137480677;0.19797531345247682;0.16970007191622932
Minnesota;0.15012805247666222;0.16564668034120456;0.178018834122407;0.1437896088804596;0.16157729427895068;0.31661100335484754;0.19792015659090517;0.18878278163718704;0.15355835314037747;0.19018038346621832;0.16601064277144695;0.15351941337072636;0.14847293474723172;0.17784450632719295;0.1581864043238876;0.18160394209222663;0.18220059412581202;0.159155931944538;0.1570858215807459;0.15992608231477295;0.14313322529014727;0.19157020727791793;0.14479841376157504;0.1543184193405418;0.136276251253848;0.16413089095135439;0.19248764847752853;0.18824244504667217
Missouri;0.21931125988593714;0.1815493820307193;0.17624532771645385;0.20891076218979612;0.17139877033728132;0.18621641940225714;0.3334858013911132;0.18004855242178736;0.15367094806438175;0.18948498635548536;0.1708962303603592;0.16834433877099025;0.1588923631443862;0.17584485186808632;0.1769402590229497;0.18880778107334775;0.22573280248183994;0.16094758284609115;0.22696482687713385;0.16320049412157384;0.1679222026699005;0.17644253357958933;0.1703313874837993;0.17324184691358052;0.1785549490872683;0.1607588694202731;0.16704168884073703;0.17189257031089505
Pennsylvania;0.17033123148332988;0.1666139797558083;0.146870398039482;0.1479051565672415;0.18549317061819393;0.1367313670831761;0.1789717186988759;0.3063345483764599;0.15685730596458608;0.1910078578555151;0.18784996765549963;0.13817205967247015;0.18313588006792492;0.17813927142418778;0.1457214418449494;0.22623903204507578;0.17982730168978206;0.16183490915680032;0.1532957253970873;0.15983884077261468;0.14168746758031148;0.1910992665491283;0.1413141671539086;0.15762068233149779;0.12501741155535567;0.16135196504485486;0.15723258948220553;0.1766483162158271
Rhode Island;0.13502949247137375;0.1351500852600689;0.13888407528298666;0.12485014882784158;0.14829419645675812;0.12264014808956458;0.1398039682416798;0.1529596223076945;0.32132963173556933;0.1550202562625709;0.1357311812823626;0.12334878411441226;0.12094643644065642;0.14711369482558018;0.1215693560642091;0.1803490526823031;0.14744704496162725;0.13283039617287457;0.12325134409422979;0.13996378812925547;0.120071592926189;0.15019781569920218;0.11747669104737471;0.13407396447414216;0.1105074770656512;0.14886642667179448;0.12870345495783786;0.14660041465326068
Vermont;0.1551522131365488;0.15774428529128068;0.15359562907571367;0.16145698998872215;0.18000140416169097;0.14275528038091156;0.18524884187165502;0.16554577533123038;0.14357143478556902;0.32452044664134955;0.1590692003240296;0.13780919650013376;0.16160179817537915;0.17452891672667817;0.14542405036634706;0.18660247742641112;0.1831482218956797;0.15381600226242764;0.1393536776738314;0.1484687643223334;0.13929428585078235;0.16282741440866166;0.13847251830187776;0.14920552123132477;0.12564501918076745;0.16589965803254386;0.1427119258448239;0.16892868877157022
