"";"London"
"Keppel Harcourt Barnard";"Keppel Harcourt Barnard>Lambeth>Archbishop of Canterbury>London"
"Elizabeth Kay";"Elizabeth Kay>Borneo>London"
"Alisa Arnah";"Alisa Arnah>Royal Academy of Dramatic Art>Doctor Who>London"
"Robert Jankel";"Robert Jankel>England>London"
"James Redhouse";"James Redhouse>American Board of Commissioners for Foreign Missions>Athens>London"
"Nick Philip";"Nick Philip>Charles Uzzell Edwards>Amsterdam>London"
"Alice Temple";"Alice Temple>Brother Beyond>England>London"
"Peter Milligan";"Peter Milligan>X-Force>Professor X>London"
"Justin Wintle";"Justin Wintle>Julian Wintle>England>London"
"Benjamin Brecknell Turner";"Benjamin Brecknell Turner>watercolour>British English>London"
"Russell Stannard";"Russell Stannard>physicist>Ibn al-Haytham>London"
"Edward Romilly";"Edward Romilly>Porthkerry>Doctor Who>London"
"William Keasberry";"William Keasberry>Bath, Somerset>England>London"
"Henry Cecil Leon";"Henry Cecil Leon>Call to the Bar>Common law>London"
"Thomas Playfere";"Thomas Playfere>Kent>Archbishop of Canterbury>London"
"Aamer Haleem";"Aamer Haleem>Canadians>British Isles>London"
"Jean Ure";"Jean Ure>English people>England>London"
"Judy Leden";"Judy Leden>Cardiff>London"
"Scarlett Strallen";"Scarlett Strallen>The Arts Educational Schools London>England>London"
"Edward Stone Parker";"Edward Stone Parker>New South Wales>Admiralty>London"
"Brent Rickles";"Brent Rickles was not a valid article"
"Adrian Baker";"Adrian Baker>Europe>London"
"Coral Amiga";"Coral Amiga>television series>EastEnders>London"
"William Vaughan (bishop)";"William Vaughan (bishop)>The Right Reverend>Anglican Communion>London"
"Harry Freedman (author)";"Harry Freedman (author)>United Kingdom>Cornish language>London"
"Rusty Egan";"Rusty Egan>Punk rock>Drum kit>London"
"Andrew Bell (minister)";"Andrew Bell (minister)>Legislative Assembly of Upper Canada>Dublin>London"
"Jonathan Wilkins";"Jonathan Wilkins>World Dance Council>Edinburgh>London"
"Charles Frodsham";"Charles Frodsham>United Kingdom of Great Britain and Ireland>British Empire>London"
"Frank Pearson";"Frank Pearson>Australia>Federalism>London"
"William Mattieu Williams";"William Mattieu Williams>Lambeth>Archbishop of Canterbury>London"
"Alan Littlejohn";"Alan Littlejohn>England>London"
"Frank Sayers";"Frank Sayers>St Margaret Pattens>City of London>London"
"Benjamin Pine";"Benjamin Pine>Gold Coast (British colony)>Colonialism>London"
"John William Mellor";"John William Mellor>Barrister>London"
"Thomas Wroth (politician, 17th century)";"Thomas Wroth (politician, 17th century)>House of Commons of England>England>London"
"Gerard Hemsworth";"Gerard Hemsworth>painting>British Museum>London"
"Geoffrey Stevens (journalist)";"Geoffrey Stevens (journalist)>London, Ontario>England>London"
"Charles Hastings Doyle";"Charles Hastings Doyle>Charles Tupper>London"
"Richard Corbould";"Richard Corbould>National Maritime Museum>Belfast>London"
"Frederic Bayco";"Frederic Bayco>Royal College of Organists>City of London>London"
"David Parry (folk musician)";"David Parry (folk musician)>England>London"
"Mark Stone (baritone)";"Mark Stone (baritone)>Barcelona>London"
"James William Wallack";"James William Wallack>England>London"
"Timothy Foote";"Timothy Foote>New York (state)>City>London"
"Edward Alfred Cowper";"Edward Alfred Cowper>England>London"
"Jeremy Holmes";"Jeremy Holmes>New Scientist>British English>London"
"Deepa Kaul";"Deepa Kaul>The Guardian>Clement Attlee>London"
"Thomas E. Wilson";"Thomas E. Wilson>The New York Times>Chicago>London"
"Stephen Griew";"Stephen Griew>Athabasca University>England>London"
"Thomas Taylor (neoplatonist)";"Thomas Taylor (neoplatonist)>Acropolis of Athens>Athens>London"
"Henry W. Lee";"Henry W. Lee>United Kingdom>Cornish language>London"
"Lawrence Walford";"Lawrence Walford>The Restoration Man>Cardiff>London"
"E. W. Dickes";"E. W. Dickes>Admiralty>London"
"Toby Cockerell";"Toby Cockerell>England>London"
"Joan Vincent Murray";"Joan Vincent Murray>The New School>Europe>London"
"Neil Zakiewicz";"Neil Zakiewicz>Dublin>London"
"Arthur Wakefield";"Arthur Wakefield>Essex>England>London"
"Symeon Cosburn";"Symeon Cosburn>England>London"
"Alain de Cadenet";"Alain de Cadenet>ESPN>BT Group>London"
"Richard West (journalist)";"Richard West (journalist)>Yugoslavia>European Union>London"
"Desi Williams";"Desi Williams>England>London"
"Malcolm Cecil";"Malcolm Cecil>jazz>Drum kit>London"
"Harry Calvert";"Harry Calvert>Berlin>London"
"Charles Ejogo";"Charles Ejogo>BT Group>London"
"Thomas Adams (musician)";"Thomas Adams (musician)>England>London"
"Alaric Alexander Watts";"Alaric Alexander Watts>George Hamilton-Gordon, 4th Earl of Aberdeen>Arthur Wellesley, 1st Duke of Wellington>London"
"Victor Henny";"Victor Henny>Salatiga>Borneo>London"
"Charles Dixon (ornithologist)";"Charles Dixon (ornithologist)>English people>England>London"
"Geoffrey Acland";"Geoffrey Acland>British people>British Isles>London"
"Tim Benjamin";"Tim Benjamin>composer>Classical period (music)>London"
"Henry Neele";"Henry Neele>attorney at law>Common law>London"
"George FitzGeorge";"George FitzGeorge>Lucerne>Chicago>London"
"Thomas Morton Harper";"Thomas Morton Harper>England>London"
"Henry Dawe";"Henry Dawe>Kentish Town>Campaign for Real Ale>London"
"Matthew Price";"Matthew Price>England>London"
"Laurie Allan";"Laurie Allan>English people>England>London"
"Edmund Hobhouse";"Edmund Hobhouse>New Zealand>Fiji>London"
"Johnny Mowlem";"Johnny Mowlem>Ecurie Ecosse>Edinburgh>London"
"Richard Vale";"Richard Vale>England>London"
"Terry Byrne";"Terry Byrne>Chelsea F.C.>London"
"Antonia Okonma";"Antonia Okonma>Bad Girls (TV series)>Amsterdam>London"
"Ursula Hoff";"Ursula Hoff>British Museum>London"
"Mary Rose Young";"Mary Rose Young>United Kingdom>Cornish language>London"
"Neville Maxwell";"Neville Maxwell>McGill University>British Columbia>London"
"Steven Alexander";"Steven Alexander>New York University>Berlin>London"
"Sebastian Dacey";"Sebastian Dacey>Berlin>London"
"George Stone (bishop)";"George Stone (bishop)>The Most Reverend>Anglican Communion>London"
"Alison Waters";"Alison Waters>England>London"
"Robert Bourne (developer)";"Robert Bourne (developer)>entrepreneur>Corporation>London"
