"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Jeff Merkley (D)";"Jeff Merkley>Ron Wyden>Religion>Anarchism";"Jeff Merkley>Oregon>Judaism>Antisemitism";"Jeff Merkley>Afghanistan>Capitalism";"Jeff Merkley>Oregon>Alaska>Christianity";"Jeff Merkley>Afghanistan>Communism";"Jeff Merkley>Republican Party (United States)>Conservatism";"Jeff Merkley>Oregon>Separation of powers>Democracy";"Jeff Merkley>Afghanistan>Fascism";"Jeff Merkley>LGBT>Feminism";"Jeff Merkley>Gordon H. Smith>Racial segregation>Islamophobia";"Jeff Merkley>Oregon>World War II>Left-wing politics";"Jeff Merkley>Oregon>Separation of powers>Liberalism";"Jeff Merkley>Oregon>Christianity>Marxism";"Jeff Merkley>Afghanistan>Nationalism";"Jeff Merkley>Oregon>Amazon (company)>Neo-Nazism";"Jeff Merkley>Oregon>California>Protestantism";"Jeff Merkley>Republican Party (United States)>Right-wing politics";"Jeff Merkley>Oregon>United Kingdom>Secularism";"Jeff Merkley>Oregon>Montana>Socialism";"Jeff Merkley>Afghanistan>White supremacy"
"Ron Wyden (D)";"Ron Wyden>Religion>Anarchism";"Ron Wyden>Judaism>Antisemitism";"Ron Wyden>Jeff Merkley>Afghanistan>Capitalism";"Ron Wyden>Oregon>Alaska>Christianity";"Ron Wyden>Jeff Merkley>Afghanistan>Communism";"Ron Wyden>Nazi Germany>Conservatism";"Ron Wyden>Singapore>Democracy";"Ron Wyden>Nazi Germany>Fascism";"Ron Wyden>Roe v. Wade>Feminism";"Ron Wyden>Orrin Hatch>American Nazi Party>Islamophobia";"Ron Wyden>Trade union>Left-wing politics";"Ron Wyden>Trade union>Liberalism";"Ron Wyden>Chile>Marxism";"Ron Wyden>Judaism>Nationalism";"Ron Wyden>Nazi Germany>Neo-Nazism";"Ron Wyden>Judaism>Protestantism";"Ron Wyden>The Washington Times>Right-wing politics";"Ron Wyden>Judaism>Secularism";"Ron Wyden>Trade union>Socialism";"Ron Wyden>Trent Lott>White supremacy"
"Bob Casey Jr. (D)";"Bob Casey Jr.>Libertarian Party (United States)>Anarchism";"Bob Casey Jr.>Hezbollah>Antisemitism";"Bob Casey Jr.>Pennsylvania>Netherlands>Capitalism";"Bob Casey Jr.>European Union>Christianity";"Bob Casey Jr.>American Civil Liberties Union>Communism";"Bob Casey Jr.>Supreme Court of the United States>Conservatism";"Democracy was not a valid article";"Bob Casey Jr.>Republican Party (United States)>Fascism";"Bob Casey Jr.>Roe v. Wade>Feminism";"Bob Casey Jr.>Pennsylvania>Freedom of religion>Islamophobia";"Bob Casey Jr.>Pennsylvania>Green Party of the United States>Left-wing politics";"Bob Casey Jr.>Supreme Court of the United States>Liberalism";"Bob Casey Jr.>Rick Santorum>Islamism>Marxism";"Bob Casey Jr.>Pennsylvania>Benjamin Franklin>Nationalism";"Bob Casey Jr.>American Civil Liberties Union>Neo-Nazism";"Bob Casey Jr.>Pennsylvania>Delaware>Protestantism";"Bob Casey Jr.>Republican Party (United States)>Right-wing politics";"Bob Casey Jr.>Pennsylvania>Freedom of religion>Secularism";"Bob Casey Jr.>Minimum wage>Socialism";"Bob Casey Jr.>Pennsylvania>African Americans>White supremacy"
"Pat Toomey (R)";"Pat Toomey>Pennsylvania>Benjamin Franklin>Anarchism";"Pat Toomey>Pennsylvania>Freedom of religion>Antisemitism";"Pat Toomey>Pennsylvania>Netherlands>Capitalism";"Pat Toomey>Pennsylvania>African Americans>Christianity";"Pat Toomey>Pennsylvania>Benjamin Franklin>Communism";"Pat Toomey>Republican Party (United States)>Conservatism";"Pat Toomey>Pennsylvania>Benjamin Franklin>Democracy";"Pat Toomey>Republican Party (United States)>Fascism";"Pat Toomey>Pennsylvania>Multiculturalism>Feminism";"Pat Toomey>Pennsylvania>Freedom of religion>Islamophobia";"Pat Toomey>Pennsylvania>Green Party of the United States>Left-wing politics";"Pat Toomey>Pennsylvania>New Jersey>Liberalism";"Pat Toomey>Paul McHale>South America>Marxism";"Pat Toomey>Pennsylvania>Benjamin Franklin>Nationalism";"Pat Toomey>Bob Casey Jr.>American Civil Liberties Union>Neo-Nazism";"Pat Toomey>Pennsylvania>Delaware>Protestantism";"Pat Toomey>The Washington Times>Right-wing politics";"Pat Toomey>Pennsylvania>Freedom of religion>Secularism";"Pat Toomey>Pennsylvania>Benjamin Franklin>Socialism";"Pat Toomey>Pennsylvania>African Americans>White supremacy"
"Sheldon Whitehouse (D)";"Sheldon Whitehouse>Rhode Island>Industrial Revolution>Anarchism";"Sheldon Whitehouse>Barack Obama citizenship conspiracy theories>Antisemitism";"Sheldon Whitehouse>Rhode Island>American Revolution>Capitalism";"Sheldon Whitehouse>Rhode Island>African Americans>Christianity";"Sheldon Whitehouse>Rhode Island>Industrial Revolution>Communism";"Sheldon Whitehouse>Republican Party (United States)>Conservatism";"Sheldon Whitehouse>Rhode Island>American Revolution>Democracy";"Sheldon Whitehouse>Republican Party (United States)>Fascism";"Sheldon Whitehouse>Equal Rights Amendment>Feminism";"Sheldon Whitehouse>Rhode Island>Ku Klux Klan>Islamophobia";"Sheldon Whitehouse>Rhode Island>Ku Klux Klan>Left-wing politics";"Sheldon Whitehouse>Rhode Island>American Revolution>Liberalism";"Sheldon Whitehouse>Rhode Island>Industrial Revolution>Marxism";"Sheldon Whitehouse>Rhode Island>Abraham Lincoln>Nationalism";"Sheldon Whitehouse>Rhode Island>Ku Klux Klan>Neo-Nazism";"Sheldon Whitehouse>Rhode Island>Long Island>Protestantism";"Sheldon Whitehouse>Republican Party (United States)>Right-wing politics";"Sheldon Whitehouse>Rhode Island>American Revolution>Secularism";"Sheldon Whitehouse>Rhode Island>Industrial Revolution>Socialism";"Sheldon Whitehouse>Yale University>White supremacy"
"Jack Reed (Rhode Island politician) (D)";"Jack Reed (Rhode Island politician)>Rhode Island>Industrial Revolution>Anarchism";"Jack Reed (Rhode Island politician)>Rhode Island>Ku Klux Klan>Antisemitism";"Jack Reed (Rhode Island politician)>Rhode Island>American Revolution>Capitalism";"Jack Reed (Rhode Island politician)>Rhode Island>African Americans>Christianity";"Jack Reed (Rhode Island politician)>Rhode Island>Industrial Revolution>Communism";"Jack Reed (Rhode Island politician)>Rhode Island>Glorious Revolution>Conservatism";"Jack Reed (Rhode Island politician)>Rhode Island>American Revolution>Democracy";"Jack Reed (Rhode Island politician)>Rhode Island>American Revolution>Fascism";"Jack Reed (Rhode Island politician)>Rhode Island>Hartford, Connecticut>Feminism";"Jack Reed (Rhode Island politician)>Rhode Island>Ku Klux Klan>Islamophobia";"Jack Reed (Rhode Island politician)>Rhode Island>Ku Klux Klan>Left-wing politics";"Jack Reed (Rhode Island politician)>Rhode Island>American Revolution>Liberalism";"Jack Reed (Rhode Island politician)>Rhode Island>Industrial Revolution>Marxism";"Jack Reed (Rhode Island politician)>Rhode Island>Abraham Lincoln>Nationalism";"Jack Reed (Rhode Island politician)>Rhode Island>Ku Klux Klan>Neo-Nazism";"Jack Reed (Rhode Island politician)>Rhode Island>Long Island>Protestantism";"Jack Reed (Rhode Island politician)>Rhode Island>Republican Party (United States)>Right-wing politics";"Jack Reed (Rhode Island politician)>Rhode Island>American Revolution>Secularism";"Jack Reed (Rhode Island politician)>Rhode Island>Industrial Revolution>Socialism";"Jack Reed (Rhode Island politician)>Rhode Island>Abraham Lincoln>White supremacy"
"Lindsey Graham (R)";"Lindsey Graham>Libertarian Party (United States)>Anarchism";"Lindsey Graham>Al-Qaeda>Antisemitism";"Lindsey Graham>Afghanistan>Capitalism";"Lindsey Graham>South Carolina>Alabama>Christianity";"Lindsey Graham>Afghanistan>Communism";"Lindsey Graham>Republican Party (United States)>Conservatism";"Lindsey Graham>Libertarian Party (United States)>Anarchism>Democracy";"Lindsey Graham>Afghanistan>Fascism";"Lindsey Graham>Strom Thurmond>Racial segregation>Feminism";"Lindsey Graham>Al-Qaeda>Islamophobia";"Lindsey Graham>World War II>Left-wing politics";"Lindsey Graham>60 Minutes>Liberalism";"Lindsey Graham>Al-Qaeda>Marxism";"Lindsey Graham>Afghanistan>Nationalism";"Lindsey Graham>Tim Scott>American Civil Liberties Union>Neo-Nazism";"Lindsey Graham>Jerusalem>Protestantism";"Lindsey Graham>Republican Party (United States)>Right-wing politics";"Lindsey Graham>Libertarian Party (United States)>Ayn Rand>Secularism";"Lindsey Graham>Libertarian Party (United States)>Anarchism>Socialism";"Lindsey Graham>Afghanistan>White supremacy"
"Jim DeMint (R)";"Jim DeMint>The Heritage Foundation>Capitalism>Anarchism";"Jim DeMint>The Heritage Foundation>Center for American Progress>Antisemitism";"Jim DeMint>NATO>Capitalism";"Jim DeMint>The Heritage Foundation>Capitalism>Christianity";"Jim DeMint>NATO>Communism";"Jim DeMint>Republican Party (United States)>Conservatism";"Jim DeMint>The Heritage Foundation>Capitalism>Democracy";"Jim DeMint>NATO>Fascism";"Jim DeMint>The Heritage Foundation>Pat Robertson>Feminism";"Jim DeMint>Tim Scott>Al-Qaeda>Islamophobia";"Jim DeMint>Kosovo War>Left-wing politics";"Jim DeMint>Libya>Liberalism";"Jim DeMint>The Heritage Foundation>Capitalism>Marxism";"Jim DeMint>Kosovo War>Nationalism";"Jim DeMint>Tim Scott>American Civil Liberties Union>Neo-Nazism";"Jim DeMint>Ernest Hollings>African Americans>Protestantism";"Jim DeMint>Republican Party (United States)>Right-wing politics";"Jim DeMint>The Heritage Foundation>Culture war>Secularism";"Jim DeMint>The Heritage Foundation>Capitalism>Socialism";"Jim DeMint>NATO>White supremacy"
"Tim Scott (R)";"Tim Scott>South Carolina>John Locke>Anarchism";"Tim Scott>Al-Qaeda>Antisemitism";"Tim Scott>South Carolina>Utopia>Capitalism";"Tim Scott>Mark Sanford>Alabama>Christianity";"Tim Scott>American Civil Liberties Union>Communism";"Tim Scott>Republican Party (United States)>Conservatism";"Tim Scott>Political science>Democracy";"Tim Scott>Republican Party (United States)>Fascism";"Tim Scott>Mark Sanford>Green Party of the United States>Feminism";"Tim Scott>Al-Qaeda>Islamophobia";"Tim Scott>South Carolina>Free trade>Left-wing politics";"Tim Scott>South Carolina>John Locke>Liberalism";"Tim Scott>Al-Qaeda>Marxism";"Tim Scott>South Carolina>John Locke>Nationalism";"Tim Scott>American Civil Liberties Union>Neo-Nazism";"Tim Scott>Arkansas>Protestantism";"Tim Scott>Republican Party (United States)>Right-wing politics";"Tim Scott>South Carolina>John Locke>Secularism";"Tim Scott>South Carolina>John Locke>Socialism";"Tim Scott>Reconstruction era>White supremacy"
"Tim Johnson (South Dakota politician)";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article";"Tim Johnson (South Dakota was not a valid article"
