"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Tom Rooney (R)";"Tom Rooney>Tom Rooney (Florida politician)>Philadelphia>Athens>Anarchism";"Tom Rooney>Tom Rooney (Florida politician)>McCarthyism>Antisemitism";"Tom Rooney>Tom Rooney (Florida politician)>NATO>Capitalism";"Tom Rooney>Tom Rooney (Florida politician)>Florida>Alabama>Christianity";"Tom Rooney>Tom Rooney (Florida politician)>NATO>Communism";"Tom Rooney>Tom Rooney (Florida politician)>Republican Party (United States)>Conservatism";"Tom Rooney>Tom Rooney (Florida politician)>Political science>Democracy";"Tom Rooney>Tom Rooney (Florida politician)>Republican Party (United States)>Fascism";"Tom Rooney>Tom Rooney (Florida politician)>McCarthyism>Feminism";"Tom Rooney>Tom Rooney (Florida politician)>Muslim Brotherhood>Islamophobia";"Tom Rooney>Tom Rooney (Florida politician)>Tim Mahoney>Blue Dog Coalition>Left-wing politics";"Tom Rooney>Tom Rooney (Florida politician)>Philadelphia>American Revolution>Liberalism";"Tom Rooney>Tom Rooney (Florida politician)>Florida>Fidel Castro>Marxism";"Tom Rooney>Tom Rooney (Florida politician)>Florida>James Madison>Nationalism";"Tom Rooney>Tom Rooney (Florida politician)>United States>Henry Ford>Neo-Nazism";"Tom Rooney>Tom Rooney (Florida politician)>Florida>California>Protestantism";"Tom Rooney>Tom Rooney (Florida politician)>Republican Party (United States)>Right-wing politics";"Tom Rooney>Tom Rooney (Florida politician)>Muslim Brotherhood>Secularism";"Tom Rooney>Tom Rooney (Florida politician)>Florida>James Madison>Socialism";"Tom Rooney>Tom Rooney (Florida politician)>NATO>White supremacy"
"Frederica Wilson (D)";"Frederica Wilson>Miami>Chicago>Anarchism";"Frederica Wilson>The New York Times>Antisemitism";"Frederica Wilson>Florida>Colonialism>Capitalism";"Frederica Wilson>Florida>Alabama>Christianity";"Frederica Wilson>Democratic Party (United States)>Left-wing politics>Communism";"Frederica Wilson>Florida>Republican Party (United States)>Conservatism";"Frederica Wilson>Florida>James Madison>Democracy";"Frederica Wilson>Florida>Republican Party (United States)>Fascism";"Frederica Wilson>Kendrick Meek>Affirmative action>Feminism";"Frederica Wilson>Florida>Camden County, Georgia>Islamophobia";"Frederica Wilson>Miami>Ku Klux Klan>Left-wing politics";"Frederica Wilson>Miami>Christianity>Liberalism";"Frederica Wilson>Florida>Fidel Castro>Marxism";"Frederica Wilson>Florida>James Madison>Nationalism";"Frederica Wilson>Miami>Ku Klux Klan>Neo-Nazism";"Frederica Wilson>Florida>California>Protestantism";"Frederica Wilson>Florida>Republican Party (United States)>Right-wing politics";"Frederica Wilson>Miami>Christianity>Secularism";"Frederica Wilson>Florida>James Madison>Socialism";"Frederica Wilson>Florida>Louisiana>White supremacy"
"Ileana Ros-Lehtinen (R)";"Ileana Ros-Lehtinen>Ed Royce>Privatization>Anarchism";"Ileana Ros-Lehtinen>Hate crime>Antisemitism";"Ileana Ros-Lehtinen>Jimmy Carter>Capitalism";"Ileana Ros-Lehtinen>Florida>Alabama>Christianity";"Ileana Ros-Lehtinen>Jimmy Carter>Communism";"Ileana Ros-Lehtinen>Republican Party (United States)>Conservatism";"Ileana Ros-Lehtinen>Sudan>Democracy";"Ileana Ros-Lehtinen>Jimmy Carter>Fascism";"Ileana Ros-Lehtinen>LGBT>Feminism";"Ileana Ros-Lehtinen>Hate crime>Islamophobia";"Ileana Ros-Lehtinen>Claude Pepper>World War II>Left-wing politics";"Ileana Ros-Lehtinen>Claude Pepper>Joseph Stalin>Liberalism";"Ileana Ros-Lehtinen>Sudan>Marxism";"Ileana Ros-Lehtinen>Fidel Castro>Nationalism";"Ileana Ros-Lehtinen>United States House of Representatives>List of political parties in the United States>Neo-Nazism";"Ileana Ros-Lehtinen>Florida>California>Protestantism";"Ileana Ros-Lehtinen>Republican Party (United States)>Right-wing politics";"Ileana Ros-Lehtinen>Claude Pepper>Isaiah Berlin>Secularism";"Ileana Ros-Lehtinen>Florida>James Madison>Socialism";"Ileana Ros-Lehtinen>Hate crime>White supremacy"
"Ted Deutch (D)";"Ted Deutch>Bethlehem, Pennsylvania>Industrial Revolution>Anarchism";"Ted Deutch>Florida>Franklin D. Roosevelt>Antisemitism";"Ted Deutch>Florida>Colonialism>Capitalism";"Ted Deutch>Florida>Alabama>Christianity";"Ted Deutch>Bethlehem, Pennsylvania>Bethlehem>Communism";"Ted Deutch>Florida>Republican Party (United States)>Conservatism";"Ted Deutch>Florida>James Madison>Democracy";"Ted Deutch>Florida>Republican Party (United States)>Fascism";"Ted Deutch>Pennsylvania>Multiculturalism>Feminism";"Ted Deutch>Florida>Camden County, Georgia>Islamophobia";"Ted Deutch>University of Michigan>Left-wing politics";"Ted Deutch>Robert Wexler>Think tank>Liberalism";"Ted Deutch>Florida>Fidel Castro>Marxism";"Ted Deutch>Florida>James Madison>Nationalism";"Ted Deutch>Democratic Party (United States)>White supremacy>Neo-Nazism";"Ted Deutch>Florida>California>Protestantism";"Ted Deutch>Florida>Republican Party (United States)>Right-wing politics";"Ted Deutch>Robert Wexler>Judaism>Secularism";"Ted Deutch>Florida>James Madison>Socialism";"Ted Deutch>Florida>Louisiana>White supremacy"
"Debbie Wasserman Schultz (D)";"Debbie Wasserman Schultz>Tim Kaine>Libertarian Party (United States)>Anarchism";"Debbie Wasserman Schultz>Florida>Franklin D. Roosevelt>Antisemitism";"Debbie Wasserman Schultz>Florida>Colonialism>Capitalism";"Debbie Wasserman Schultz>Alabama>Christianity";"Debbie Wasserman Schultz>Tim Kaine>Capital punishment>Communism";"Debbie Wasserman Schultz>Arlen Specter>Conservatism";"Debbie Wasserman Schultz>Political science>Democracy";"Debbie Wasserman Schultz>Florida>Republican Party (United States)>Fascism";"Debbie Wasserman Schultz>Tim Kaine>Redlining>Feminism";"Debbie Wasserman Schultz>Florida>Camden County, Georgia>Islamophobia";"Debbie Wasserman Schultz>World War II>Left-wing politics";"Debbie Wasserman Schultz>Christianity>Liberalism";"Debbie Wasserman Schultz>Christianity>Marxism";"Debbie Wasserman Schultz>World War II>Nationalism";"Debbie Wasserman Schultz>New York City>Terrorism>Neo-Nazism";"Debbie Wasserman Schultz>Armageddon>Protestantism";"Debbie Wasserman Schultz>World War II>Right-wing politics";"Debbie Wasserman Schultz>Christianity>Secularism";"Debbie Wasserman Schultz>Christianity>Socialism";"Debbie Wasserman Schultz>Florida>Louisiana>White supremacy"
"Allen West (politician) (R)";"Allen West (politician)>Left-wing politics>Anarchism";"Allen West (politician)>Florida>Franklin D. Roosevelt>Antisemitism";"Allen West (politician)>Left-wing politics>Capitalism";"Allen West (politician)>Florida>Alabama>Christianity";"Allen West (politician)>John Stuart Mill>Communism";"Allen West (politician)>John Stuart Mill>Conservatism";"Allen West (politician)>John Stuart Mill>Democracy";"Allen West (politician)>John Stuart Mill>Fascism";"Allen West (politician)>Left-wing politics>Feminism";"Allen West (politician)>Muhammad>Islamophobia";"Allen West (politician)>Palestine Liberation Organization>Left-wing politics";"Allen West (politician)>John Stuart Mill>Liberalism";"Allen West (politician)>Left-wing politics>Marxism";"Allen West (politician)>Left-wing politics>Nationalism";"Allen West (politician)>Atlanta>Leo Frank>Neo-Nazism";"Allen West (politician)>Florida>California>Protestantism";"Allen West (politician)>Left-wing politics>Right-wing politics";"Allen West (politician)>John Stuart Mill>Secularism";"Allen West (politician)>John Stuart Mill>Socialism";"Allen West (politician)>Vietnam War>White supremacy"
"Alcee Hastings (D)";"Alcee Hastings>Democratic Party (United States)>Thomas Jefferson>Anarchism";"Alcee Hastings>Florida>Franklin D. Roosevelt>Antisemitism";"Alcee Hastings>Jimmy Carter>Capitalism";"Alcee Hastings>Florida>Alabama>Christianity";"Alcee Hastings>Jimmy Carter>Communism";"Alcee Hastings>Supreme Court of the United States>Conservatism";"Alcee Hastings>Florida>James Madison>Democracy";"Alcee Hastings>Jimmy Carter>Fascism";"Alcee Hastings>Altamonte Springs, Florida>Marriage>Feminism";"Alcee Hastings>Florida>Camden County, Georgia>Islamophobia";"Alcee Hastings>Blue Dog Coalition>Left-wing politics";"Alcee Hastings>Supreme Court of the United States>Liberalism";"Alcee Hastings>Florida>Fidel Castro>Marxism";"Alcee Hastings>Florida>James Madison>Nationalism";"Alcee Hastings>Democratic Party (United States)>White supremacy>Neo-Nazism";"Alcee Hastings>Florida>California>Protestantism";"Alcee Hastings>Republican Party (United States)>Right-wing politics";"Alcee Hastings>Democratic Party (United States)>Thomas Jefferson>Secularism";"Alcee Hastings>Florida>James Madison>Socialism";"Alcee Hastings>Jimmy Carter>White supremacy"
"Sandy Adams (R)";"Sandy Adams>Tom Feeney>Conservatism>Anarchism";"Sandy Adams>Florida>Franklin D. Roosevelt>Antisemitism";"Sandy Adams>Florida>Colonialism>Capitalism";"Sandy Adams>Alaska>Christianity";"Sandy Adams>Tom Feeney>Conservatism>Communism";"Sandy Adams>Republican Party (United States)>Conservatism";"Sandy Adams>Florida>James Madison>Democracy";"Sandy Adams>Republican Party (United States)>Fascism";"Sandy Adams>Tom Feeney>Conservatism>Feminism";"Sandy Adams>Florida>Camden County, Georgia>Islamophobia";"Sandy Adams>Tom Feeney>Conservatism>Left-wing politics";"Sandy Adams>Tom Feeney>Conservatism>Liberalism";"Sandy Adams>Florida>Fidel Castro>Marxism";"Sandy Adams>Florida>James Madison>Nationalism";"Sandy Adams>Wyandotte, Michigan>Henry Ford>Neo-Nazism";"Sandy Adams>Florida>California>Protestantism";"Sandy Adams>Republican Party (United States)>Right-wing politics";"Sandy Adams>Tom Feeney>Conservatism>Secularism";"Sandy Adams>Florida>James Madison>Socialism";"Sandy Adams>Florida>Louisiana>White supremacy"
"David Rivera (R)";"David Rivera>New York City, New York>Manhattan>Anarchism";"David Rivera>New York City, New York>Statue of Liberty>Antisemitism";"David Rivera>New York City, New York>Netherlands>Capitalism";"David Rivera>New York City, New York>Asia>Christianity";"David Rivera>New York City, New York>Manhattan>Communism";"David Rivera>Republican Party (United States)>Conservatism";"David Rivera>Political science>Democracy";"David Rivera>Republican Party (United States)>Fascism";"David Rivera>New York City, New York>Slavery>Feminism";"David Rivera>New York City, New York>Slavery>Islamophobia";"David Rivera>New York City, New York>World War II>Left-wing politics";"David Rivera>Mario Diaz-Balart>El Salvador>Liberalism";"David Rivera>Mario Diaz-Balart>Fidel Castro>Marxism";"David Rivera>Mario Diaz-Balart>Fidel Castro>Nationalism";"David Rivera>New York City, New York>Terrorism>Neo-Nazism";"David Rivera>New York City, New York>Long Island>Protestantism";"David Rivera>Republican Party (United States)>Right-wing politics";"David Rivera>Mario Diaz-Balart>United Kingdom>Secularism";"David Rivera>New York City, New York>Benjamin Franklin>Socialism";"David Rivera>Mario Diaz-Balart>Fidel Castro>White supremacy"
"Jack Kingston (R)";"Jack Kingston>Dennis Hastert>Philosophy of education>Anarchism";"Jack Kingston>Dennis Hastert>The New York Times>Antisemitism";"Jack Kingston>Economics>Capitalism";"Jack Kingston>Georgia (U.S. state)>Alabama>Christianity";"Jack Kingston>Jimmy Carter>Communism";"Jack Kingston>Republican Party (United States)>Conservatism";"Jack Kingston>Dennis Hastert>Lithuania>Democracy";"Jack Kingston>Jimmy Carter>Fascism";"Jack Kingston>Dennis Hastert>Philosophy of education>Feminism";"Jack Kingston>Dennis Hastert>Al-Qaeda>Islamophobia";"Jack Kingston>Dennis Hastert>Plan Colombia>Left-wing politics";"Jack Kingston>Georgia (U.S. state)>American Revolution>Liberalism";"Jack Kingston>Dennis Hastert>Al-Qaeda>Marxism";"Jack Kingston>Bryan, Texas>Cooking>Nationalism";"Jack Kingston>Dennis Hastert>American Civil Liberties Union>Neo-Nazism";"Jack Kingston>Dennis Hastert>Arkansas>Protestantism";"Jack Kingston>Republican Party (United States)>Right-wing politics";"Jack Kingston>Georgia (U.S. state)>American Revolution>Secularism";"Jack Kingston>Dennis Hastert>Federal Bureau of Investigation>Socialism";"Jack Kingston>Jimmy Carter>White supremacy"
