"x-entity";"Edith Wilson";"Florence Harding";"Grace Coolidge";"Lou Henry Hoover";"Eleanor Roosevelt";"Bess Truman";"Mamie Eisenhower";"Jacqueline Kennedy Onassis";"Lady Bird Johnson";"Pat Nixon";"Betty Ford";"Rosalynn Carter";"Nancy Reagan";"Barbara Bush";"Hillary Clinton";"Laura Bush";"Michelle Obama"
"Woodrow Wilson";"Woodrow Wilson>League of Nations>Edith Wilson";"Woodrow Wilson>Warren G. Harding>Florence Harding";"Woodrow Wilson>Edith Wilson>Grace Coolidge";"Woodrow Wilson>Herbert Hoover>Lou Henry Hoover";"Woodrow Wilson>Franklin D. Roosevelt>Eleanor Roosevelt";"Woodrow Wilson>Edith Wilson>Bess Truman";"Woodrow Wilson>Edith Wilson>Mamie Eisenhower";"Woodrow Wilson>William Randolph Hearst>Jacqueline Kennedy Onassis";"Woodrow Wilson>Edith Wilson>Lady Bird Johnson";"Woodrow Wilson>Twenty-fifth Amendment to the United States Constitution>Pat Nixon";"Woodrow Wilson>Franklin D. Roosevelt>Betty Ford";"Woodrow Wilson>Edith Wilson>Rosalynn Carter";"Woodrow Wilson>Edith Wilson>Nancy Reagan";"Woodrow Wilson>Edith Wilson>Barbara Bush";"Woodrow Wilson>Andrew Jackson>Hillary Clinton";"Woodrow Wilson>Edith Wilson>Laura Bush";"Woodrow Wilson>Princeton University>Michelle Obama"
"Warren G. Harding";"Warren G. Harding>League of Nations>Edith Wilson";"Warren G. Harding>Florence Harding";"Warren G. Harding>Calvin Coolidge>Grace Coolidge";"Warren G. Harding>Herbert Hoover>Lou Henry Hoover";"Warren G. Harding>Franklin D. Roosevelt>Eleanor Roosevelt";"Warren G. Harding>Florence Harding>Bess Truman";"Warren G. Harding>Florence Harding>Mamie Eisenhower";"Warren G. Harding>Arlington National Cemetery>Jacqueline Kennedy Onassis";"Warren G. Harding>Florence Harding>Lady Bird Johnson";"Warren G. Harding>Watergate scandal>Pat Nixon";"Warren G. Harding>Franklin D. Roosevelt>Betty Ford";"Warren G. Harding>Florence Harding>Rosalynn Carter";"Warren G. Harding>Florence Harding>Nancy Reagan";"Warren G. Harding>Florence Harding>Barbara Bush";"Warren G. Harding>Charles Evans Hughes>Hillary Clinton";"Warren G. Harding>Florence Harding>Laura Bush";"Warren G. Harding>Lincoln Memorial>Michelle Obama"
"Calvin Coolidge";"Calvin Coolidge>League of Nations>Edith Wilson";"Calvin Coolidge>Warren G. Harding>Florence Harding";"Calvin Coolidge>Grace Coolidge";"Calvin Coolidge>Herbert Hoover>Lou Henry Hoover";"Calvin Coolidge>Franklin D. Roosevelt>Eleanor Roosevelt";"Calvin Coolidge>Grace Coolidge>Bess Truman";"Calvin Coolidge>Grace Coolidge>Mamie Eisenhower";"Calvin Coolidge>White House>Jacqueline Kennedy Onassis";"Calvin Coolidge>Grace Coolidge>Lady Bird Johnson";"Calvin Coolidge>Vice President of the United States>Pat Nixon";"Calvin Coolidge>Franklin D. Roosevelt>Betty Ford";"Calvin Coolidge>White House>Rosalynn Carter";"Calvin Coolidge>Northampton, Massachusetts>Nancy Reagan";"Calvin Coolidge>Northampton, Massachusetts>Barbara Bush";"Calvin Coolidge>Charles Evans Hughes>Hillary Clinton";"Calvin Coolidge>White House>Laura Bush";"Calvin Coolidge>Grace Coolidge>Michelle Obama"
"Herbert Hoover";"Herbert Hoover>League of Nations>Edith Wilson";"Herbert Hoover>Warren G. Harding>Florence Harding";"Herbert Hoover>Calvin Coolidge>Grace Coolidge";"Herbert Hoover>Georgius Agricola>Lou Henry Hoover";"Herbert Hoover>Franklin D. Roosevelt>Eleanor Roosevelt";"Herbert Hoover>Lyndon B. Johnson>Bess Truman";"Herbert Hoover>Dwight D. Eisenhower>Mamie Eisenhower";"Herbert Hoover>Assassination of John F. Kennedy>Jacqueline Kennedy Onassis";"Herbert Hoover>Lyndon B. Johnson>Lady Bird Johnson";"Herbert Hoover>Dwight D. Eisenhower>Pat Nixon";"Herbert Hoover>Dwight D. Eisenhower>Betty Ford";"Herbert Hoover>Jimmy Carter>Rosalynn Carter";"Herbert Hoover>George H. W. Bush>Nancy Reagan";"Herbert Hoover>George H. W. Bush>Barbara Bush";"Herbert Hoover>Charles Evans Hughes>Hillary Clinton";"Herbert Hoover>George H. W. Bush>Laura Bush";"Herbert Hoover>Lou Henry Hoover>Michelle Obama"
"Franklin D. Roosevelt";"Franklin D. Roosevelt>League of Nations>Edith Wilson";"Franklin D. Roosevelt>Warren G. Harding>Florence Harding";"Franklin D. Roosevelt>Calvin Coolidge>Grace Coolidge";"Franklin D. Roosevelt>Herbert Hoover>Lou Henry Hoover";"Franklin D. Roosevelt>Eleanor Roosevelt";"Franklin D. Roosevelt>Lyndon B. Johnson>Bess Truman";"Franklin D. Roosevelt>Dwight D. Eisenhower>Mamie Eisenhower";"Franklin D. Roosevelt>White House>Jacqueline Kennedy Onassis";"Franklin D. Roosevelt>Lyndon B. Johnson>Lady Bird Johnson";"Franklin D. Roosevelt>Dwight D. Eisenhower>Pat Nixon";"Franklin D. Roosevelt>Chiang Kai-shek>Betty Ford";"Franklin D. Roosevelt>White House>Rosalynn Carter";"Franklin D. Roosevelt>Alf Landon>Nancy Reagan";"Franklin D. Roosevelt>Robert A. Taft>Barbara Bush";"Franklin D. Roosevelt>Charles Evans Hughes>Hillary Clinton";"Franklin D. Roosevelt>White House>Laura Bush";"Franklin D. Roosevelt>Chicago>Michelle Obama"
"Harry S. Truman";"Harry S. Truman>Woodrow Wilson>Edith Wilson";"Harry S. Truman>Bess Truman>Florence Harding";"Harry S. Truman>Calvin Coolidge>Grace Coolidge";"Harry S. Truman>Herbert Hoover>Lou Henry Hoover";"Harry S. Truman>Franklin D. Roosevelt>Eleanor Roosevelt";"Harry S. Truman>Marshall Plan>Bess Truman";"Harry S. Truman>Dwight D. Eisenhower>Mamie Eisenhower";"Harry S. Truman>White House>Jacqueline Kennedy Onassis";"Harry S. Truman>Lyndon B. Johnson>Lady Bird Johnson";"Harry S. Truman>Dwight D. Eisenhower>Pat Nixon";"Harry S. Truman>Chiang Kai-shek>Betty Ford";"Harry S. Truman>White House>Rosalynn Carter";"Harry S. Truman>Richard Nixon>Nancy Reagan";"Harry S. Truman>Richard Nixon>Barbara Bush";"Harry S. Truman>Franklin D. Roosevelt>Hillary Clinton";"Harry S. Truman>White House>Laura Bush";"Harry S. Truman>Bess Truman>Michelle Obama"
"Dwight D. Eisenhower";"Dwight D. Eisenhower>Washington National Cathedral>Edith Wilson";"Dwight D. Eisenhower>Mamie Eisenhower>Florence Harding";"Dwight D. Eisenhower>Mamie Eisenhower>Grace Coolidge";"Dwight D. Eisenhower>Herbert Hoover>Lou Henry Hoover";"Dwight D. Eisenhower>Franklin D. Roosevelt>Eleanor Roosevelt";"Dwight D. Eisenhower>Marshall Plan>Bess Truman";"Dwight D. Eisenhower>Mamie Eisenhower";"Dwight D. Eisenhower>Metropolitan Museum of Art>Jacqueline Kennedy Onassis";"Dwight D. Eisenhower>Texas>Lady Bird Johnson";"Dwight D. Eisenhower>Camp David>Pat Nixon";"Dwight D. Eisenhower>Camp David>Betty Ford";"Dwight D. Eisenhower>Jimmy Carter>Rosalynn Carter";"Dwight D. Eisenhower>Richard Nixon>Nancy Reagan";"Dwight D. Eisenhower>Jimmy Carter>Barbara Bush";"Dwight D. Eisenhower>Arkansas>Hillary Clinton";"Dwight D. Eisenhower>White House>Laura Bush";"Dwight D. Eisenhower>Chicago>Michelle Obama"
"John F. Kennedy";"John F. Kennedy>Jacqueline Kennedy Onassis>Edith Wilson";"John F. Kennedy>Jacqueline Kennedy Onassis>Florence Harding";"John F. Kennedy>Jacqueline Kennedy Onassis>Grace Coolidge";"John F. Kennedy>Jacqueline Kennedy Onassis>Lou Henry Hoover";"John F. Kennedy>American Civil Liberties Union>Eleanor Roosevelt";"John F. Kennedy>Potsdam Conference>Bess Truman";"John F. Kennedy>Dwight D. Eisenhower>Mamie Eisenhower";"John F. Kennedy>Cuban Missile Crisis>Jacqueline Kennedy Onassis";"John F. Kennedy>J. Edgar Hoover>Lady Bird Johnson";"John F. Kennedy>Dwight D. Eisenhower>Pat Nixon";"John F. Kennedy>Dwight D. Eisenhower>Betty Ford";"John F. Kennedy>White House>Rosalynn Carter";"John F. Kennedy>Richard Nixon>Nancy Reagan";"John F. Kennedy>Richard Nixon>Barbara Bush";"John F. Kennedy>Franklin D. Roosevelt>Hillary Clinton";"John F. Kennedy>White House>Laura Bush";"John F. Kennedy>Chicago>Michelle Obama"
"Lyndon B. Johnson";"Lyndon B. Johnson>Lady Bird Johnson>Edith Wilson";"Lyndon B. Johnson>Lady Bird Johnson>Florence Harding";"Lyndon B. Johnson>Calvin Coolidge>Grace Coolidge";"Lyndon B. Johnson>Herbert Hoover>Lou Henry Hoover";"Lyndon B. Johnson>Franklin D. Roosevelt>Eleanor Roosevelt";"Lyndon B. Johnson>Bess Truman";"Lyndon B. Johnson>Dwight D. Eisenhower>Mamie Eisenhower";"Lyndon B. Johnson>Kennedy Space Center>Jacqueline Kennedy Onassis";"Lyndon B. Johnson>Austin, Texas>Lady Bird Johnson";"Lyndon B. Johnson>Dwight D. Eisenhower>Pat Nixon";"Lyndon B. Johnson>Apollo 8>Betty Ford";"Lyndon B. Johnson>Rosa Parks>Rosalynn Carter";"Lyndon B. Johnson>Christian Church (Disciples of Christ)>Nancy Reagan";"Lyndon B. Johnson>George H. W. Bush>Barbara Bush";"Lyndon B. Johnson>Austin, Texas>Hillary Clinton";"Lyndon B. Johnson>George H. W. Bush>Laura Bush";"Lyndon B. Johnson>Georgia (U.S. state)>Michelle Obama"
"Richard Nixon";"Richard Nixon>Nancy Reagan>Edith Wilson";"Richard Nixon>Nancy Reagan>Florence Harding";"Richard Nixon>Nancy Reagan>Grace Coolidge";"Richard Nixon>Nancy Reagan>Lou Henry Hoover";"Richard Nixon>Nancy Reagan>Eleanor Roosevelt";"Richard Nixon>Marshall Plan>Bess Truman";"Richard Nixon>Dwight D. Eisenhower>Mamie Eisenhower";"Richard Nixon>Cuban Missile Crisis>Jacqueline Kennedy Onassis";"Richard Nixon>J. Edgar Hoover>Lady Bird Johnson";"Richard Nixon>Camp David>Pat Nixon";"Richard Nixon>Bill Clinton>Betty Ford";"Richard Nixon>Bill Gates>Rosalynn Carter";"Richard Nixon>Bill Clinton>Nancy Reagan";"Richard Nixon>Bill Gates>Barbara Bush";"Richard Nixon>Bill Clinton>Hillary Clinton";"Richard Nixon>George H. W. Bush>Laura Bush";"Richard Nixon>Nancy Reagan>Michelle Obama"
