"";"Asmara";"Accra";"Kuala Lumpur";"Maputo";"Khartoum";"Harare";"Manila";"Riyadh";"Tashkent";"Hanoi";"Zagreb";"Rome";"Bucharest";"Madrid";"Bern";"Ottawa";"Port-au-Prince";"Amsterdam";"Kingstown";"Washington D.C.";"Canberra";"South Tarawa";"Wellington";"Honiara";"Port Vila";"Sucre";"Quito";"Georgetown Guyana";"Paramaribo";"Caracas"
"Eritrea";"Eritrea>History of Eritrea>Asmara";"Eritrea>Brazil>Accra";"Eritrea>Curry>Kuala Lumpur";"Eritrea>Addis Ababa>Maputo";"Eritrea>Sudan>Khartoum";"Eritrea>Ark of the Covenant>Harare";"Eritrea>World Health Organization>Manila";"Eritrea>Mecca>Riyadh";"Eritrea>Soviet Union>Tashkent";"Eritrea>Christianity>Asia>Hanoi";"Eritrea>Addis Ababa>Ankara>Zagreb";"Eritrea>Greek language>Rome";"Eritrea>Addis Ababa>Ankara>Bucharest";"Eritrea>United Nations>Madrid";"Eritrea>United Nations>Bern";"Eritrea>China>Foreign relations of Armenia>Ottawa";"Eritrea>Brazil>Foreign relations of Brazil>Port-au-Prince";"Eritrea>Tour de France>Amsterdam";"Eritrea>Brazil>Mexico City>Kingstown";"Eritrea>Arabic>Washington, D.C.";"Eritrea>Christianity>Art>Canberra";"Eritrea>India>Kiribati>South Tarawa";"Eritrea>North Korea>Appellate court>Wellington";"Eritrea>World War II>Darwin, Northern Territory>Honiara";"Eritrea>United Nations>New Caledonia>Port Vila";"Eritrea>Malaria>Andes>Sucre";"Eritrea>Malaria>Andes>Quito";"Eritrea>Brazil>Brasília>Georgetown, Guyana";"Eritrea>Brazil>Foreign relations of Brazil>Paramaribo";"Eritrea>Venezuela>Caracas"
"Ghana";"Ghana>Sub-Saharan Africa>Asmara";"Ghana>Brazil>Accra";"Ghana>Vancouver>Kuala Lumpur";"Ghana>Sub-Saharan Africa>Maputo";"Ghana>Sub-Saharan Africa>Khartoum";"Ghana>Sub-Saharan Africa>Harare";"Ghana>Hanoi>Manila";"Ghana>Hanoi>Riyadh";"Ghana>Hanoi>Tashkent";"Ghana>Hanoi";"Ghana>Republic>Ankara>Zagreb";"Ghana>Biotechnology>Rome";"Ghana>Kwame Nkrumah>Bucharest";"Ghana>FIFA World Cup>Madrid";"Ghana>FIFA World Cup>Bern";"Ghana>Taiwan>Foreign relations of Armenia>Ottawa";"Ghana>Tropical climate>Port-au-Prince";"Ghana>FIFA World Cup>Amsterdam";"Ghana>Brazil>Mexico City>Kingstown";"Ghana>Taiwan>Washington, D.C.";"Ghana>Black people>Canberra";"Ghana>Botswana>Kiribati>South Tarawa";"Ghana>Head of government>Wellington";"Ghana>Tropical climate>Honiara";"Ghana>French language>Foreign relations of France>Port Vila";"Ghana>Age of Discovery>Sucre";"Ghana>Capital city>Quito";"Ghana>Capital city>Georgetown, Guyana";"Ghana>Tropical climate>Paramaribo";"Ghana>Sub-Saharan Africa>Andes>Caracas"
"Malaysia";"Malaysia>World Heritage site>Asmara";"Malaysia>Food and Agriculture Organization>Accra";"Malaysia>Concrete>Kuala Lumpur";"Malaysia>Tropical climate>Maputo";"Malaysia>Food and Agriculture Organization>Ankara>Khartoum";"Malaysia>Food and Agriculture Organization>Harare";"Malaysia>Brunei>Manila";"Malaysia>Kuala Lumpur>Riyadh";"Malaysia>Kuala Lumpur>Tashkent";"Malaysia>Kuala Lumpur>Hanoi";"Malaysia>Food and Agriculture Organization>Ankara>Zagreb";"Malaysia>Food and Agriculture Organization>Rome";"Malaysia>Food and Agriculture Organization>Ankara>Bucharest";"Malaysia>Borneo>Madrid";"Malaysia>Commuter rail>Bern";"Malaysia>Labour Day>Ottawa";"Malaysia>Tropical climate>Port-au-Prince";"Malaysia>FIFA World Cup>Amsterdam";"Malaysia>Commuter rail>Mexico City>Kingstown";"Malaysia>Head of state>Abraham Lincoln>Washington, D.C.";"Malaysia>New South Wales>Canberra";"Malaysia>Oceania>South Tarawa";"Malaysia>Labour Day>Wellington";"Malaysia>Oceania>Honiara";"Malaysia>Oceania>Port Vila";"Malaysia>Micronesia>Andes>Sucre";"Malaysia>Micronesia>Andes>Quito";"Malaysia>Tropical climate>Georgetown, Guyana";"Malaysia>Tropical climate>Paramaribo";"Malaysia>Micronesia>Andes>Caracas"
"Mozambique";"Mozambique>Maputo>Asmara";"Mozambique>Afrobeat>Accra";"Mozambique>Non-Aligned Movement>Kuala Lumpur";"Mozambique>Lisbon>Maputo";"Mozambique>Organisation of African Unity>Khartoum";"Mozambique>Rhodesia>Harare";"Mozambique>Lisbon>Manila";"Mozambique>Organisation of Islamic Cooperation>Riyadh";"Mozambique>Soviet Union>Tashkent";"Mozambique>Organisation internationale de la Francophonie>Hanoi";"Mozambique>Europe>Zagreb";"Mozambique>Europe>Rome";"Mozambique>Europe>Bucharest";"Mozambique>Europe>Madrid";"Mozambique>Europe>Bern";"Mozambique>Mozambique Defence Armed Forces>Armored car (military)>Ottawa";"Mozambique>Brazil>Foreign relations of Brazil>Port-au-Prince";"Mozambique>Europe>Amsterdam";"Mozambique>Finland>Foreign relations of Finland>Kingstown";"Mozambique>Suffrage>Washington, D.C.";"Mozambique>Rhodesia>Canberra";"Mozambique>Reggae>Honolulu>South Tarawa";"Mozambique>Norway>Appellate court>Wellington";"Mozambique>Cuba>Foreign relations of Cuba>Honiara";"Mozambique>Reggae>Honolulu>Port Vila";"Mozambique>Europe>Andes>Sucre";"Mozambique>Lisbon>Quito";"Mozambique>Brazil>Brasília>Georgetown, Guyana";"Mozambique>Brazil>Foreign relations of Brazil>Paramaribo";"Mozambique>Lisbon>Caracas"
"Sudan";"Sudan>Coptic Orthodox Church of Alexandria>Asmara";"Sudan>Khartoum>Accra";"Sudan>British Empire>Asia>Kuala Lumpur";"Sudan>Khartoum>Maputo";"Sudan>Chad>Khartoum";"Sudan>Khartoum>Harare";"Sudan>British Empire>Asia>Manila";"Sudan>Khartoum>Riyadh";"Sudan>Torture>Tashkent";"Sudan>Basketball>Hanoi";"Sudan>Europe>Zagreb";"Sudan>Europe>Rome";"Sudan>Europe>Bucharest";"Sudan>Europe>Madrid";"Sudan>Europe>Bern";"Sudan>Parliament>Ottawa";"Sudan>Algeria>Cholera>Port-au-Prince";"Sudan>Democracy>Amsterdam";"Sudan>International Crisis Group>Guatemala City>Kingstown";"Sudan>Arabic>Washington, D.C.";"Sudan>Black people>Canberra";"Sudan>British Empire>Kiribati>South Tarawa";"Sudan>Militia>Wellington";"Sudan>Christianity>Oceania>Honiara";"Sudan>France>Foreign relations of France>Port Vila";"Sudan>Agriculture>Andes>Sucre";"Sudan>State of emergency>Quito";"Sudan>Khartoum>Brasília>Georgetown, Guyana";"Sudan>Khartoum>Brasília>Paramaribo";"Sudan>Agriculture>Andes>Caracas"
"Zimbabwe";"Zimbabwe>Harare>Asmara";"Zimbabwe>Mozambique>Accra";"Zimbabwe>Netball>Kuala Lumpur";"Zimbabwe>Mozambique>Maputo";"Zimbabwe>Sudan>Khartoum";"Zimbabwe>Rhodesia>Harare";"Zimbabwe>World Health Organization>Manila";"Zimbabwe>British Empire>Asia>Riyadh";"Zimbabwe>Soviet Union>Tashkent";"Zimbabwe>British Empire>Asia>Hanoi";"Zimbabwe>British Airways>Zagreb";"Zimbabwe>Europe>Rome";"Zimbabwe>Europe>Bucharest";"Zimbabwe>British Airways>Madrid";"Zimbabwe>Europe>Bern";"Zimbabwe>Lufthansa>BMW>Ottawa";"Zimbabwe>Cholera>Port-au-Prince";"Zimbabwe>Europe>Amsterdam";"Zimbabwe>Andy Flower>Brian Lara>Kingstown";"Zimbabwe>USA Today>Washington, D.C.";"Zimbabwe>Netball>Canberra";"Zimbabwe>Botswana>Kiribati>South Tarawa";"Zimbabwe>Rhodesia>Appellate court>Wellington";"Zimbabwe>Europe>Oceania>Honiara";"Zimbabwe>Deforestation>New Caledonia>Port Vila";"Zimbabwe>Europe>Andes>Sucre";"Zimbabwe>Europe>Andes>Quito";"Zimbabwe>Andy Flower>Brian Lara>Georgetown, Guyana";"Zimbabwe>Agence France-Presse>Brasília>Paramaribo";"Zimbabwe>Lufthansa>Caracas"
"Philippines";"Philippines>Art Deco>Asmara";"Philippines>Food and Agriculture Organization>Accra";"Philippines>Asia>Kuala Lumpur";"Philippines>United Nations>Algiers>Maputo";"Philippines>Asia>Ankara>Khartoum";"Philippines>Food and Agriculture Organization>Harare";"Philippines>Asia>Manila";"Philippines>Asia>Riyadh";"Philippines>Asia>Tashkent";"Philippines>Asia>Hanoi";"Philippines>German language>Zagreb";"Philippines>Food and Agriculture Organization>Rome";"Philippines>Asia>Ankara>Bucharest";"Philippines>Baroque>Madrid";"Philippines>United Nations>Bern";"Philippines>Americas>Ottawa";"Philippines>Earthquake>Port-au-Prince";"Philippines>Cycling>Amsterdam";"Philippines>Americas>Kingstown";"Philippines>Arabic>Washington, D.C.";"Philippines>Head of government>Canberra";"Philippines>Hawaii>Honolulu>South Tarawa";"Philippines>Art Deco>Wellington";"Philippines>Spanish-American War>Foreign relations of Cuba>Honiara";"Philippines>French language>Foreign relations of France>Port Vila";"Philippines>Americas>Sucre";"Philippines>Americas>Quito";"Philippines>Americas>Georgetown, Guyana";"Philippines>Americas>Paramaribo";"Philippines>Mandolin>Caracas"
"Saudi Arabia";"Saudi Arabia>Cairo>Asmara";"Saudi Arabia>Cairo>Accra";"Saudi Arabia>Asia>Kuala Lumpur";"Saudi Arabia>Cairo>Maputo";"Saudi Arabia>Baghdad>Khartoum";"Saudi Arabia>Cairo>Harare";"Saudi Arabia>Asia>Manila";"Saudi Arabia>Asia>Riyadh";"Saudi Arabia>Asia>Tashkent";"Saudi Arabia>Asia>Hanoi";"Saudi Arabia>Europe>Zagreb";"Saudi Arabia>Europe>Rome";"Saudi Arabia>Europe>Bucharest";"Saudi Arabia>Europe>Madrid";"Saudi Arabia>Europe>Bern";"Saudi Arabia>Cairo>Ottawa";"Saudi Arabia>China>Foreign relations of Brazil>Port-au-Prince";"Saudi Arabia>Europe>Amsterdam";"Saudi Arabia>Asia>North America>Kingstown";"Saudi Arabia>Arabic>Washington, D.C.";"Saudi Arabia>Christianity>Art>Canberra";"Saudi Arabia>Asia>Kiribati>South Tarawa";"Saudi Arabia>Roman Empire>Appellate court>Wellington";"Saudi Arabia>Asia>Oceania>Honiara";"Saudi Arabia>France>Foreign relations of France>Port Vila";"Saudi Arabia>Asia>Andes>Sucre";"Saudi Arabia>OPEC>Quito";"Saudi Arabia>Agence France-Presse>Brasília>Georgetown, Guyana";"Saudi Arabia>China>Foreign relations of Brazil>Paramaribo";"Saudi Arabia>Arab League>Caracas"
"Uzbekistan";"Uzbekistan>United Nations>Algiers>Asmara";"Uzbekistan>Washington, D.C.>Accra";"Uzbekistan>Organisation of Islamic Cooperation>Kuala Lumpur";"Uzbekistan>United Nations>Algiers>Maputo";"Uzbekistan>Organization for Security and Co-operation in Europe>Ankara>Khartoum";"Uzbekistan>United Nations>Algiers>Harare";"Uzbekistan>Guam>Manila";"Uzbekistan>Organisation of Islamic Cooperation>Riyadh";"Uzbekistan>Central Asia>Tashkent";"Uzbekistan>Basketball>Hanoi";"Uzbekistan>European Union>Zagreb";"Uzbekistan>European Union>Rome";"Uzbekistan>European Union>Bucharest";"Uzbekistan>European Union>Madrid";"Uzbekistan>Organization for Security and Co-operation in Europe>Bern";"Uzbekistan>Organization for Security and Co-operation in Europe>Ottawa";"Uzbekistan>Medecins Sans Frontieres>Port-au-Prince";"Uzbekistan>European Union>Amsterdam";"Uzbekistan>Washington, D.C.>Kingstown";"Uzbekistan>Washington, D.C.";"Uzbekistan>Independent city>Canberra";"Uzbekistan>Independent city>Honolulu>South Tarawa";"Uzbekistan>Russian Empire>Appellate court>Wellington";"Uzbekistan>Solar energy>Darwin, Northern Territory>Honiara";"Uzbekistan>Independent city>Honolulu>Port Vila";"Uzbekistan>Agriculture>Andes>Sucre";"Uzbekistan>Astronomy>Quito";"Uzbekistan>Independent city>Brasília>Georgetown, Guyana";"Uzbekistan>Russia>Foreign relations of Brazil>Paramaribo";"Uzbekistan>Independent city>Caracas"
"Vietnam";"Vietnam>World Heritage site>Asmara";"Vietnam>PricewaterhouseCoopers>Accra";"Vietnam>Singapore>Kuala Lumpur";"Vietnam>French Foreign Legion>Algiers>Maputo";"Vietnam>Mongolia>Ankara>Khartoum";"Vietnam>Non-Aligned Movement>Harare";"Vietnam>Philippines>Manila";"Vietnam>Singapore>Riyadh";"Vietnam>Pakistan>Tashkent";"Vietnam>Agent Orange>Hanoi";"Vietnam>European Union>Zagreb";"Vietnam>European Union>Rome";"Vietnam>European Union>Bucharest";"Vietnam>European Union>Madrid";"Vietnam>Socialism>Bern";"Vietnam>Mongolia>Ottawa";"Vietnam>China>Foreign relations of Brazil>Port-au-Prince";"Vietnam>European Union>Amsterdam";"Vietnam>Holy See>Foreign relations of Finland>Kingstown";"Vietnam>Hmong people>Washington, D.C.";"Vietnam>Mongolia>Canberra";"Vietnam>Indonesia>Kiribati>South Tarawa";"Vietnam>Thailand>Wellington";"Vietnam>Cuba>Foreign relations of Cuba>Honiara";"Vietnam>French language>Foreign relations of France>Port Vila";"Vietnam>Capital city>Sucre";"Vietnam>Capital city>Quito";"Vietnam>Capital city>Georgetown, Guyana";"Vietnam>China>Foreign relations of Brazil>Paramaribo";"Vietnam>Foreign relations of Vietnam>Caracas"
"Croatia";"Croatia>Italian language>Asmara";"Croatia>Koppen climate classification>Accra";"Croatia>Tourism>Kuala Lumpur";"Croatia>Koppen climate classification>Maputo";"Croatia>Koppen climate classification>Khartoum";"Croatia>Koppen climate classification>Harare";"Croatia>Royal Navy>Manila";"Croatia>Central Europe>Asia>Riyadh";"Croatia>Organization for Security and Co-operation in Europe>Tashkent";"Croatia>Richard Nixon>Hanoi";"Croatia>Austria-Hungary>Zagreb";"Croatia>Dialect>Rome";"Croatia>Austria-Hungary>Bucharest";"Croatia>Baroque>Madrid";"Croatia>La Tène culture>Bern";"Croatia>Organization for Security and Co-operation in Europe>Ottawa";"Croatia>Koppen climate classification>Port-au-Prince";"Croatia>European Union>Amsterdam";"Croatia>Koppen climate classification>Guatemala City>Kingstown";"Croatia>Richard Nixon>Washington, D.C.";"Croatia>Vienna>Canberra";"Croatia>Central Europe>Kiribati>South Tarawa";"Croatia>Roman Empire>Appellate court>Wellington";"Croatia>Koppen climate classification>Honiara";"Croatia>French language>Foreign relations of France>Port Vila";"Croatia>Central Europe>Andes>Sucre";"Croatia>Baroque architecture>Quito";"Croatia>Koppen climate classification>Georgetown, Guyana";"Croatia>Koppen climate classification>Paramaribo";"Croatia>Richard Nixon>Caracas"
"Italy";"Italy>Foreign relations of Italy>Asmara";"Italy>Portugal>Accra";"Italy>Far East>Kuala Lumpur";"Italy>Portugal>Maputo";"Italy>List of oldest universities in continuous operation>Khartoum";"Italy>List of oldest universities in continuous operation>Harare";"Italy>Far East>Manila";"Italy>Middle East>Riyadh";"Italy>Organization for Security and Co-operation in Europe>Tashkent";"Italy>Basketball>Hanoi";"Italy>Albanians>Zagreb";"Italy>Albania>Rome";"Italy>Albanians>Bucharest";"Italy>European Union>Madrid";"Italy>FIFA World Cup>Bern";"Italy>Foreign relations of Italy>Ottawa";"Italy>Koppen climate classification>Port-au-Prince";"Italy>Antonio Vivaldi>Amsterdam";"Italy>Holy See>Foreign relations of Finland>Kingstown";"Italy>Arabic>Washington, D.C.";"Italy>Foreign relations of Italy>Canberra";"Italy>Balkans>Kiribati>South Tarawa";"Italy>Foreign relations of Italy>Wellington";"Italy>Koppen climate classification>Honiara";"Italy>Charlemagne>Foreign relations of France>Port Vila";"Italy>Age of Discovery>Sucre";"Italy>Geographic coordinate system>Quito";"Italy>Koppen climate classification>Georgetown, Guyana";"Italy>Koppen climate classification>Paramaribo";"Italy>Foreign relations of Italy>Caracas"
"Romania";"Romania>Italian language>Asmara";"Romania>Portuguese language>Angola>Accra";"Romania>Winter Olympic Games>Kuala Lumpur";"Romania>Catalan language>Algiers>Maputo";"Romania>Arab world>Khartoum";"Romania>Tristan Tzara>Harare";"Romania>Royal Navy>Manila";"Romania>Wolf>Riyadh";"Romania>October Revolution>Tashkent";"Romania>Basketball>Hanoi";"Romania>Austria-Hungary>Zagreb";"Romania>Diego Maradona>Rome";"Romania>Austria-Hungary>Bucharest";"Romania>Brown bear>Madrid";"Romania>Brown bear>Bern";"Romania>Laser>Ottawa";"Romania>China>Foreign relations of Brazil>Port-au-Prince";"Romania>Baptists>Amsterdam";"Romania>Diego Maradona>Mexico City>Kingstown";"Romania>European Union>Washington, D.C.";"Romania>Tuberculosis>Art>Canberra";"Romania>Balkans>Kiribati>South Tarawa";"Romania>Roman Empire>Appellate court>Wellington";"Romania>World War II>Darwin, Northern Territory>Honiara";"Romania>French language>Foreign relations of France>Port Vila";"Romania>Balkans>Andes>Sucre";"Romania>Balkans>Andes>Quito";"Romania>FIFA World Cup>Brasília>Georgetown, Guyana";"Romania>Benjamin Adegbuyi>Paramaribo";"Romania>Diego Maradona>Caracas"
"Spain";"Spain>Sub-Saharan Africa>Asmara";"Spain>Brazil>Accra";"Spain>Jerusalem>Kuala Lumpur";"Spain>Portugal>Maputo";"Spain>Sub-Saharan Africa>Khartoum";"Spain>Sub-Saharan Africa>Harare";"Spain>Al-Qaeda>Manila";"Spain>Andalusia>Riyadh";"Spain>Jerusalem>Tashkent";"Spain>Basketball>Hanoi";"Spain>Croatia>Zagreb";"Spain>Barcelona>Rome";"Spain>Andalusia>Bucharest";"Spain>Alicante>Madrid";"Spain>Basque language>Bern";"Spain>Federalism>Ottawa";"Spain>Hispaniola>Port-au-Prince";"Spain>Barcelona>Amsterdam";"Spain>San Salvador>Kingstown";"Spain>American Revolutionary War>Washington, D.C.";"Spain>International Brigades>Canberra";"Spain>Cyprus>Kiribati>South Tarawa";"Spain>Arthur Wellesley, 1st Duke of Wellington>Wellington";"Spain>Devolution>Honiara";"Spain>Women's suffrage>Port Vila";"Spain>Liberation theology>Sucre";"Spain>Society of Jesus>Quito";"Spain>Tropical climate>Georgetown, Guyana";"Spain>Tropical climate>Paramaribo";"Spain>Melilla>Caracas"
