;politician;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy;target
0;Jo Bonner (R);0.24892330328407505;0.16607526405702527;0.35096053812505973;0.04814974310089804;0.18132252113052438;0.051909920120285814;0.08173743566761323;0.06472563472922996;0.10703378645335433;0.3030165139243073;0.13574206597522717;0.15660417733803117;0.24590158577267324;0.24309918528869826;0.31841303451351305;0.027110333143230154;0.06635098668249169;0.20256612993813755;0.12071756476064041;0.4007342950926831;Republican
1;Martha Roby (R);0.054235315339143955;0.07158801686087388;0.07746507068879266;0.04694057927345993;0.11538286704036062;0.04076647619796555;0.06313661469991871;0.055423742546445935;0.07581113906412151;0.1007675847199639;0.016234063958757906;0.06893181921923988;0.03790683280189561;0.018985667657105344;0.07218360809692016;0.05472516844133566;0.05244691774658441;0.0862440607420598;0.02413101624713948;0.09063364476857971;Republican
2;Mike Rogers (R);0.03531870939346263;0.027877397377556814;0.1754968574773435;0.046388179553941526;0.12434572433398905;0.06072917876378376;0.05902169851863281;0.05567477355616442;0.14730351958030713;0.06740262332556149;0.02206443013453269;0.13643569684316828;0.16520175672505621;0.02036272172890727;0.02060742287242163;0.026217358464338383;0.07207524686592434;0.01637845596511687;0.09518309295400121;0.21368290389392317;Republican
3;Robert Aderholt (R);0.2503612679576335;0.06102175414152226;0.07029507110679965;0.03652769642388956;0.1544858594627919;0.13231953671783436;0.06242728565749142;0.04806250836320835;0.07933933938488451;0.09167142890975384;0.01406458854020408;0.061110938418420434;0.03448718386030799;0.015601563517220383;0.407780190929626;0.04490469677743442;0.04628971689067415;0.07908096839149464;0.02203754874699489;0.07613919494367315;Republican
4;Mo Brooks (R);0.25012370092941416;0.023937443708384333;0.06969151571536863;0.035926234185124285;0.05378581126338837;0.03720145733543365;0.14930270626080872;0.06141012840253567;0.08286721836570059;0.09462827230996425;0.014364477503907486;0.06311730279895114;0.03484339571469236;0.06562128665490145;0.060756330870293036;0.04625898690037773;0.04964080541113705;0.08746632630329079;0.02154863877541149;0.06904782408629022;Republican
5;Spencer Bachus (R);0.19081683135341748;0.1794761173561839;0.0321454107106748;0.039919135375250756;0.15514986513974333;0.040358553151499756;0.03629673063138177;0.04595599626702009;0.11188112540389533;0.15883136698896866;0.12106201930233644;0.2880452886142638;0.04012521000820159;0.05030101297813705;0.11173042097004718;0.08419647084530894;0.05360893974504393;0.045575202733194924;0.04775374069866015;0.1425937985559413;Republican
6;Terri Sewell (D);0.04347116132227887;0.06568021252142542;0.07525555722752512;0.03661627493032344;0.09392181694984465;0.03286958434727023;0.05842616806279732;0.034115499695820464;0.05847990734247714;0.0987344660511786;0.015606305443681773;0.06330803826978665;0.03524580341538535;0.017298948087580746;0.06269739551217514;0.044987064741317674;0.03833740054257872;0.08415547374614304;0.02344558528049751;0.4963150286191025;Democrat
7;Paul Gosar (R);0.09807783506519904;0.025174527228106428;0.11038073457789606;0.02600284637173436;0.034336692137923404;0.04376495137733797;0.09719539359218729;0.050370282799556784;0.08126004681306231;0.08690870272420766;0.06789700999451706;0.05534886400728931;0.2411367649398227;0.0752983308034776;0.07879428801416415;0.020726574287613007;0.05166122118139054;0.042548079001206426;0.0374541120222222;0.08533657549786237;Republican
8;Trent Franks (R);0.20294187810198797;0.16649710488151429;0.11019793787691345;0.022673293378330208;0.034365163949812455;0.04471185578714665;0.09344109907775298;0.05208989361700954;0.14788877921429475;0.23285404089897047;0.06348967644583112;0.059694613688852545;0.11338492197737615;0.07751133054550267;0.08057165174619005;0.018557782150018555;0.2842975393405162;0.04107506146553928;0.06144566053391341;0.2387809239953401;Republican
9;Ben Quayle (R);0.08757500244500978;0.07484874972885269;0.10618888867065726;0.05339313412265642;0.03361014514577838;0.0409843087411137;0.09574382331525778;0.048923452181103604;0.19460974474278453;0.09440382846206263;0.06776398183307378;0.053899423414588386;0.11256173335347867;0.07536777747023227;0.07818503313037804;0.01907560500768633;0.05847032922545909;0.046387591501819425;0.07677723035951015;0.09240864433321881;Republican
10;Ed Pastor (D);0.17741188586437115;0.06965320963664577;0.1053579863182314;0.023095874660924158;0.030568479863659685;0.16934256634584272;0.08567146391429604;0.03344156027240648;0.13766371890053117;0.08954697288463508;0.061500000770527426;0.04899667139633015;0.10734367688530681;0.06842970648690667;0.0728244925702774;0.017149531945454294;0.03647176109910202;0.04267885395352485;0.002742006494158585;0.0929386576681113;Democrat
