sep=;
Politician;Edith Wilson;Florence Harding;Grace Coolidge;Lou Henry Hoover;Eleanor Roosevelt;Bess Truman;Mamie Eisenhower;Jacqueline Kennedy Onassis;Lady Bird Johnson;Pat Nixon;Betty Ford;Rosalynn Carter;Nancy Reagan;Barbara Bush;Hillary Clinton;Laura Bush;Michelle Obama
Woodrow Wilson;Woodrow_Wilson>League_of_Nations>Edith_Wilson;Woodrow_Wilson>Warren_G>Florence_Harding;Woodrow_Wilson>Edith_Wilson>Grace_Coolidge;Woodrow_Wilson>Herbert_Hoover>Lou_Henry_Hoover;Woodrow_Wilson>Franklin_D>Eleanor_Roosevelt;Woodrow_Wilson>Edith_Wilson>Bess_Truman;Woodrow_Wilson>Edith_Wilson>Mamie_Eisenhower;Woodrow_Wilson>William_Randolph_Hearst>Jacqueline_Kennedy_Onassis;Woodrow_Wilson>Edith_Wilson>Lady_Bird_Johnson;Woodrow_Wilson>Twenty>Pat_Nixon;Woodrow_Wilson>Franklin_D>Betty_Ford;Woodrow_Wilson>Edith_Wilson>Rosalynn_Carter;Woodrow_Wilson>Edith_Wilson>Nancy_Reagan;Woodrow_Wilson>Edith_Wilson>Barbara_Bush;Woodrow_Wilson>Andrew_Jackson>Hillary_Clinton;Woodrow_Wilson>Edith_Wilson>Laura_Bush;Woodrow_Wilson>Princeton_University>Michelle_Obama
Warren G. Harding;Warren_G>League_of_Nations>Edith_Wilson;Warren_G>Florence_Harding;Warren_G>Calvin_Coolidge>Grace_Coolidge;Warren_G>Herbert_Hoover>Lou_Henry_Hoover;Warren_G>Franklin_D>Eleanor_Roosevelt;Warren_G>Florence_Harding>Bess_Truman;Warren_G>Florence_Harding>Mamie_Eisenhower;Warren_G>Arlington_National_Cemetery>Jacqueline_Kennedy_Onassis;Warren_G>Florence_Harding>Lady_Bird_Johnson;Warren_G>Watergate_scandal>Pat_Nixon;Warren_G>Franklin_D>Betty_Ford;Warren_G>Florence_Harding>Rosalynn_Carter;Warren_G>Florence_Harding>Nancy_Reagan;Warren_G>Florence_Harding>Barbara_Bush;Warren_G>Charles_Evans_Hughes>Hillary_Clinton;Warren_G>Florence_Harding>Laura_Bush;Warren_G>Lincoln_Memorial>Michelle_Obama
Calvin Coolidge;Calvin_Coolidge>League_of_Nations>Edith_Wilson;Calvin_Coolidge>Warren_G>Florence_Harding;Calvin_Coolidge>Grace_Coolidge;Calvin_Coolidge>Herbert_Hoover>Lou_Henry_Hoover;Calvin_Coolidge>Franklin_D>Eleanor_Roosevelt;Calvin_Coolidge>Grace_Coolidge>Bess_Truman;Calvin_Coolidge>Grace_Coolidge>Mamie_Eisenhower;Calvin_Coolidge>White_House>Jacqueline_Kennedy_Onassis;Calvin_Coolidge>Grace_Coolidge>Lady_Bird_Johnson;Calvin_Coolidge>Vice_President_of_the_United_States>Pat_Nixon;Calvin_Coolidge>Franklin_D>Betty_Ford;Calvin_Coolidge>White_House>Rosalynn_Carter;Calvin_Coolidge>Northampton>Nancy_Reagan;Calvin_Coolidge>Northampton>Barbara_Bush;Calvin_Coolidge>Charles_Evans_Hughes>Hillary_Clinton;Calvin_Coolidge>White_House>Laura_Bush;Calvin_Coolidge>Grace_Coolidge>Michelle_Obama
Herbert Hoover;Herbert_Hoover>League_of_Nations>Edith_Wilson;Herbert_Hoover>Warren_G>Florence_Harding;Herbert_Hoover>Calvin_Coolidge>Grace_Coolidge;Herbert_Hoover>Georgius_Agricola>Lou_Henry_Hoover;Herbert_Hoover>Franklin_D>Eleanor_Roosevelt;Herbert_Hoover>Lyndon_B>Bess_Truman;Herbert_Hoover>Dwight_D>Mamie_Eisenhower;Herbert_Hoover>Assassination_of_John_F>Jacqueline_Kennedy_Onassis;Herbert_Hoover>Lyndon_B>Lady_Bird_Johnson;Herbert_Hoover>Dwight_D>Pat_Nixon;Herbert_Hoover>Dwight_D>Betty_Ford;Herbert_Hoover>Jimmy_Carter>Rosalynn_Carter;Herbert_Hoover>George_H>Nancy_Reagan;Herbert_Hoover>George_H>Barbara_Bush;Herbert_Hoover>Charles_Evans_Hughes>Hillary_Clinton;Herbert_Hoover>George_H>Laura_Bush;Herbert_Hoover>Lou_Henry_Hoover>Michelle_Obama
Franklin D. Roosevelt;Franklin_D>League_of_Nations>Edith_Wilson;Franklin_D>Warren_G>Florence_Harding;Franklin_D>Calvin_Coolidge>Grace_Coolidge;Franklin_D>Herbert_Hoover>Lou_Henry_Hoover;Franklin_D>Eleanor_Roosevelt;Franklin_D>Lyndon_B>Bess_Truman;Franklin_D>Dwight_D>Mamie_Eisenhower;Franklin_D>White_House>Jacqueline_Kennedy_Onassis;Franklin_D>Lyndon_B>Lady_Bird_Johnson;Franklin_D>Dwight_D>Pat_Nixon;Franklin_D>Chiang_Kai>Betty_Ford;Franklin_D>White_House>Rosalynn_Carter;Franklin_D>Alf_Landon>Nancy_Reagan;Franklin_D>Robert_A>Barbara_Bush;Franklin_D>Charles_Evans_Hughes>Hillary_Clinton;Franklin_D>White_House>Laura_Bush;Franklin_D>Chicago>Michelle_Obama
Harry S. Truman;Harry_S>Woodrow_Wilson>Edith_Wilson;Harry_S>Bess_Truman>Florence_Harding;Harry_S>Calvin_Coolidge>Grace_Coolidge;Harry_S>Herbert_Hoover>Lou_Henry_Hoover;Harry_S>Franklin_D>Eleanor_Roosevelt;Harry_S>Marshall_Plan>Bess_Truman;Harry_S>Dwight_D>Mamie_Eisenhower;Harry_S>White_House>Jacqueline_Kennedy_Onassis;Harry_S>Lyndon_B>Lady_Bird_Johnson;Harry_S>Dwight_D>Pat_Nixon;Harry_S>Chiang_Kai>Betty_Ford;Harry_S>White_House>Rosalynn_Carter;Harry_S>Richard_Nixon>Nancy_Reagan;Harry_S>Richard_Nixon>Barbara_Bush;Harry_S>Franklin_D>Hillary_Clinton;Harry_S>White_House>Laura_Bush;Harry_S>Bess_Truman>Michelle_Obama
Dwight D. Eisenhower;Dwight_D>Washington_National_Cathedral>Edith_Wilson;Dwight_D>Mamie_Eisenhower>Florence_Harding;Dwight_D>Mamie_Eisenhower>Grace_Coolidge;Dwight_D>Herbert_Hoover>Lou_Henry_Hoover;Dwight_D>Franklin_D>Eleanor_Roosevelt;Dwight_D>Marshall_Plan>Bess_Truman;Dwight_D>Mamie_Eisenhower;Dwight_D>Metropolitan_Museum_of_Art>Jacqueline_Kennedy_Onassis;Dwight_D>Texas>Lady_Bird_Johnson;Dwight_D>Camp_David>Pat_Nixon;Dwight_D>Camp_David>Betty_Ford;Dwight_D>Jimmy_Carter>Rosalynn_Carter;Dwight_D>Richard_Nixon>Nancy_Reagan;Dwight_D>Jimmy_Carter>Barbara_Bush;Dwight_D>Arkansas>Hillary_Clinton;Dwight_D>White_House>Laura_Bush;Dwight_D>Chicago>Michelle_Obama
John F. Kennedy;John_F>Jacqueline_Kennedy_Onassis>Edith_Wilson;John_F>Jacqueline_Kennedy_Onassis>Florence_Harding;John_F>Jacqueline_Kennedy_Onassis>Grace_Coolidge;John_F>Jacqueline_Kennedy_Onassis>Lou_Henry_Hoover;John_F>American_Civil_Liberties_Union>Eleanor_Roosevelt;John_F>Potsdam_Conference>Bess_Truman;John_F>Dwight_D>Mamie_Eisenhower;John_F>Cuban_Missile_Crisis>Jacqueline_Kennedy_Onassis;John_F>J>Lady_Bird_Johnson;John_F>Dwight_D>Pat_Nixon;John_F>Dwight_D>Betty_Ford;John_F>White_House>Rosalynn_Carter;John_F>Richard_Nixon>Nancy_Reagan;John_F>Richard_Nixon>Barbara_Bush;John_F>Franklin_D>Hillary_Clinton;John_F>White_House>Laura_Bush;John_F>Chicago>Michelle_Obama
Lyndon B. Johnson;Lyndon_B>Lady_Bird_Johnson>Edith_Wilson;Lyndon_B>Lady_Bird_Johnson>Florence_Harding;Lyndon_B>Calvin_Coolidge>Grace_Coolidge;Lyndon_B>Herbert_Hoover>Lou_Henry_Hoover;Lyndon_B>Franklin_D>Eleanor_Roosevelt;Lyndon_B>Bess_Truman;Lyndon_B>Dwight_D>Mamie_Eisenhower;Lyndon_B>Kennedy_Space_Center>Jacqueline_Kennedy_Onassis;Lyndon_B>Austin>Lady_Bird_Johnson;Lyndon_B>Dwight_D>Pat_Nixon;Lyndon_B>Apollo_8>Betty_Ford;Lyndon_B>Rosa_Parks>Rosalynn_Carter;Lyndon_B>Christian_Church_>Nancy_Reagan;Lyndon_B>George_H>Barbara_Bush;Lyndon_B>Austin>Hillary_Clinton;Lyndon_B>George_H>Laura_Bush;Lyndon_B>Lady_Bird_Johnson>Michelle_Obama
Richard Nixon;Richard_Nixon>Nancy_Reagan>Edith_Wilson;Richard_Nixon>Nancy_Reagan>Florence_Harding;Richard_Nixon>Nancy_Reagan>Grace_Coolidge;Richard_Nixon>Nancy_Reagan>Lou_Henry_Hoover;Richard_Nixon>Nancy_Reagan>Eleanor_Roosevelt;Richard_Nixon>Marshall_Plan>Bess_Truman;Richard_Nixon>Dwight_D>Mamie_Eisenhower;Richard_Nixon>Cuban_Missile_Crisis>Jacqueline_Kennedy_Onassis;Richard_Nixon>J>Lady_Bird_Johnson;Richard_Nixon>Camp_David>Pat_Nixon;Richard_Nixon>Bill_Clinton>Betty_Ford;Richard_Nixon>Bill_Gates>Rosalynn_Carter;Richard_Nixon>Bill_Clinton>Nancy_Reagan;Richard_Nixon>Bill_Gates>Barbara_Bush;Richard_Nixon>Bill_Clinton>Hillary_Clinton;Richard_Nixon>George_H>Laura_Bush;Richard_Nixon>Nancy_Reagan>Michelle_Obama
