;politician;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy;target
0;Jo Bonner (R);0.14672222548271613;0.09160864785635764;0.18047935316199828;0.02163284731536365;0.09765625000000001;0.031022758295485568;0.045220222483494624;0.0346606033717835;0.04399084990322013;0.17331022530329288;0.07973464310773745;0.07806888798675951;0.11742050631722323;0.13251351637867062;0.24189646831156264;0.013565944054046722;0.03642721841760163;0.09406629792677879;0.0726321905868681;0.2120620917804733;Republican
1;Martha Roby (R);0.03326016097917914;0.04224400135180805;0.04623721540993916;0.02163284731536365;0.07126364698839828;0.031022758295485568;0.045220222483494624;0.0346606033717835;0.04399084990322013;0.05397819281010472;0.010870510479172105;0.04610589602198329;0.019857975757383198;0.010873205377452455;0.05390486868773988;0.030752577065958124;0.03642721841760163;0.05125366463702156;0.017982635966710545;0.054233464216760306;Republican
2;Mike Rogers (R);0.021360948767900477;0.01590512908602766;0.09186785727409692;0.021516481624924692;0.06714834412183396;0.030784007092635235;0.02846861619750387;0.0343628441438841;0.06325110689437065;0.02974172287852291;0.012775503738112396;0.0796203700754801;0.07553326484983987;0.012779226090067989;0.015556163974413223;0.013617373589920963;0.036098476644285615;0.007481781861168057;0.05966871927060958;0.1126126126126126;Republican
3;Robert Aderholt (R);0.19201228878648233;0.04224400135180805;0.04623721540993916;0.02163284731536365;0.11030222810500774;0.11408232180341334;0.045220222483494624;0.0346606033717835;0.04399084990322013;0.05397819281010472;0.010870510479172105;0.04610589602198329;0.019857975757383198;0.010873205377452455;0.3724117384179949;0.030752577065958124;0.03642721841760163;0.05125366463702156;0.017982635966710545;0.054233464216760306;Republican
4;Mo Brooks (R);0.18481555407703112;0.015909481414543812;0.045582175546074466;0.02163284731536365;0.0383665075735486;0.031022758295485568;0.10719492324843496;0.04544958731774716;0.04399084990322013;0.05397819281010472;0.010870510479172105;0.04610589602198329;0.019857975757383198;0.04606257139698567;0.05390486868773988;0.030752577065958124;0.03642721841760163;0.05125366463702156;0.017982635966710545;0.04987033712347896;Republican
5;Spencer Bachus (R);0.14672222548271613;0.13001872269606823;0.022287996576563728;0.02163284731536365;0.10499349040359497;0.031022758295485568;0.024051643689329726;0.0346606033717835;0.0622990854494256;0.09315844388135341;0.08879732897634439;0.21803593232164659;0.02192578560089808;0.035380195581721174;0.10427528675703858;0.05424287791013041;0.03642721841760163;0.02565813106173346;0.04022979257518949;0.08827995338818462;Republican
6;Terri Sewell (D);0.030715926822375943;0.04224400135180805;0.04623721540993916;0.02163284731536365;0.06137529767019371;0.02175918672863683;0.045220222483494624;0.02348829343455222;0.04399084990322013;0.05397819281010472;0.010870510479172105;0.04610589602198329;0.019857975757383198;0.010873205377452455;0.05390486868773988;0.030752577065958124;0.02428646369659407;0.05125366463702156;0.017982635966710545;0.3604902667627974;Democrat
7;Paul Gosar (R);0.06441638752898737;0.015909481414543812;0.0623612462271446;0.013705313824275948;0.02041733022989914;0.031022758295485568;0.06354370536054699;0.0346606033717835;0.04115768331632149;0.04919032721405662;0.047985565941764716;0.03873746842896323;0.13820553927801427;0.05140753840143118;0.06920415224913495;0.011940754751226315;0.03642721841760163;0.023399913888316887;0.027647832962852375;0.05619619214602018;Republican
8;Trent Franks (R);0.14672222548271613;0.1252191334835963;0.0623612462271446;0.013705313824275948;0.02041733022989914;0.031022758295485568;0.06354370536054699;0.0346606033717835;0.08687493484379886;0.16145698785843451;0.047985565941764716;0.03873746842896323;0.059687238868329946;0.05140753840143118;0.06920415224913495;0.011940754751226315;0.2078310749023194;0.023399913888316887;0.04674207721791157;0.1584183511818009;Republican
9;Ben Quayle (R);0.06441638752898737;0.04978195503693821;0.0623612462271446;0.029062670743190615;0.02041733022989914;0.031022758295485568;0.06354370536054699;0.0346606033717835;0.11376046596286858;0.04919032721405662;0.047985565941764716;0.03873746842896323;0.059687238868329946;0.05140753840143118;0.06920415224913495;0.011940754751226315;0.03642721841760163;0.023399913888316887;0.057815499179019916;0.05619619214602018;Republican
